,erdogan,macron,merkel,putin,trump
erdogan,0.5984126984126985,0.20317460317460312,0.07142857142857141,0.07460317460317459,0.05238095238095239
macron,0.09733333333333333,0.7133333333333334,0.10400000000000001,0.05333333333333334,0.03200000000000001
merkel,0.0868421052631579,0.3210526315789474,0.4789473684210526,0.05526315789473685,0.05789473684210527
putin,0.10384615384615385,0.09615384615384617,0.03076923076923077,0.7615384615384616,0.007692307692307693
trump,0.10416666666666667,0.14375000000000002,0.03541666666666667,0.05833333333333334,0.6583333333333333
