,erdogan,macron,merkel,putin,trump
erdogan,0.8317460317460317,0.05714285714285715,0.026984126984126985,0.03015873015873016,0.05396825396825397
macron,0.014666666666666668,0.8906666666666668,0.08133333333333333,0.006666666666666667,0.006666666666666667
merkel,0.028947368421052635,0.14210526315789476,0.7815789473684212,0.018421052631578946,0.028947368421052635
putin,0.04230769230769231,0.026923076923076925,0.01153846153846154,0.9192307692307692,0.0
trump,0.02291666666666667,0.008333333333333333,0.0020833333333333333,0.012500000000000002,0.9541666666666666
