speech_id,leader,language,speech_date,speech_type,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,n_chunks,conflict_threat_framing_rate,cooperation_solidarity_framing_rate,past_orientation_rate,future_orientation_rate,us_vs_them_rate,gratitude_recognition_rate,promises_commitments_rate
erdogan1,erdogan,en,,symposium_speech,0.24234427800000002,0.24234427800000002,0.40800000000000003,-0.02095765925,0.258576621,0.258576621,0.1852,-0.0752027433,0.269465206,0.269465206,0.3784,-0.028854792,0.298552539,0.298552539,0.3668,-0.03709924814,0.26280449699999997,0.26280449699999997,0.476,-0.007974814220000001,0.24962061100000002,0.24962061100000002,0.2672,-0.07183969455,0.340181581,0.340181581,0.5512,0.01186363997,0.065236852135,0.21499652068800001,0.6243815297,0.56848159374,0.5845030403,0.36365777475,0.7356018694,10,0.0,0.0,0.1,0.0,0.1,0.0,0.2
erdogan2022,erdogan,en,2022-12-31,new_year_message,0.23955146076923078,0.23955146076923078,0.382,-0.023750478538461538,0.26493430384615385,0.26493430384615385,0.22476923076923078,-0.0688450596923077,0.31846486769230775,0.31846486769230775,0.5724615384615385,0.020144873307692306,0.3152473346153846,0.3152473346153846,0.43092307692307696,-0.020404450423076922,0.21915390876923077,0.21915390876923077,0.28846153846153844,-0.05162540084615385,0.2568804184615385,0.2568804184615385,0.3050769230769231,-0.06457989043076923,0.27748053692307695,0.27748053692307695,0.3536923076923077,-0.050837404230769226,0.08593824341384616,0.2722091738553846,0.7938651823076923,0.7502363019846154,0.599358179,0.7505568869230769,0.9776669323076923,13,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.3076923076923077,0.07692307692307693,0.0,0.15384615384615385
erdogan2023,erdogan,en,2023-12-31,new_year_message,0.31349137642857144,0.31349137642857144,0.7154285714285714,0.050189437999999996,0.3740551678571428,0.3740551678571428,0.642,0.04027580400285714,0.31157975357142853,0.31157975357142853,0.562,0.013259760214285715,0.363399565,0.363399565,0.5914285714285714,0.02774777821428571,0.2922490285714286,0.2922490285714286,0.6045714285714286,0.021469718500000002,0.2767270407142857,0.2767270407142857,0.36428571428571427,-0.04473326698571428,0.2934279442857143,0.2934279442857143,0.356,-0.034889996464285714,0.08586356375714287,0.24239506117857143,0.48856121400714286,0.46675020422857144,0.6883264518785713,0.6110177933571429,0.9771256314285715,14,0.5,0.42857142857142855,0.35714285714285715,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285
erdogan2024,erdogan,en,2024-12-31,new_year_message,0.25203508916666667,0.25203508916666667,0.4653333333333333,-0.01126684875,0.3316702675,0.3316702675,0.507,-0.002109096249999999,0.3171063825,0.3171063825,0.5393333333333333,0.018786390341666667,0.35812366083333336,0.35812366083333336,0.578,0.022471872550000004,0.23925566500000003,0.23925566500000003,0.39433333333333337,-0.03152364735,0.3121662216666667,0.3121662216666667,0.458,-0.0092940855,0.3282842483333333,0.3282842483333333,0.488,-3.369129166666569e-05,0.08242350179916667,0.4580617656166666,0.4036351374166667,0.7393826995833334,0.2671967069541667,0.8845265891666667,0.9462383341666666,12,0.25,0.16666666666666666,0.25,0.4166666666666667,0.0,0.25,0.08333333333333333
erdogan2025,erdogan,en,2025-12-31,new_year_message,0.239195545,0.239195545,0.41000000000000003,-0.02410639292857143,0.309568175,0.309568175,0.406,-0.024211189785714286,0.2943264057142857,0.2943264057142857,0.49314285714285716,-0.003993588885714287,0.32024432785714285,0.32024432785714285,0.4317142857142858,-0.015407458607142857,0.2121122757142857,0.2121122757142857,0.2745714285714286,-0.058667036592857144,0.30762562214285716,0.30762562214285716,0.44457142857142856,-0.013834683999999998,0.3184497171428572,0.3184497171428572,0.44857142857142857,-0.00986822347142857,0.1798777080257143,0.5154977470000001,0.8297773637142857,0.6332021687685714,0.3611546956042857,0.98880158,0.9009639501428571,14,0.07142857142857142,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857
macron2022,macron,en,2022-12-31,new_year_address,0.2540321074074074,0.2540321074074074,0.459037037037037,-0.009269830662962966,0.3401900866666666,0.3401900866666666,0.5177037037037037,0.006410723507407407,0.28478649333333333,0.28478649333333333,0.4445185185185185,-0.01353350119,0.3588929985185185,0.3588929985185185,0.5784444444444444,0.023241214592592593,0.2455768559259259,0.2455768559259259,0.4076296296296296,-0.025202456674074072,0.3163765733333333,0.3163765733333333,0.4908888888888889,-0.005083734148148147,0.343037267037037,0.343037267037037,0.5501481481481482,0.01471932585925926,0.07856541586518519,0.34572130259259254,0.46984485348555555,0.7565067124103704,0.48968910258888887,0.7672097331111111,0.9931220685185186,27,0.25925925925925924,0.25925925925925924,0.18518518518518517,0.3333333333333333,0.14814814814814814,0.25925925925925924,0.2222222222222222
macron2023,macron,en,2023-12-31,new_year_address,0.24391888842105267,0.24391888842105267,0.41,-0.019383051042105266,0.30570541315789473,0.30570541315789473,0.3792631578947368,-0.028073951315789474,0.3096951310526316,0.3096951310526316,0.5499999999999999,0.011375134442105264,0.35675274684210523,0.35675274684210523,0.5838947368421052,0.021100960410526313,0.2382362310526316,0.2382362310526316,0.36894736842105263,-0.032543080157894734,0.3090096184210526,0.3090096184210526,0.45,-0.012450686157894736,0.3432386642105263,0.3432386642105263,0.5664210526315789,0.01492072594736842,0.1087144657433684,0.23181281593526318,0.6434206425789474,0.7347331610173684,0.4844390199631579,0.8387562636473684,0.8225330989894737,19,0.15789473684210525,0.10526315789473684,0.21052631578947367,0.3157894736842105,0.05263157894736842,0.10526315789473684,0.3157894736842105
macron2024,macron,en,2024-12-31,new_year_address,0.252017513125,0.252017513125,0.45325,-0.011284426187500002,0.329504134375,0.329504134375,0.4855,-0.004275232843749999,0.297982801875,0.297982801875,0.49975,-0.00033719456249999696,0.345673656875,0.345673656875,0.4895,0.010021870600000003,0.23648367625,0.23648367625,0.35825,-0.034295636,0.274717885625,0.274717885625,0.37075,-0.04674241935,0.32056664375,0.32056664375,0.4505,-0.007751298000000001,0.048778903312500003,0.3885866000375,0.5513191432025,0.67188193885875,0.598593533375,0.86897440125,0.938226432125,16,0.1875,0.125,0.3125,0.25,0.0,0.125,0.25
macron2025,macron,en,2025-12-31,new_year_address,0.2798485723076923,0.2798485723076923,0.5712307692307692,0.016546633253846154,0.34093178384615386,0.34093178384615386,0.5155384615384615,0.007152420076923076,0.2807954476923077,0.2807954476923077,0.4238461538461538,-0.017524545615384614,0.3549199130769231,0.3549199130769231,0.5807692307692307,0.019268127384615384,0.26036833,0.26036833,0.4693846153846154,-0.010410981969230768,0.3363214830769231,0.3363214830769231,0.5226153846153846,0.014861173676923078,0.34995124307692305,0.34995124307692305,0.6047692307692307,0.02163330380923077,0.08936638560153846,0.429457667,0.44579519374615384,0.6995260417915384,0.36647922373076924,0.835408314523077,0.919176141103846,13,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.3076923076923077,0.38461538461538464
merkel1,merkel,en,2016-12-31,new_year_address,0.27336098,0.27336098,0.5412,0.0100590391,0.30851856099999997,0.30851856099999997,0.4,-0.0252608045,0.236759204,0.236759204,0.264,-0.0615607936,0.25901142,0.25901142,0.2712,-0.076640367,0.270482433,0.270482433,0.5284,-0.00029687979999999946,0.266805105,0.266805105,0.3608,-0.054655203799999996,0.26149403699999996,0.26149403699999996,0.2768,-0.0668239025,0.112738809028,0.33147943184999995,0.5848115417849999,0.28482055461,0.7510542318,0.5222290714,0.984190911,10,0.5,0.2,0.0,0.1,0.2,0.1,0.2
