speech_id,leader,language,speech_date,speech_type,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,n_chunks,conflict_threat_framing_rate,cooperation_solidarity_framing_rate,past_orientation_rate,future_orientation_rate,us_vs_them_rate,gratitude_recognition_rate,promises_commitments_rate
erdogan1,erdogan,en,,symposium_speech,0.36405084444444447,0.36405084444444447,0.2307162541111111,-0.04867594411111112,0.34023424,0.34023424,0.15863177022222222,-0.05971444988888889,0.3495994055555556,0.3495994055555556,0.23163452555555553,-0.05677367566666666,0.36745333333333335,0.36745333333333335,0.11179981500000001,-0.08573565255555556,0.35958086,0.35958086,0.40518824999999997,-0.01965401571111111,0.3404876955555556,0.3404876955555556,0.12190082577777778,-0.08471428633333333,0.3679587655555555,0.3679587655555555,0.14577594033333333,-0.06341176233333333,0.10000937788888889,0.2125857741088889,0.6697795085555556,0.42771604777666666,0.6835541488888889,0.33216857777,0.6790345115555555,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
erdogan2022,erdogan,en,2022-12-31,new_year_message,0.3956684976923077,0.3956684976923077,0.3968531423076923,-0.017058289946153847,0.3613389815384615,0.3613389815384615,0.2538143653846154,-0.03860970438461538,0.4453735407692308,0.4453735407692308,0.6978703123076924,0.0390004583,0.46775322384615386,0.46775322384615386,0.5615066846153846,0.014564237446153845,0.35016019769230766,0.35016019769230766,0.3571201479230769,-0.02907468473846154,0.41570337461538465,0.41570337461538465,0.45184361,-0.009498607403076923,0.41973687615384614,0.41973687615384614,0.449936429,-0.011633650215384615,0.08950597052153847,0.29276322977846153,0.7888381461538463,0.752136092076923,0.5832871813076923,0.7233514353846153,0.9794872738461537,13,0.07692307692307693,0.0,0.6153846153846154,0.38461538461538464,0.07692307692307693,0.15384615384615385,0.23076923076923078
erdogan2023,erdogan,en,2023-12-31,new_year_message,0.46583854769230765,0.46583854769230765,0.7697075807692308,0.053111757792307694,0.4431245284615385,0.4431245284615385,0.7229815692307693,0.04317584191538462,0.4204499523076923,0.4204499523076923,0.5611888084615384,0.014076867892307693,0.4867189169230769,0.4867189169230769,0.6673553776923077,0.03352992801538462,0.4180450015384615,0.4180450015384615,0.6946916807692307,0.03881012053846154,0.42395082615384616,0.42395082615384616,0.48966941230769234,-0.0012511565076923077,0.42762533923076923,0.42762533923076923,0.4731404930769231,-0.0037451866538461545,0.09254335687923078,0.2549203308307692,0.515675748923077,0.4266212562461539,0.6571930065230769,0.6053461422769231,0.976163466923077,13,0.6153846153846154,0.6923076923076923,0.3076923076923077,0.46153846153846156,0.38461538461538464,0.07692307692307693,0.0
erdogan2024,erdogan,en,2024-12-31,new_year_message,0.42585923249999996,0.42585923249999996,0.5712809933333333,0.013132440366666664,0.4086571666666667,0.4086571666666667,0.5578512316666667,0.008708477083333332,0.4271452416666666,0.4271452416666666,0.5940082649999999,0.02077215841666667,0.500271965,0.500271965,0.7079889908333333,0.04708297783333334,0.36778401,0.36778401,0.449035805,-0.011450869374999999,0.43091347750000003,0.43091347750000003,0.532024795,0.005711495766666669,0.45543778166666665,0.45543778166666665,0.641873275,0.024067255125000003,0.08242489874916666,0.46658239186666667,0.430222736775,0.7514717529166667,0.2668729407666667,0.8853609225,0.9464876308333333,12,0.25,0.25,0.25,0.5833333333333334,0.08333333333333333,0.25,0.3333333333333333
erdogan2025,erdogan,en,2025-12-31,new_year_message,0.40715587214285714,0.40715587214285714,0.4814049603571428,-0.005570916200000002,0.39802504214285717,0.39802504214285717,0.4899645828571429,-0.0019236441857142848,0.40964191642857145,0.40964191642857145,0.5094451042857143,0.0032688332857142865,0.45194470999999997,0.45194470999999997,0.4787485202142857,-0.0012442736428571427,0.3518319128571429,0.3518319128571429,0.3733766197142857,-0.02740296552857143,0.42268964785714286,0.42268964785714286,0.44273908142857143,-0.0025123339142857143,0.436538425,0.436538425,0.5324675371428571,0.005167899835714285,0.1796283369314286,0.526801147,0.8347078919285715,0.6405691301971429,0.35949295379714286,0.9887297857142857,0.9020982722857143,14,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.07142857142857142,0.14285714285714285,0.2857142857142857
macron2022,macron,en,2022-12-31,new_year_address,0.39215579925925925,0.39215579925925925,0.42232935094814816,-0.020570988414814816,0.395705667037037,0.395705667037037,0.49977043146666666,-0.004243021685185187,0.3882125637037037,0.3882125637037037,0.4341138663185185,-0.018160519207407407,0.4617744311111111,0.4617744311111111,0.5427762484074075,0.0085854477,0.3504309414814815,0.3504309414814815,0.3915671919851852,-0.028803940211111115,0.4140954607407408,0.4140954607407408,0.4765074963185185,-0.011106521455555558,0.43960891740740743,0.43960891740740743,0.5516528925925926,0.008238391677777778,0.07853052279888889,0.3533663913703704,0.46905002074185187,0.7663526811925926,0.4887107080074074,0.7663501429629629,0.994385394074074,27,0.2222222222222222,0.25925925925925924,0.2222222222222222,0.2962962962962963,0.2222222222222222,0.25925925925925924,0.37037037037037035
macron2023,macron,en,2023-12-31,new_year_address,0.38214950684210525,0.38214950684210525,0.34286646294736844,-0.030577282805263156,0.37169018157894734,0.37169018157894734,0.3256850822631579,-0.02825850557373684,0.4151772852631579,0.4151772852631579,0.5623097011578948,0.008804200210526317,0.4693017173684211,0.4693017173684211,0.5823184031578947,0.01611273082105263,0.33660309368421054,0.33660309368421054,0.28197041984210525,-0.04263178624736842,0.40513463,0.40513463,0.39245324189473685,-0.020067351605263156,0.43776106578947366,0.43776106578947366,0.5642670694736842,0.006390537021052633,0.10859452263184212,0.2308255530236842,0.6423084297368421,0.7337965312736842,0.5037284255036841,0.8296988731210526,0.8408711423052632,19,0.10526315789473684,0.05263157894736842,0.42105263157894735,0.2631578947368421,0.0,0.10526315789473684,0.3684210526315789
macron2024,macron,en,2024-12-31,new_year_address,0.401302089375,0.401302089375,0.44318182231250003,-0.011424697931250002,0.400650874375,0.400650874375,0.490960746875,0.0007021873312500005,0.41184545875,0.41184545875,0.5351239675,0.005472376750000001,0.480729589375,0.480729589375,0.5829028912499999,0.027540602148125,0.359889854375,0.359889854375,0.401084706875,-0.019345024368749998,0.405470506875,0.405470506875,0.4039256183125,-0.019731473245000002,0.44374496125,0.44374496125,0.55759296875,0.012374434362499999,0.0491878353075,0.4100463312875,0.562170291031875,0.67210342573375,0.57824204425,0.870197590625,0.9382606765,16,0.1875,0.125,0.25,0.3125,0.0625,0.0625,0.3125
macron2025,macron,en,2025-12-31,new_year_address,0.42146698846153846,0.42146698846153846,0.5287666886923077,0.008740200400000002,0.40852618615384617,0.40852618615384617,0.5449777492307692,0.00857749796923077,0.38613791000000003,0.38613791000000003,0.40289255076923075,-0.02023517356153846,0.47211828692307695,0.47211828692307695,0.6091862623076923,0.018929300323076922,0.37028040692307695,0.37028040692307695,0.4655117553846154,-0.008954474461538462,0.4292699476923077,0.4292699476923077,0.46328671538461536,0.004067968623076922,0.45463916923076925,0.45463916923076925,0.6225365561538462,0.02326864007692308,0.08954449619384615,0.43895554516153845,0.4280630797461538,0.68475769594,0.3955580507153846,0.8177161684846154,0.9191084340738461,13,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.38461538461538464,0.23076923076923078,0.23076923076923078,0.38461538461538464
merkel1,merkel,en,2016-12-31,new_year_address,0.42240150000000004,0.42240150000000004,0.5401744733333333,0.009674704333333332,0.3983277388888889,0.3983277388888889,0.49242424588888883,-0.0016209483333333333,0.3734857266666667,0.3734857266666667,0.34044995666666666,-0.03288735571111111,0.39907372333333335,0.39907372333333335,0.2780073428888889,-0.05411526508888889,0.3900139544444444,0.3900139544444444,0.5626721722222222,0.010779072833333332,0.3963945088888889,0.3963945088888889,0.3670798881111111,-0.028807474877777777,0.38734154,0.38734154,0.2385215781111111,-0.04402898788888889,0.1266965479088889,0.32870673440000003,0.6468524021111111,0.2514374394222222,0.7801975255555555,0.4560946271111111,0.9890907133333333,9,0.2222222222222222,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0
