,erdogan,macron,merkel,putin,trump
erdogan,1.0,0.8056295,0.7844729,0.75478774,0.73453254
macron,0.8056295,1.0,0.8495889,0.75342387,0.7358541
merkel,0.7844729,0.8495889,1.0,0.7357668,0.728813
putin,0.75478774,0.75342387,0.7357668,1.0,0.7013196
trump,0.73453254,0.7358541,0.728813,0.7013196,0.9999998
