key,spearman_cos_vs_cos_en,spearman_cos_vs_nli,spearman_cos_en_vs_nli,spearman_cos_vs_kw,kw_nonzero_share,mean_cos,sd_cos,top_theme_agreement_emb_vs_nli
national_identity,0.9999999999999998,0.34943241928290963,0.34943241928290963,0.5700946513030241,0.608,0.2866726815700531,0.08961799740791321,0.384
security_military,0.9999999999999998,0.5019469118982415,0.5019469118982415,0.48441584342537,0.34,0.271401971578598,0.07158322632312775,0.384
economy_welfare,0.9999999999999998,0.6558286010958486,0.6558286010958486,0.542980032105338,0.332,0.2566370964050293,0.07950460910797119,0.384
foreign_policy,0.9999999999999998,0.5411588424439867,0.5411588424439867,0.3437692430850714,0.356,0.262020081281662,0.06656352430582047,0.384
democracy_institutions,0.9999999999999998,0.5069560792972687,0.5069560792972687,0.46380287825421457,0.284,0.24617962539196014,0.07656268775463104,0.384
social_solidarity,0.9999999999999998,0.4212256364855137,0.4212256364855137,0.5526543308279509,0.504,0.3017934560775757,0.08299437910318375,0.384
crisis_resilience,0.9999999999999998,0.3814510404552541,0.3814510404552541,0.41164267726007125,0.248,0.31903454661369324,0.06081216037273407,0.384
future_reform_technology,0.9999999999999998,0.3600588220724536,0.3600588220724536,0.4252712501359639,0.28,0.2933422029018402,0.08078410476446152,0.384
conflict_threat_framing,0.9999999999999998,0.45921823600155615,0.45921823600155615,,,0.26330193877220154,0.06794775277376175,0.384
cooperation_solidarity_framing,0.9999999999999998,0.45201248019968315,0.45201248019968315,,,0.33377936482429504,0.07237577438354492,0.384
past_orientation,0.9999999999999998,0.12097691163058608,0.12097691163058608,,,0.2983199954032898,0.06836499273777008,0.384
future_orientation,0.9999999999999998,0.45700993615897845,0.45700993615897845,,,0.33565178513526917,0.08534884452819824,0.384
us_vs_them,0.9999999999999998,0.25175409240226876,0.25175409240226876,,,0.2707793116569519,0.07381780445575714,0.384
gratitude_recognition,0.9999999999999998,0.49496971151538416,0.49496971151538416,,,0.3214603066444397,0.09915574640035629,0.384
promises_commitments,0.9999999999999998,0.3816661952991372,0.3816661952991372,,,0.32831794023513794,0.07473407685756683,0.384
