leader,theme,metric,point,ci_low,ci_high,boot_sd,n_speeches,n_distinct_resamples
erdogan,national_identity,pct,0.44883020795372397,0.3449222445487976,0.5740464329719543,0.05870436131954193,5,126
erdogan,security_military,pct,0.48531317200354096,0.3193473219871521,0.6304090023040771,0.0807306095957756,5,126
erdogan,economy_welfare,pct,0.4456081801649816,0.282485693693161,0.5663540959358215,0.07527665793895721,5,126
erdogan,foreign_policy,pct,0.5563373467263736,0.394633412361145,0.7052076458930969,0.07813901454210281,5,126
erdogan,democracy_institutions,pct,0.5780777283699634,0.45983031392097473,0.7281333804130554,0.07216527312994003,5,126
erdogan,social_solidarity,pct,0.35546070216788767,0.22315815091133118,0.47923657298088074,0.06719911098480225,5,126
erdogan,crisis_resilience,pct,0.46521003621308915,0.3146519958972931,0.5946598649024963,0.07582159340381622,5,126
erdogan,future_reform_technology,pct,0.44622321741495724,0.3438299596309662,0.5299428105354309,0.05006647855043411,5,126
macron,national_identity,pct,0.45032155739850244,0.423457533121109,0.46926653385162354,0.012279162183403969,4,35
macron,security_military,pct,0.4317613511950541,0.37058910727500916,0.5137770771980286,0.03574032336473465,4,35
macron,economy_welfare,pct,0.5503054079793471,0.4911714196205139,0.6094393730163574,0.031985603272914886,4,35
macron,foreign_policy,pct,0.46888544806779076,0.38932061195373535,0.5472226738929749,0.04283589869737625,4,35
macron,democracy_institutions,pct,0.49078560692505196,0.4544571042060852,0.5223498344421387,0.018137797713279724,4,35
macron,social_solidarity,pct,0.4862715902702457,0.4317094385623932,0.5408337712287903,0.02937462367117405,4,35
macron,crisis_resilience,pct,0.5248788190684276,0.4466152787208557,0.5694944858551025,0.034353941679000854,4,35
macron,future_reform_technology,pct,0.6921946809098065,0.662057638168335,0.722331702709198,0.016471417620778084,4,35
merkel,national_identity,pct,0.3919593645069444,0.34168389439582825,0.4429522454738617,0.024550888687372208,4,35
merkel,security_military,pct,0.4025912520868056,0.3184400796890259,0.48674243688583374,0.041568826884031296,4,35
merkel,economy_welfare,pct,0.5080348941770834,0.39643594622612,0.6214703917503357,0.058026447892189026,4,35
merkel,foreign_policy,pct,0.4903868219340278,0.38274794816970825,0.6347566843032837,0.06177462637424469,4,35
merkel,democracy_institutions,pct,0.54304407553125,0.4795684218406677,0.6514003872871399,0.04652306064963341,4,35
merkel,social_solidarity,pct,0.5700040121041666,0.4929981529712677,0.6470098495483398,0.04076283052563667,4,35
merkel,crisis_resilience,pct,0.42138717133333337,0.3087121248245239,0.5340622067451477,0.05620778352022171,4,35
merkel,future_reform_technology,pct,0.5814680938194444,0.4381456673145294,0.6597652435302734,0.061951685696840286,4,35
putin,national_identity,pct,0.7262553291477272,0.6121337413787842,0.8496900796890259,0.059788163751363754,4,35
putin,security_military,pct,0.630118327840909,0.5606017708778381,0.6992862224578857,0.03726324066519737,4,35
putin,economy_welfare,pct,0.2780913478617424,0.2126549631357193,0.34478306770324707,0.03186061605811119,4,35
putin,foreign_policy,pct,0.4563266985909091,0.4116641581058502,0.4998434782028198,0.024124760180711746,4,35
putin,democracy_institutions,pct,0.334031427935606,0.24876032769680023,0.4044421315193176,0.03829303756356239,4,35
putin,social_solidarity,pct,0.7336589091515152,0.6522351503372192,0.820456862449646,0.04708607494831085,4,35
putin,crisis_resilience,pct,0.5035123977803031,0.40929752588272095,0.586776852607727,0.046459659934043884,4,35
putin,future_reform_technology,pct,0.33174148487348487,0.2577761113643646,0.41520315408706665,0.03828931227326393,4,35
trump,national_identity,pct,0.5441017371785715,0.31198346614837646,0.8063016533851624,0.11665020883083344,3,10
trump,security_military,pct,0.6710817619285714,0.5667060017585754,0.7623966932296753,0.04709550365805626,3,10
trump,economy_welfare,pct,0.5838621596488096,0.5033943057060242,0.7006714940071106,0.048530738800764084,3,10
trump,foreign_policy,pct,0.49995080039880957,0.4481995403766632,0.5971074104309082,0.03941429406404495,3,10
trump,democracy_institutions,pct,0.5127410493285715,0.4235537350177765,0.6621900796890259,0.0609862394630909,3,10
trump,social_solidarity,pct,0.4833603892321428,0.37603306770324707,0.608729362487793,0.055077530443668365,3,10
trump,crisis_resilience,pct,0.5144874080654761,0.45041322708129883,0.62138432264328,0.043616291135549545,3,10
trump,future_reform_technology,pct,0.3248352033940476,0.20203660428524017,0.4852789342403412,0.0681878998875618,3,10
erdogan,national_identity,cos,0.3983423462283272,0.37713441252708435,0.42492371797561646,0.012266227975487709,5,126
erdogan,security_military,cos,0.4252471667704517,0.39295700192451477,0.45170897245407104,0.015465284697711468,5,126
erdogan,economy_welfare,cos,0.39438471904639805,0.35604289174079895,0.42210519313812256,0.01690993644297123,5,126
erdogan,foreign_policy,cos,0.4053499124310134,0.379470556974411,0.4329640865325928,0.013678445480763912,5,126
erdogan,democracy_institutions,cos,0.3939541692387057,0.372211217880249,0.42347463965415955,0.013908622786402702,5,126
erdogan,social_solidarity,cos,0.3667927527802197,0.3424157500267029,0.3908787667751312,0.013286440633237362,5,126
erdogan,crisis_resilience,cos,0.4392336147307693,0.4100135564804077,0.4622679650783539,0.014139684848487377,5,126
erdogan,future_reform_technology,cos,0.3858961342948718,0.3677307367324829,0.40033483505249023,0.008751427754759789,5,126
macron,national_identity,cos,0.3949562885350596,0.3897845149040222,0.4001280665397644,0.0027825532015413046,4,35
macron,security_military,cos,0.4118032734058704,0.39893412590026855,0.42898422479629517,0.00795429851859808,4,35
macron,economy_welfare,cos,0.4070929709320878,0.3992346525192261,0.41495129466056824,0.004202014300972223,4,35
macron,foreign_policy,cos,0.3867321590443423,0.3711693286895752,0.40229499340057373,0.007976028136909008,4,35
macron,democracy_institutions,cos,0.3765276248595647,0.36917921900749207,0.3838760554790497,0.0037178972270339727,4,35
macron,social_solidarity,cos,0.39238299038278784,0.38277333974838257,0.4017801582813263,0.005233714822679758,4,35
macron,crisis_resilience,cos,0.4525366740519802,0.439572274684906,0.46098828315734863,0.005755492486059666,4,35
macron,future_reform_technology,cos,0.43644038102336835,0.42913877964019775,0.4464534521102905,0.004725852515548468,4,35
merkel,national_identity,cos,0.38257808420138883,0.3705747127532959,0.3917706608772278,0.005271901376545429,4,35
merkel,security_military,cos,0.4039865130208333,0.3856390714645386,0.4223339557647705,0.009106595069169998,4,35
merkel,economy_welfare,cos,0.40069356937499995,0.38394713401794434,0.4202401638031006,0.00925038568675518,4,35
merkel,foreign_policy,cos,0.3961418925347222,0.3755362331867218,0.42652666568756104,0.01286541111767292,4,35
merkel,democracy_institutions,cos,0.39428489833333324,0.3849000036716461,0.4056970179080963,0.005742909852415323,4,35
merkel,social_solidarity,cos,0.40912029892361107,0.39374879002571106,0.42527326941490173,0.008483991026878357,4,35
merkel,crisis_resilience,cos,0.43265205409722224,0.41499051451683044,0.45031359791755676,0.008804232813417912,4,35
merkel,future_reform_technology,cos,0.4151417836805555,0.3831843435764313,0.4328608810901642,0.01372681837528944,4,35
putin,national_identity,cos,0.4580699677424242,0.42939504981040955,0.488033652305603,0.014228923246264458,4,35
putin,security_military,cos,0.45003219505303027,0.43676432967185974,0.4632486402988434,0.007169691380113363,4,35
putin,economy_welfare,cos,0.35862864549999995,0.3485296368598938,0.3683896064758301,0.004917853511869907,4,35
putin,foreign_policy,cos,0.38828338102272725,0.38075798749923706,0.39580878615379333,0.00407437514513731,4,35
putin,democracy_institutions,cos,0.35190685955681816,0.34126099944114685,0.36089077591896057,0.004852853249758482,4,35
putin,social_solidarity,cos,0.44292039755303025,0.4268646538257599,0.46124663949012756,0.009573927149176598,4,35
putin,crisis_resilience,cos,0.44884292878030296,0.43482789397239685,0.46256354451179504,0.006878181826323271,4,35
putin,future_reform_technology,cos,0.36414229348484844,0.34733790159225464,0.38100579380989075,0.008278134278953075,4,35
trump,national_identity,cos,0.4188440782440475,0.37298935651779175,0.4731732904911041,0.023748885840177536,3,10
trump,security_military,cos,0.45795915791666664,0.436383992433548,0.4748510420322418,0.009394515305757523,3,10
trump,economy_welfare,cos,0.42040465624999995,0.39792925119400024,0.43798258900642395,0.009684610180556774,3,10
trump,foreign_policy,cos,0.3949590177380952,0.3854563534259796,0.41268205642700195,0.007189829833805561,3,10
trump,democracy_institutions,cos,0.3776007498511904,0.36057084798812866,0.40134426951408386,0.009940337389707565,3,10
trump,social_solidarity,cos,0.39298023416666666,0.37738001346588135,0.41724273562431335,0.00997012760490179,3,10
trump,crisis_resilience,cos,0.45142657860119045,0.44253697991371155,0.46660980582237244,0.0061843497678637505,3,10
trump,future_reform_technology,cos,0.36406917300595226,0.3397234380245209,0.3965185880661011,0.01372225396335125,3,10
