,erdogan,macron,merkel,putin,trump
erdogan,1.0,0.4734020716081872,0.4540449998067161,-0.6986480880413963,-0.657195471501257
macron,0.4734020716081872,0.9999999999999994,0.13835855924242127,-0.3702049554868869,-0.578875549207134
merkel,0.4540449998067161,0.13835855924242127,0.9999999999999999,-0.6749997938663673,-0.4668142306253939
putin,-0.6986480880413963,-0.3702049554868869,-0.6749997938663673,0.9999999999999998,0.1792207352248696
trump,-0.657195471501257,-0.578875549207134,-0.4668142306253939,0.1792207352248696,1.0000000000000002
