chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,token_count,word_count,emo_neutral,emo_sadness,emo_disappointment,emo_realization,emo_approval,emo_annoyance,emo_disapproval,emo_admiration,emo_grief,emo_relief,emo_embarrassment,emo_fear,emo_nervousness,emo_remorse,emo_joy,emo_optimism,emo_disgust,emo_anger,emo_pride,emo_surprise,emo_desire,emo_caring,emo_love,emo_gratitude,emo_confusion,emo_excitement,emo_amusement,emo_curiosity,sent_neutral,sent_negative,sent_positive,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence
erdogan1_c000,erdogan1,erdogan,en,,symposium_speech,0,104,87,0.38832545280456543,0.31574347615242004,0.25066739320755005,0.11059112101793289,0.032491687685251236,0.02393742837011814,0.009640360251069069,0.008977220393717289,0.00805437657982111,0.00480220140889287,0.004373852629214525,0.004320694599300623,0.0042404718697071075,0.003787828842177987,0.003501950530335307,0.0032965433783829212,0.0029356356244534254,0.0026904409751296043,0.0022386081982403994,0.002129034837707877,0.0020534563809633255,0.0019304159795865417,0.0014533615903928876,0.0013077080948278308,0.0011759934714064002,0.0010174065828323364,0.0008795693283900619,0.0006176555179990828,0.7791992425918579,0.15383949875831604,0.06696131825447083,0.032491687685251236,0.31574347615242004,0.02393742837011814,0.11059112101793289,0.38832545280456543,-0.08687818050384521
erdogan1_c001,erdogan1,erdogan,en,,symposium_speech,1,93,73,0.7019365429878235,0.001935624866746366,0.006642050109803677,0.06876449286937714,0.21515102684497833,0.004704124294221401,0.005617029033601284,0.011123024858534336,0.00047100777737796307,0.0036070102360099554,0.00044048239942640066,0.0008044964051805437,0.0008651133975945413,0.0007256924291141331,0.0029421828221529722,0.04767550155520439,0.0008260717731900513,0.0004790841194335371,0.0025765516329556704,0.0007480375352315605,0.01852273941040039,0.00407519331201911,0.0008928519673645496,0.002061130478978157,0.0022335918620228767,0.00220335740596056,0.0006839464185759425,0.0008112508221529424,0.8506076335906982,0.07821332663297653,0.07117904722690582,0.21515102684497833,0.006642050109803677,0.005617029033601284,0.06876449286937714,0.7019365429878235,-0.007034279406070709
erdogan1_c002,erdogan1,erdogan,en,,symposium_speech,2,102,91,0.40991801023483276,0.010624200105667114,0.059909213334321976,0.1004951149225235,0.21102923154830933,0.01994728110730648,0.011122484691441059,0.004819741938263178,0.0008759557968005538,0.003772516269236803,0.0011915863724425435,0.0028841097373515368,0.0041072857566177845,0.0013354407856240869,0.002063813852146268,0.06271450966596603,0.002152345608919859,0.001098735723644495,0.001628670608624816,0.0007216353551484644,0.07343508303165436,0.005118384025990963,0.0015563699416816235,0.0005463589914143085,0.002659302204847336,0.0018552442779764533,0.0006061337189748883,0.0009906995110213757,0.26904627680778503,0.7160097360610962,0.014944051392376423,0.21102923154830933,0.059909213334321976,0.01994728110730648,0.1004951149225235,0.40991801023483276,-0.7010656846687198
erdogan1_c003,erdogan1,erdogan,en,,symposium_speech,3,152,128,0.6553857922554016,0.0008312941063195467,0.006099064834415913,0.16317905485630035,0.29173901677131653,0.009115476161241531,0.01860843040049076,0.009027737192809582,0.0003218428755644709,0.0015833547804504633,0.0005959643167443573,0.0006828021723777056,0.0005398665089160204,0.00032586767338216305,0.0013209822354838252,0.012254254892468452,0.0008976489771157503,0.0007709658821113408,0.0010762290330603719,0.0050982143729925156,0.0013675765367224813,0.0010077774059027433,0.0006095038843341172,0.0009624729282222688,0.006436357740312815,0.0019072853028774261,0.0005571446381509304,0.0016657733358442783,0.6038707494735718,0.032562609761953354,0.36356663703918457,0.29173901677131653,0.006099064834415913,0.01860843040049076,0.16317905485630035,0.6553857922554016,0.3310040272772312
erdogan1_c004,erdogan1,erdogan,en,,symposium_speech,4,96,88,0.25394484400749207,0.0010222942801192403,0.003876011585816741,0.02401970513164997,0.4694751799106598,0.004733852110803127,0.0076258741319179535,0.19169403612613678,0.0005211306270211935,0.00341878947801888,0.0003170281706843525,0.0008038901723921299,0.0004211788473185152,0.0005873159971088171,0.003104619449004531,0.1882096827030182,0.0007577885407954454,0.0007635294459760189,0.01006238255649805,0.0013561300002038479,0.032862331718206406,0.010435126721858978,0.0013859655009582639,0.009918365627527237,0.0014686048962175846,0.006065735127776861,0.00042287237010896206,0.0013113624881953,0.43648773431777954,0.027103586122393608,0.5364086627960205,0.4694751799106598,0.003876011585816741,0.0076258741319179535,0.032862331718206406,0.25394484400749207,0.5093050766736269
erdogan1_c005,erdogan1,erdogan,en,,symposium_speech,5,96,78,0.22624331712722778,0.0016392581164836884,0.0034939392935484648,0.022916004061698914,0.27903491258621216,0.0033953599631786346,0.00469232676550746,0.014581159688532352,0.0005382746458053589,0.0015311402967199683,0.0003311589825898409,0.002800270449370146,0.0020016911439597607,0.0007853755378164351,0.003356669330969453,0.23675225675106049,0.0006018531857989728,0.0011664478806778789,0.0008319399203173816,0.008974955417215824,0.017431912943720818,0.01579418033361435,0.003084219992160797,0.0009541739127598703,0.06957799196243286,0.016293013468384743,0.0006194087909534574,0.32430946826934814,0.6910688281059265,0.27991288900375366,0.02901836484670639,0.27903491258621216,0.0034939392935484648,0.00469232676550746,0.32430946826934814,0.22624331712722778,-0.25089452415704727
erdogan1_c006,erdogan1,erdogan,en,,symposium_speech,6,106,88,0.7767577171325684,0.0006100944010540843,0.002732115099206567,0.03333635628223419,0.28324100375175476,0.006708201952278614,0.011790435761213303,0.002278601750731468,0.00016817405412439257,0.0006775156944058836,0.0002644639171194285,0.00043600841308943927,0.0002977131516672671,0.0002761012874543667,0.0009589562541805208,0.0286110807210207,0.0007330315420404077,0.0008561122813262045,0.0004016091115772724,0.0006264481926336884,0.0032118887174874544,0.0016972172306850553,0.0008682113257236779,0.0007236123783513904,0.007520266342908144,0.0013860281324014068,0.0006115760770626366,0.0023575634695589542,0.4019147455692291,0.5826099514961243,0.015475284308195114,0.28324100375175476,0.002732115099206567,0.011790435761213303,0.03333635628223419,0.7767577171325684,-0.5671346671879292
erdogan1_c007,erdogan1,erdogan,en,,symposium_speech,7,84,74,0.6875748038291931,0.0007544463151134551,0.0015520857414230704,0.022584622725844383,0.18767616152763367,0.005472424905747175,0.004006688017398119,0.0034307336900383234,0.0002142518642358482,0.00040261211688630283,0.00024590722750872374,0.0006859438726678491,0.00036269656266085804,0.0002857913787011057,0.0007341063464991748,0.011393589898943901,0.0006516248686239123,0.0010484593221917748,0.00019348639762029052,0.002380714751780033,0.0016098206397145987,0.002104224869981408,0.0012149683898314834,0.0005241090548224747,0.062305595725774765,0.0017505234573036432,0.0005213375552557409,0.0890834853053093,0.6478431224822998,0.014624271541833878,0.33753255009651184,0.18767616152763367,0.0015520857414230704,0.005472424905747175,0.0890834853053093,0.6875748038291931,0.32290827855467796
erdogan1_c008,erdogan1,erdogan,en,,symposium_speech,8,144,118,0.6006358861923218,0.0010903592919930816,0.0020323405042290688,0.020524663850665092,0.12749847769737244,0.007124892435967922,0.0060640741139650345,0.0021538976579904556,0.00028058741008862853,0.0004075663164258003,0.0003528110682964325,0.001155472593382001,0.0005364095559343696,0.0004989620647393167,0.0006312428158707917,0.024415912106633186,0.00083178497152403,0.0015194953884929419,0.0001792147959349677,0.0025326393079012632,0.002853056415915489,0.0044243223965168,0.0014687594957649708,0.0004781135939992964,0.11052777618169785,0.0014628279022872448,0.0004402745980769396,0.18851293623447418,0.8751934170722961,0.03903481736779213,0.08577186614274979,0.12749847769737244,0.0020323405042290688,0.007124892435967922,0.18851293623447418,0.6006358861923218,0.04673704877495766
erdogan2022_c000,erdogan2022,erdogan,en,2022-12-31,new_year_message,0,83,68,0.18878404796123505,0.006581289228051901,0.0022127178963273764,0.031080404296517372,0.05013004690408707,0.004103928338736296,0.0011618536664173007,0.018835118040442467,0.0034633425530046225,0.020587915554642677,0.00163918302860111,0.0049439119175076485,0.003720119595527649,0.0018249256536364555,0.18320347368717194,0.020938746631145477,0.0012886321637779474,0.0016248178435489535,0.019460154697299004,0.011535046622157097,0.017367541790008545,0.025278210639953613,0.017340585589408875,0.07270526885986328,0.0009490186348557472,0.31168332695961,0.0014357378240674734,0.0010350709781050682,0.045644037425518036,0.0024472884833812714,0.9519087076187134,0.31168332695961,0.006581289228051901,0.004103928338736296,0.031080404296517372,0.18878404796123505,0.9494614191353321
