leader,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,n_speeches,n_chunks
erdogan,0.2622246733186813,0.2622246733186813,0.4346870289625275,-0.023308635069366302,1.4602368260012208,0.25531986410378515,0.25531986410378515,0.4247358693811355,-0.017495244140648354,0.5820407516300367,0.23893829460989013,0.23893829460989013,0.41086035020415146,-0.018402822526825395,0.7381584158217338,0.26075925024297925,0.26075925024297925,0.4978339844198657,-0.001691862500592184,0.46360255509157505,0.24400991357838828,0.24400991357838828,0.45427854990103783,-0.0016021999044566553,0.5399081561587302,0.2594718626172161,0.2594718626172161,0.3596580162194872,-0.04240468302509157,0.43628280399877895,0.30567858085836386,0.30567858085836386,0.42617205921105006,-0.015779222590213676,0.2949780435897436,0.2701734895702076,0.2701734895702076,0.43268600127405377,-0.021855146372191697,0.14072845536996334,0.8455801597875459,0.24471989039614592,0.14509000546851952,0.705422324138718,0.4276479143618376,0.7454061595129609,0.499392957593359,0.022695047876796822,5,61
macron,0.2718323167009203,0.2718323167009203,0.45883608289733746,-0.013700991209251293,1.0475106930621156,0.26632692066044855,0.26632692066044855,0.4706372971671526,-0.006488188151259559,0.598600088134606,0.2647430288440218,0.2647430288440218,0.5424299210187036,0.007401911786825422,0.6575047111526279,0.2643220598766213,0.2643220598766213,0.5211220768336988,0.001870948071172121,0.8998034267621411,0.25777795254683517,0.25777795254683517,0.5729580839964528,0.012165837778121509,0.5629070710499372,0.28790121287899234,0.28790121287899234,0.4449209687389859,-0.013975332821349105,0.7964663479021874,0.3282677828608347,0.3282677828608347,0.5250221047893402,0.006809979068595835,0.44889297484002477,0.33014815516838636,0.33014815516838636,0.6304030315509845,0.03811951896667698,0.6002590895885347,0.838537018645578,0.22165333561465028,0.2333276494890274,0.6504753069859153,0.5280157594142633,0.8224449999458006,0.5969938559354204,0.19929697617046427,4,75
merkel,0.23886660350694444,0.23886660350694444,0.34981921706249997,-0.046666705669097225,0.41223610625,0.254379776875,0.254379776875,0.43287993780208334,-0.018435331494791665,0.7561106127777778,0.24647348413194445,0.24647348413194445,0.46173382077708336,-0.010867631435416667,0.71278165375,0.24737931562499998,0.24737931562499998,0.4222623958229167,-0.015071795879166665,0.9182935870833333,0.2610093751736111,0.2610093751736111,0.5479080570416667,0.015397259755902778,0.6659364624305556,0.31400169760416663,0.31400169760416663,0.5390553263298611,0.012125154610416666,1.1780822165972222,0.30572471079861113,0.30572471079861113,0.4250315672916667,-0.015733092834027775,0.2586450593055556,0.2997884721875,0.2997884721875,0.5128271336625,0.007759835820138885,0.7902639516319444,0.6252246874569445,0.29169255772590275,0.17485535220326387,0.65593101899375,0.485470278255625,0.8327711824300348,0.49814309942222224,0.17103450520458333,4,34
putin,0.3552152696287879,0.3552152696287879,0.7093710864469697,0.06968196222348484,1.6866713219318181,0.3013863255871212,0.3013863255871212,0.6007137532386364,0.028571216704166666,1.0101303184848485,0.21990798209848486,0.21990798209848486,0.36126502277272726,-0.037433134170530305,0.083193125,0.254886208875,0.254886208875,0.472453355935606,-0.007564902855151515,0.04573955454545455,0.2073991949469697,0.2073991949469697,0.3457112415378788,-0.03821292039469697,0.11820925583333333,0.37379678862878785,0.37379678862878785,0.7416009218825758,0.07192024250454546,2.2428877394886366,0.3251913724810606,0.3251913724810606,0.5168357080685606,0.003733569224545457,0.1590343391477273,0.26604169193560606,0.26604169193560606,0.4156069942310606,-0.025986942455681818,0.47575275422348484,0.7735158742337879,0.37698095920728786,0.020335030872484845,0.5285974448313826,0.100612531325,0.8630681731704546,0.3198422112056591,0.03335024246312879,4,26
trump,0.31895104571428573,0.31895104571428573,0.6041174741190477,0.033417737027380955,1.5787369098214288,0.32538543645833334,0.32538543645833334,0.7211235694642858,0.05257032766845238,0.42656453839285713,0.31901479348214284,0.31901479348214284,0.7097845330357143,0.06167367619047618,0.591282417797619,0.27277496595238093,0.27277496595238093,0.5261585003571428,0.010323853023511903,0.7873335535714285,0.2641810603273809,0.2641810603273809,0.6101559449178572,0.018568946045238094,0.5807785445238095,0.33042274160714286,0.33042274160714286,0.6106970753571429,0.028546196182440475,0.9976547986309523,0.3383615041964286,0.3383615041964286,0.5917822730357143,0.016903701510119048,0.23847701416666667,0.28118155139880946,0.28118155139880946,0.48178620169642855,-0.010847083872767857,0.1522196592261905,0.9113986454523809,0.49956688304476193,0.3066860998404464,0.779854355252381,0.6177299230851191,0.8666578201488094,0.6061313347044642,0.0821774124351637,3,46
