,erdogan,macron,merkel,putin,trump
erdogan,1.0,0.579775,0.6147728,0.60022855,0.61001706
macron,0.579775,1.0,0.69591933,0.64662856,0.64371985
merkel,0.6147728,0.69591933,1.0,0.674167,0.6681347
putin,0.60022855,0.64662856,0.674167,1.0,0.7522379
trump,0.61001706,0.64371985,0.6681347,0.7522379,1.0
