speech_id,leader,language,speech_date,speech_type,emo_admiration,emo_gratitude,emo_neutral,emo_approval,emo_realization,emo_pride,emo_excitement,emo_joy,emo_optimism,emo_relief,emo_surprise,emo_annoyance,emo_caring,emo_disappointment,emo_disapproval,emo_desire,emo_sadness,emo_embarrassment,emo_love,emo_fear,emo_grief,emo_confusion,emo_disgust,emo_anger,emo_remorse,emo_amusement,emo_nervousness,emo_curiosity,sent_positive,sent_neutral,sent_negative,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence,n_chunks
erdogan1,erdogan,en,,symposium_speech,0.050499499030411246,0.02639513906906359,0.4992825508117676,0.21842028722167015,0.05505953449755907,0.004979666536382865,0.005301557877101004,0.00339149214560166,0.060410747304558754,0.002891794629977085,0.0029027628363110123,0.008846054365858436,0.005047196068335325,0.03493346396135166,0.0078400845406577,0.01631473026936874,0.037115966971032324,0.0008192246372345835,0.0013566972920671105,0.0013740419613895937,0.0012323995688348077,0.028796509106177835,0.0010848739941138775,0.0011563088977709413,0.0009761290508322418,0.0005741570639656857,0.001203776113106869,0.06793556823686231,0.25673010144382713,0.56167556270957,0.1815943364985287,0.2367049053311348,0.04259472909616306,0.010722472053021192,0.11859017424285412,0.4992825508117676,0.07513576494529843,10
erdogan2022,erdogan,en,2022-12-31,new_year_message,0.03997310859043724,0.023394761271237467,0.3188417058151502,0.18704860714765695,0.04621967744941895,0.008048233701489292,0.06555203756747338,0.052195005862113945,0.1578684071652018,0.008687341200689284,0.0026630717598331664,0.009648696770175146,0.04150991541190216,0.028419373933082588,0.007831277603355166,0.11365738700932035,0.017367725824722305,0.0011354168706860107,0.003938806014887702,0.0038832347177398894,0.0013927530627160405,0.001938915377160391,0.0013408543130096335,0.0012152383883053868,0.0018666459878799147,0.001168289074065307,0.010322829840543609,0.001628827458122172,0.5380968633466042,0.34817926356425655,0.11372388229490472,0.34671054465266377,0.028900593053549528,0.010718641695208274,0.14753238011438113,0.3188417058151502,0.42437298105169946,13
erdogan2023,erdogan,en,2023-12-31,new_year_message,0.030349661005727415,0.06963810751247886,0.3084111117890903,0.19963210907631687,0.02983065089210868,0.003460812706699861,0.007171943259891123,0.005023701365904084,0.15220719552598894,0.004035028138397527,0.0011536173073441855,0.013613966925601875,0.03389493392647377,0.055865961559382935,0.025606219174473414,0.18458621446708484,0.06319929500542847,0.0008505213637753124,0.012027700947198485,0.002381703280012256,0.0028065086620959584,0.0017828183315162147,0.0018646792533607887,0.0019682176394521128,0.003925275057554245,0.0008507696620654315,0.0020675375126302242,0.002102031041951185,0.4367462722584605,0.35474713146686554,0.20850658523184912,0.32428136627588955,0.088480907326032,0.026965567409726127,0.20048370465104068,0.3084111117890903,0.2282396870266114,14
erdogan2024,erdogan,en,2024-12-31,new_year_message,0.0939924184543391,0.15993075952671157,0.12984050748248896,0.19370035578807196,0.010820319235790521,0.010232856817310676,0.01562608281771342,0.017747666997214157,0.40390470849039656,0.006593187339603901,0.0014889378702112783,0.005094222297581534,0.13842040001569936,0.0033354547049384564,0.004999895192061861,0.15676365427983305,0.0021655534219462425,0.0004451694355035822,0.03338561889055806,0.001525716928881593,0.0010128895834592793,0.0012408394444112976,0.0010059047393345584,0.0015669755569736783,0.0019014019441480439,0.0009109445794213874,0.0008883803529897705,0.0021623807648817697,0.7907935238132874,0.17105213024963936,0.03815435375630235,0.5739370236794153,0.0038578008437373987,0.0057058405557957785,0.15729192458093166,0.12984050748248896,0.7526391700569851,12
erdogan2025,erdogan,en,2025-12-31,new_year_message,0.10652192944793828,0.18890264482303923,0.24846819761608327,0.2015329028612801,0.026322285046002696,0.00917948962887749,0.009844721087055015,0.008521181522935097,0.21941341453098825,0.0076648464309982955,0.0012964839032585068,0.008960330925349678,0.07062229800171085,0.009868786678582962,0.014132772372769458,0.1555343805479684,0.007238325629649418,0.0007859454531821289,0.00975844556316068,0.0021745038351842333,0.0015262683362899615,0.0013079149773277874,0.0015574751845893583,0.0030413566855713725,0.002551153892584677,0.000794968129152299,0.0012385311274556443,0.0017877272912301123,0.6656012226428304,0.27872544899582863,0.05567331726862384,0.45226270279714037,0.012262983189430088,0.015022376718531762,0.16730618263993943,0.24846819761608327,0.6099279053742066,14
macron2022,macron,en,2022-12-31,new_year_address,0.10715647409152654,0.09607660285352419,0.19036326088287212,0.2554122823531981,0.03193022538390425,0.015791261201094905,0.009534596836332369,0.0063345498724461154,0.24853544199356326,0.006558707242624627,0.0040550846175325134,0.006677086585787711,0.06568100781145471,0.011105161539658352,0.008072031467842558,0.12865750907264925,0.0075545300539858916,0.0008216405145099594,0.003563016461191216,0.0033374133334426142,0.0015130205752535,0.017418324130294087,0.0013333094129511327,0.001444507952934752,0.002627813794080996,0.0008169142712614741,0.002041754020697058,0.05086441420199764,0.477938298549917,0.42734029944296237,0.09472141245862951,0.46981858034376744,0.014360618027341034,0.009144822282164736,0.1836134554059417,0.19036326088287212,0.3832168860912875,27
macron2023,macron,en,2023-12-31,new_year_address,0.08960227225907147,0.1392299278737291,0.19484238571634419,0.1994026491026345,0.0262748752720654,0.040358266710475287,0.027355773478599365,0.04102060721427398,0.24570446637900253,0.013267131283340094,0.002609034755120152,0.008228061255067587,0.04557872025639211,0.012585621725424732,0.007398958685562799,0.09979175821583915,0.03788653870517584,0.0013185757193959465,0.0037563274534860333,0.005442508597441606,0.0027864185854253407,0.01455996349748028,0.0014073191927500854,0.0020132721830649594,0.0028529371790538883,0.0013071699358988553,0.009040499377174695,0.007181739848180625,0.700056536147665,0.2005958755157496,0.09934758534654975,0.41785745008995656,0.04170915116188362,0.009811624284147433,0.11899210571458466,0.19484238571634419,0.6007089508011153,19
macron2024,macron,en,2024-12-31,new_year_address,0.15233525878284127,0.10947569222480524,0.18961978773586452,0.24530283780768514,0.04379383663763292,0.030033758623176254,0.010959991028357763,0.016324666852597147,0.20557758258655667,0.010370494099333882,0.002131757835741155,0.008876365958712995,0.04943899699719623,0.015521338493272197,0.01510415413940791,0.105225966006401,0.02037497577839531,0.0012495928167481907,0.004088882380528958,0.0032977578666759655,0.0017345589021715568,0.0017534100807097275,0.0012489554937928915,0.0016136753074533772,0.002347591744182864,0.0008109860664262669,0.0028005577787553193,0.001789695870684227,0.5413762994576246,0.3560016911942512,0.10262199037242681,0.49429812375456095,0.026262716368364636,0.015950421890011057,0.13457733811810613,0.18961978773586452,0.43875430908519775,16
macron2025,macron,en,2025-12-31,new_year_address,0.05633251960031115,0.2036932885508017,0.12731627919352972,0.15580470473147356,0.016250001159138404,0.003410513557565327,0.006635588531095821,0.004253902221814944,0.18006953410804272,0.00342295418242709,0.0009124773787334561,0.01021426536429387,0.09798151059434392,0.02522026014048606,0.006975046932124174,0.31347011467173264,0.021462537679606333,0.000893905378269175,0.008651947983218214,0.003067718106859292,0.0013535845769533457,0.0019407032165103233,0.0018125421618326353,0.0017700366756448953,0.0033037045639223205,0.0008859264556891643,0.006560103264816392,0.003063313851061349,0.5343453107186809,0.35331904085782856,0.11233564401761843,0.4396449548120682,0.027420086696600683,0.010398242192772718,0.3209277968853712,0.12731627919352972,0.4220096667010624,13
merkel1,merkel,en,2016-12-31,new_year_address,0.08369049998000264,0.021122370423108806,0.2395352028310299,0.30977956876158713,0.04278808920644224,0.0064150201709708195,0.005881108460016549,0.0065225362137425694,0.16982832606881856,0.0061700937454588715,0.001629701955243945,0.0276008807355538,0.08864784552715718,0.03349196038907394,0.03783595759887248,0.03878226962406188,0.014916381513467058,0.001354210966383107,0.00460979959461838,0.0034837783372495324,0.0014149087452096864,0.014084502402693034,0.003742660710122436,0.006402175349649042,0.0021606251073535533,0.000517121230950579,0.003457409515976906,0.05023724245838821,0.5475108894985169,0.2843404825776815,0.16814861111342908,0.3818581596016884,0.03570096271578223,0.04909201685804874,0.11160933636128903,0.2395352028310299,0.37936227838508785,10
