leader,mean_dist_speech_to_leader,ci_low,ci_high,n_speeches
erdogan,0.08377762883901596,0.026590586,0.09676479,5
macron,0.026365801692008972,0.010621786,0.026365817,4
merkel,0.04600949585437775,0.01684466,0.046009496,4
putin,0.038492411375045776,0.014619857,0.038492456,4
trump,0.04867235943675041,-7.947286e-08,0.048672397,3
