leader,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,conflict_threat_framing_rate,cooperation_solidarity_framing_rate,past_orientation_rate,future_orientation_rate,us_vs_them_rate,gratitude_recognition_rate,promises_commitments_rate,n_speeches,n_chunks
erdogan,0.2596650611086691,0.2596650611086691,0.48153462634166055,-0.005115668966636141,0.31005895765018315,0.31005895765018315,0.40192105857606836,-0.02399497559064713,0.3031876299078144,0.3031876299078144,0.5112246357485959,0.004395595230641027,0.32832594900732603,0.32832594900732603,0.4756801253582418,-0.005158909918913308,0.24640925244053724,0.24640925244053724,0.4134123436947741,-0.025242760731923074,0.2792817303162393,0.2792817303162393,0.3719351362657143,-0.04073086924090085,0.3087155614194139,0.3087155614194139,0.43531847231045184,-0.01877903046363858,0.10882238819405068,0.35073057471695723,0.6478448064672101,0.5997028558427105,0.5100800462566936,0.7069913727291648,0.8966542310887669,0.20274725274725275,0.20054945054945056,0.25799755799755797,0.26355311355311356,0.09914529914529915,0.12252747252747254,0.1644078144078144,5,61
macron,0.25829727595303364,0.25829727595303364,0.4703358632824238,-0.006483454206900248,0.3293501667019043,0.3293501667019043,0.4745136874138645,-0.004703766333469222,0.2940255880352892,0.2940255880352892,0.48134142586711604,-0.004766446662810297,0.3543191382302444,0.3543191382302444,0.5672614960625609,0.020834279818271573,0.24570234758985138,0.24570234758985138,0.40341059990158057,-0.02594966595694407,0.30899562697977584,0.30899562697977584,0.46073322918819115,-0.011016973541650031,0.3398354207611711,0.3398354207611711,0.5494773197671033,0.012340829015871945,0.08146434423301929,0.3582984552107733,0.5253979553141807,0.7142525835350066,0.491559807119119,0.8209906937984077,0.9231564117382958,0.2088558067176488,0.1932308067176488,0.23257094391962813,0.314861673414305,0.08258359574149048,0.2056694219523167,0.31238753936122354,4,75
merkel,0.25626308399305553,0.25626308399305553,0.46283861350694444,-0.008517645737847222,0.3332903754861111,0.3332903754861111,0.5050074595708334,-0.0007635585496527783,0.2570581902083333,0.2570581902083333,0.31676136494375,-0.041733842997916666,0.30368428190972224,0.30368428190972224,0.4150309879333333,-0.02980057578159722,0.255907925625,0.255907925625,0.45249368649652777,-0.015744087350347224,0.28436182680555555,0.28436182680555555,0.3937385239097222,-0.03565077240069445,0.3064150668055555,0.3064150668055555,0.4265237546631945,-0.021079524639027777,0.035341186532013895,0.44224307255718753,0.5384151113311111,0.3472187061411111,0.5032340675143749,0.6675746204618056,0.9168112016944444,0.2013888888888889,0.3298611111111111,0.12152777777777778,0.12152777777777778,0.1701388888888889,0.09027777777777778,0.18055555555555555,4,34
putin,0.2702382284090909,0.2702382284090909,0.522537879189394,0.0054574985080303035,0.37104759644696966,0.37104759644696966,0.657217314185606,0.03699366265151515,0.35539610059469695,0.35539610059469695,0.7139290687121213,0.05660406426477273,0.3463572499659091,0.3463572499659091,0.5506996670719697,0.01287238826098485,0.28496940020833333,0.28496940020833333,0.5629507883863636,0.01331738654469697,0.3980985502537879,0.3980985502537879,0.7391075030984848,0.07808595045454546,0.31847199734848486,0.31847199734848486,0.45328230314393936,-0.009022595848503788,0.037922081323117425,0.40653018982386363,0.5280242541373636,0.611568645397538,0.25287098574575756,0.9467988935757576,0.9481800101515151,0.2178030303030303,0.38295454545454544,0.546969696969697,0.33106060606060606,0.3556818181818182,0.5363636363636364,0.1125,4,26
trump,0.3056265911607143,0.3056265911607143,0.6833923652678572,0.0408458622452381,0.3566923402678572,0.3566923402678572,0.5944878874345237,0.022638406430059526,0.30372651991071425,0.30372651991071425,0.5417650469047619,0.004934486211249999,0.34059587875,0.34059587875,0.5397604246071429,0.007111020784226189,0.34974690324404767,0.34974690324404767,0.7903261582440476,0.07809489038869048,0.36770328964285715,0.36770328964285715,0.6751155986607142,0.04769068901547619,0.3825691435416667,0.3825691435416667,0.7200536163392858,0.05507455029285715,0.0674266682017738,0.45135331239910714,0.7520039363446727,0.5851322798771429,0.6325037744226191,0.8313068848571428,0.967756031825,0.5952380952380952,0.21726190476190477,0.16666666666666666,0.16964285714285712,0.6904761904761904,0.33035714285714285,0.6666666666666666,3,46
