leader,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,conflict_threat_framing_rate,cooperation_solidarity_framing_rate,past_orientation_rate,future_orientation_rate,us_vs_them_rate,gratitude_recognition_rate,promises_commitments_rate,n_speeches,n_chunks
erdogan,0.25732354987289374,0.25732354987289374,0.47615238095238094,-0.005978388293406594,0.30776090704065934,0.30776090704065934,0.39299384615384614,-0.02601845700503297,0.3021885230956044,0.3021885230956044,0.5090675457875459,0.003868528595586081,0.3311134854611722,0.3311134854611722,0.4797731868131868,-0.004538301281186813,0.245115075010989,0.245115075010989,0.40758754578754586,-0.025664236101802195,0.2806039827970696,0.2806039827970696,0.36782681318681315,-0.040856324293296706,0.31156480553699634,0.31156480553699634,0.43949274725274723,-0.016753135097630035,0.09986797382617399,0.3406320536677246,0.6280440854291575,0.6316105936610183,0.5001078147474047,0.7197121248393773,0.9075193434891575,0.21043956043956044,0.17728937728937727,0.2601098901098901,0.2591575091575092,0.09252747252747254,0.10714285714285714,0.17315018315018316,5,63
macron,0.25745427031528806,0.25745427031528806,0.47337945156695155,-0.00584766865968052,0.3290828545114288,0.3290828545114288,0.4745013307842255,-0.004696510143802247,0.2933149684883182,0.2933149684883182,0.47952866809116806,-0.005005026731444836,0.3540598288281367,0.3540598288281367,0.5581521030139451,0.018408043246933573,0.24516627330713936,0.24516627330713936,0.40105290335882443,-0.025613038700299892,0.30910639011407726,0.30910639011407726,0.4585635683760684,-0.012353916494779951,0.3391984545186216,0.3391984545186216,0.5429596078872394,0.010880514403964613,0.08135629263064802,0.3488945963913389,0.5275949582532892,0.7156619635195068,0.484800219914454,0.8275871781328892,0.9182644351842095,0.2088558067176488,0.18007291198080672,0.2155144137052032,0.2824730094466936,0.06942570100464837,0.19930368121157593,0.2931567701304543,4,75
merkel,0.2561623258888889,0.2561623258888889,0.47153333333333336,-0.007139613915277777,0.34233101299999996,0.34233101299999996,0.5456555555555556,0.008551648526944445,0.26371483772222226,0.26371483772222226,0.35855555555555557,-0.034605158075,0.31790249016666666,0.31790249016666666,0.4500888888888889,-0.017749296480555555,0.25556810094444443,0.25556810094444443,0.4577888888888889,-0.01521121066361111,0.2941345284722222,0.2941345284722222,0.42173333333333335,-0.02732577952833333,0.31253791538888887,0.31253791538888887,0.4465,-0.01578002440966667,0.036432693199749996,0.44151007910624995,0.4695173248251111,0.37448251340833333,0.4836830964073889,0.6914882614055555,0.9212218726916667,0.23333333333333334,0.4,0.1361111111111111,0.1611111111111111,0.1527777777777778,0.15833333333333333,0.21388888888888888,4,38
putin,0.26995803842424243,0.26995803842424243,0.528319696969697,0.006656100098181818,0.36927103864015154,0.36927103864015154,0.6562590909090908,0.035491674414204546,0.35497883836363636,0.35497883836363636,0.7190363636363637,0.056658841041287884,0.3501976440757576,0.3501976440757576,0.5581681818181818,0.014545857328030301,0.28237932104924246,0.28237932104924246,0.5566848484848484,0.011600009928181818,0.4008935092840909,0.4008935092840909,0.7444666666666666,0.0794332025969697,0.31692702395833333,0.31692702395833333,0.438239393939394,-0.011390915462575759,0.037589809243738635,0.39494029083825755,0.4627624976833258,0.563248332205644,0.21517902835708333,0.9341689785909091,0.9302054938643939,0.2178030303030303,0.37462121212121213,0.5886363636363636,0.37272727272727274,0.3784090909090909,0.5174242424242423,0.1125,4,26
trump,0.2863255377474323,0.2863255377474323,0.5981335200746966,0.023023598062371618,0.3404547877941176,0.3404547877941176,0.5188702147525677,0.006675424484663864,0.29566387990662935,0.29566387990662935,0.4920429505135388,-0.002656115711624649,0.33356819100140056,0.33356819100140056,0.5026489262371615,-0.002083593096685342,0.34282989545751635,0.34282989545751635,0.7693622782446313,0.07205058230464519,0.3716386660060691,0.3716386660060691,0.6781008403361345,0.05017835869778245,0.3757634167040149,0.3757634167040149,0.6930513538748834,0.047445477319864614,0.052766651098324006,0.42356319635352474,0.8169872175528804,0.47972942527896684,0.4236363963214285,0.8154259938880486,0.9336983036890757,0.45471521942110177,0.21638655462184875,0.16176470588235295,0.17296918767507,0.6468253968253969,0.4185340802987862,0.5408496732026143,3,48
