leader,mean_dist_speech_to_leader,ci_low,ci_high,n_speeches
erdogan,0.06730131804943085,0.018357992,0.081589594,5
macron,0.01922948658466339,0.0073007047,0.019229487,4
merkel,0.03421974182128906,0.012187421,0.03421974,4
putin,0.02910567820072174,0.012956381,0.029105678,4
trump,0.04826992750167847,-1.9868214e-07,0.048269928,3
