leader,n_speeches,n_chunks,mean_dist_speech_to_leader,sd_dist_speech_to_leader,mean_dist_chunk_to_speech,mean_dist_chunk_to_leader
erdogan,5,80,0.04551617056131363,0.029050806537270546,0.219415482878685,0.2553910970687866
macron,4,96,0.016049668192863464,0.003943863324820995,0.22832277789711952,0.2407279908657074
merkel,4,42,0.027401506900787354,0.0031321647111326456,0.20884783193469048,0.23049816489219666
putin,4,26,0.028264105319976807,0.0031116220634430647,0.1491090953350067,0.17316975072026253
trump,3,46,0.05204492807388306,0.024124931544065475,0.1622998317082723,0.20718844731648764
