leader,mean_dist_speech_to_leader,ci_low,ci_high,n_speeches
erdogan,0.04317221790552139,0.013529478,0.051396213,5
macron,0.015190467238426208,0.00596036,0.015190467,4
merkel,0.02381989359855652,0.009181529,0.023819908,4
putin,0.025581970810890198,0.0113606155,0.025582,4
trump,0.03914618492126465,0.0,0.039146204,3
