leader,n_speeches,n_chunks,mean_dist_speech_to_leader,sd_dist_speech_to_leader,mean_dist_chunk_to_speech,mean_dist_chunk_to_leader
erdogan,5,63,0.08377762883901596,0.05206480249762535,0.2707794427871704,0.3328478574752808
macron,4,75,0.026365801692008972,0.003601278178393841,0.28836433589458466,0.3071514070034027
merkel,4,38,0.04600949585437775,0.010084808804094791,0.29156842827796936,0.3241134360432625
putin,4,26,0.038492411375045776,0.007961072959005833,0.17444221302866936,0.20614707469940186
trump,3,48,0.04867235943675041,0.01597531884908676,0.24281655251979828,0.2803209175666173
