leader,n_speeches,n_chunks,mean_dist_speech_to_leader,sd_dist_speech_to_leader,mean_dist_chunk_to_speech,mean_dist_chunk_to_leader
erdogan,5,63,0.06488318741321564,0.04849470034241676,0.1915710151195526,0.2441063106060028
macron,4,75,0.018834277987480164,0.00351306376978755,0.21580536663532257,0.23059390485286713
merkel,4,38,0.028837546706199646,0.00477373693138361,0.20360466092824936,0.22660574689507484
putin,4,26,0.026298731565475464,0.0028569831047207117,0.13071217201650143,0.15357615798711777
trump,3,48,0.03983509540557861,0.010205689817667007,0.1773898551861445,0.21030819416046143
