chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,token_count,word_count,emo_admiration,emo_gratitude,emo_neutral,emo_approval,emo_realization,emo_pride,emo_excitement,emo_joy,emo_optimism,emo_relief,emo_surprise,emo_annoyance,emo_caring,emo_disappointment,emo_disapproval,emo_desire,emo_sadness,emo_embarrassment,emo_love,emo_fear,emo_grief,emo_confusion,emo_disgust,emo_anger,emo_remorse,emo_amusement,emo_nervousness,emo_curiosity,sent_positive,sent_neutral,sent_negative,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence
erdogan1_c000,erdogan1,erdogan,en,,symposium_speech,0,80,70,0.26247623562812805,0.24697142839431763,0.17378932237625122,0.0796300545334816,0.06008206680417061,0.03243975341320038,0.020156236365437508,0.0166721660643816,0.010856556706130505,0.010634996928274632,0.005270455498248339,0.0050997985526919365,0.0032996577210724354,0.0030952885281294584,0.0026343748904764652,0.001917386893182993,0.0015883126761764288,0.0011439245427027345,0.0010789535008370876,0.0010550145525485277,0.001009735045954585,0.00097663514316082,0.000938803656026721,0.000777374894823879,0.0007771715754643083,0.0007258162368088961,0.0005974216037429869,0.0004211649938952178,0.9206234812736511,0.07547181099653244,0.003904668614268303,0.26247623562812805,0.0030952885281294584,0.0050997985526919365,0.06008206680417061,0.17378932237625122,0.9167188126593828
erdogan1_c001,erdogan1,erdogan,en,,symposium_speech,1,118,97,0.009343846701085567,0.0014133723452687263,0.3857191503047943,0.04141702502965927,0.07541736215353012,0.002301283646374941,0.0009774412028491497,0.003946962766349316,0.00425922404974699,0.00568371033295989,0.0013002501800656319,0.02719806134700775,0.003452842589467764,0.27737507224082947,0.0092792809009552,0.0031145894899964333,0.3539877235889435,0.003630236955359578,0.001553180394694209,0.002639177953824401,0.008220462128520012,0.001048191566951573,0.0027726986445486546,0.0026831121649593115,0.0046155075542628765,0.0006754571804776788,0.0037844455800950527,0.0007535750628449023,0.07345767319202423,0.5275838375091553,0.3989585041999817,0.04141702502965927,0.3539877235889435,0.02719806134700775,0.07541736215353012,0.3857191503047943,-0.32550083100795746
erdogan1_c002,erdogan1,erdogan,en,,symposium_speech,2,139,118,0.004912741016596556,0.000684117607306689,0.4926788806915283,0.16092392802238464,0.08002309501171112,0.001477184472605586,0.001897258567623794,0.0018485800828784704,0.06637150794267654,0.0031277078669518232,0.0007410707185044885,0.014047298580408096,0.0043662069365382195,0.047124169766902924,0.010051182471215725,0.09647710621356964,0.00875077210366726,0.001009964500553906,0.0014007844729349017,0.0026879359502345324,0.0007984578842297196,0.0020886939018964767,0.0018970047822222114,0.000874553807079792,0.0012115712743252516,0.000603733875323087,0.003047277219593525,0.001008920487947762,0.027268147096037865,0.5550469160079956,0.417684942483902,0.16092392802238464,0.047124169766902924,0.014047298580408096,0.09647710621356964,0.4926788806915283,-0.3904167953878641
erdogan1_c003,erdogan1,erdogan,en,,symposium_speech,3,152,128,0.009027737192809582,0.0009624729282222688,0.6553857922554016,0.29173901677131653,0.16317905485630035,0.0010762290330603719,0.0019072853028774261,0.0013209822354838252,0.012254254892468452,0.0015833547804504633,0.0050982143729925156,0.009115476161241531,0.0010077774059027433,0.006099064834415913,0.01860843040049076,0.0013675765367224813,0.0008312941063195467,0.0005959643167443573,0.0006095038843341172,0.0006828021723777056,0.0003218428755644709,0.006436357740312815,0.0008976489771157503,0.0007709658821113408,0.00032586767338216305,0.0005571446381509304,0.0005398665089160204,0.0016657733358442783,0.36356663703918457,0.6038707494735718,0.032562609761953354,0.29173901677131653,0.006099064834415913,0.01860843040049076,0.16317905485630035,0.6553857922554016,0.3310040272772312
erdogan1_c004,erdogan1,erdogan,en,,symposium_speech,4,96,88,0.19169403612613678,0.009918365627527237,0.25394484400749207,0.4694751799106598,0.02401970513164997,0.01006238255649805,0.006065735127776861,0.003104619449004531,0.1882096827030182,0.00341878947801888,0.0013561300002038479,0.004733852110803127,0.010435126721858978,0.003876011585816741,0.0076258741319179535,0.032862331718206406,0.0010222942801192403,0.0003170281706843525,0.0013859655009582639,0.0008038901723921299,0.0005211306270211935,0.0014686048962175846,0.0007577885407954454,0.0007635294459760189,0.0005873159971088171,0.00042287237010896206,0.0004211788473185152,0.0013113624881953,0.5364086627960205,0.43648773431777954,0.027103586122393608,0.4694751799106598,0.003876011585816741,0.0076258741319179535,0.032862331718206406,0.25394484400749207,0.5093050766736269
erdogan1_c005,erdogan1,erdogan,en,,symposium_speech,5,96,78,0.014581159688532352,0.0009541739127598703,0.22624331712722778,0.27903491258621216,0.022916004061698914,0.0008319399203173816,0.016293013468384743,0.003356669330969453,0.23675225675106049,0.0015311402967199683,0.008974955417215824,0.0033953599631786346,0.01579418033361435,0.0034939392935484648,0.00469232676550746,0.017431912943720818,0.0016392581164836884,0.0003311589825898409,0.003084219992160797,0.002800270449370146,0.0005382746458053589,0.06957799196243286,0.0006018531857989728,0.0011664478806778789,0.0007853755378164351,0.0006194087909534574,0.0020016911439597607,0.32430946826934814,0.02901836484670639,0.6910688281059265,0.27991288900375366,0.27903491258621216,0.0034939392935484648,0.00469232676550746,0.32430946826934814,0.22624331712722778,-0.25089452415704727
erdogan1_c006,erdogan1,erdogan,en,,symposium_speech,6,106,88,0.002278601750731468,0.0007236123783513904,0.7767577171325684,0.28324100375175476,0.03333635628223419,0.0004016091115772724,0.0013860281324014068,0.0009589562541805208,0.0286110807210207,0.0006775156944058836,0.0006264481926336884,0.006708201952278614,0.0016972172306850553,0.002732115099206567,0.011790435761213303,0.0032118887174874544,0.0006100944010540843,0.0002644639171194285,0.0008682113257236779,0.00043600841308943927,0.00016817405412439257,0.007520266342908144,0.0007330315420404077,0.0008561122813262045,0.0002761012874543667,0.0006115760770626366,0.0002977131516672671,0.0023575634695589542,0.015475284308195114,0.4019147455692291,0.5826099514961243,0.28324100375175476,0.002732115099206567,0.011790435761213303,0.03333635628223419,0.7767577171325684,-0.5671346671879292
erdogan1_c007,erdogan1,erdogan,en,,symposium_speech,7,84,74,0.0034307336900383234,0.0005241090548224747,0.6875748038291931,0.18767616152763367,0.022584622725844383,0.00019348639762029052,0.0017505234573036432,0.0007341063464991748,0.011393589898943901,0.00040261211688630283,0.002380714751780033,0.005472424905747175,0.002104224869981408,0.0015520857414230704,0.004006688017398119,0.0016098206397145987,0.0007544463151134551,0.00024590722750872374,0.0012149683898314834,0.0006859438726678491,0.0002142518642358482,0.062305595725774765,0.0006516248686239123,0.0010484593221917748,0.0002857913787011057,0.0005213375552557409,0.00036269656266085804,0.0890834853053093,0.33753255009651184,0.6478431224822998,0.014624271541833878,0.18767616152763367,0.0015520857414230704,0.005472424905747175,0.0890834853053093,0.6875748038291931,0.32290827855467796
erdogan1_c008,erdogan1,erdogan,en,,symposium_speech,8,84,68,0.002162117278203368,0.0004277786356396973,0.5879630446434021,0.0907910093665123,0.015263320878148079,0.00014363355876412243,0.001323000411503017,0.0005714420694857836,0.016295023262500763,0.00031981070060282946,0.002724613295868039,0.008522799238562584,0.003913212101906538,0.0019798665307462215,0.006677484139800072,0.002209704602137208,0.0010567200370132923,0.0003568186948541552,0.001236012321896851,0.001060003531165421,0.0002569988137111068,0.13335715234279633,0.0008272967534139752,0.0018587345257401466,0.00041775082354433835,0.0004725719045381993,0.0004777666472364217,0.25738075375556946,0.07174529135227203,0.881662905216217,0.04659183695912361,0.0907910093665123,0.0019798665307462215,0.008522799238562584,0.25738075375556946,0.5879630446434021,0.025153454393148422
erdogan1_c009,erdogan1,erdogan,en,,symposium_speech,9,109,95,0.005087781231850386,0.001371959806419909,0.7527686357498169,0.3002745807170868,0.05377375707030296,0.0008691632538102567,0.0012590567348524928,0.0014004368567839265,0.02910429611802101,0.0015383081045001745,0.0005547759355977178,0.0041672708466649055,0.004401514772325754,0.0020070259924978018,0.0030347679276019335,0.0029449849389493465,0.0009187540854327381,0.0002967790642287582,0.0011351731372997165,0.0008893725462257862,0.0002746677491813898,0.0031856014393270016,0.0007709889905527234,0.0007637987728230655,0.0004788374062627554,0.0005316520109772682,0.000507703865878284,0.0010636152001097798,0.19220492243766785,0.7958049774169922,0.011990104801952839,0.3002745807170868,0.0020070259924978018,0.0041672708466649055,0.05377375707030296,0.7527686357498169,0.180214817635715
