key,spearman_cos_vs_cos_en,spearman_cos_vs_nli,spearman_cos_en_vs_nli,spearman_cos_vs_kw,kw_nonzero_share,mean_cos,sd_cos,top_theme_agreement_emb_vs_nli
national_identity,0.8057388029133152,0.22865006217429865,0.24055032697315037,0.4057285825364608,0.6,0.4966380298137665,0.05375735089182854,0.32068965517241377
security_military,0.9536487169678101,0.4700000701144217,0.47528349903912853,0.46948235651009323,0.28620689655172415,0.478538453578949,0.04884873703122139,0.32068965517241377
economy_welfare,0.9248083231954457,0.6268543879755543,0.6427309984084075,0.5472155389245987,0.35172413793103446,0.471874475479126,0.059314753860235214,0.32068965517241377
foreign_policy,0.8958523021512823,0.16631851377133108,0.2516051894503646,0.24587435461172924,0.38620689655172413,0.474894255399704,0.048325181007385254,0.32068965517241377
democracy_institutions,0.9170804851917137,0.47084778161698587,0.4923790557188142,0.4365671015865046,0.2689655172413793,0.4594127833843231,0.05239247530698776,0.32068965517241377
social_solidarity,0.8487024528972625,0.45060024736879434,0.4282910586237589,0.2255793732447048,0.4103448275862069,0.496534138917923,0.0591343455016613,0.32068965517241377
crisis_resilience,0.7598726623917379,0.338471859759348,0.28664007730792956,0.29453720281049,0.2413793103448276,0.517130434513092,0.05613972991704941,0.32068965517241377
future_reform_technology,0.8699449048350651,0.31204339517180707,0.29860651882118133,0.33188053095010434,0.22413793103448276,0.5299507975578308,0.06422140449285507,0.32068965517241377
conflict_threat_framing,0.9015377197071924,0.2652062853048073,0.2693848601512387,,,0.4394804835319519,0.04950346797704697,0.32068965517241377
cooperation_solidarity_framing,0.8530082156866845,0.22972752556408269,0.2890723617608312,,,0.47661468386650085,0.056492459028959274,0.32068965517241377
