,erdogan,macron,merkel,putin,trump
erdogan,0.6725437045097351,0.5598891377449036,0.5345101952552795,0.5350385904312134,0.508351743221283
macron,0.5560928583145142,0.6842247843742371,0.5831283926963806,0.534720242023468,0.5133779644966125
merkel,0.5425560474395752,0.60060715675354,0.6671766042709351,0.5283113121986389,0.5134415030479431
putin,0.6044069528579712,0.6109788417816162,0.5852512717247009,0.7458423376083374,0.5367759466171265
trump,0.5255661606788635,0.5300970673561096,0.5093677043914795,0.5187850594520569,0.6600705981254578
