leader,theme,metric,point,ci_low,ci_high,boot_sd,n_speeches,n_distinct_resamples
erdogan,national_identity,pct,0.5545456289654072,0.4695925712585449,0.6354397535324097,0.043840110301971436,5,126
erdogan,security_military,pct,0.46642802042156434,0.38914570212364197,0.555679976940155,0.04223395884037018,5,126
erdogan,economy_welfare,pct,0.461083680826101,0.3810318112373352,0.5327413082122803,0.04106965288519859,5,126
erdogan,foreign_policy,pct,0.46971205506075686,0.3400488495826721,0.6151495575904846,0.06913639605045319,5,126
erdogan,democracy_institutions,pct,0.4932749427715969,0.33257371187210083,0.7009690999984741,0.09486258774995804,5,126
erdogan,social_solidarity,pct,0.43770496232628203,0.3646940290927887,0.513891875743866,0.03758896514773369,5,126
erdogan,crisis_resilience,pct,0.5984490968387877,0.5348475575447083,0.684718906879425,0.04046615585684776,5,126
erdogan,future_reform_technology,pct,0.4663982380962718,0.4026065170764923,0.5274651050567627,0.03306640312075615,5,126
macron,national_identity,pct,0.3709830364473262,0.3441441059112549,0.401333212852478,0.014619098044931889,4,35
macron,security_military,pct,0.5144722019516219,0.42500853538513184,0.6167821288108826,0.04590635746717453,4,35
macron,economy_welfare,pct,0.6105783729305767,0.5485257506370544,0.672631025314331,0.03203772380948067,4,35
macron,foreign_policy,pct,0.5701427242382132,0.4978678226470947,0.6528000235557556,0.04150316119194031,4,35
macron,democracy_institutions,pct,0.5450449826945538,0.4987918734550476,0.6028092503547668,0.0278922226279974,4,35
macron,social_solidarity,pct,0.5688653703830939,0.5063038468360901,0.6314269304275513,0.03402969241142273,4,35
macron,crisis_resilience,pct,0.6591124590797021,0.6076405644416809,0.7105843424797058,0.02759678289294243,4,35
macron,future_reform_technology,pct,0.6887873698268907,0.6521601676940918,0.715936005115509,0.017198890447616577,4,35
merkel,national_identity,pct,0.6424877873522727,0.5671102404594421,0.7615318298339844,0.05027112737298012,4,35
merkel,security_military,pct,0.544582336096591,0.49758896231651306,0.6136799454689026,0.03014228865504265,4,35
merkel,economy_welfare,pct,0.6574835520075757,0.5662006735801697,0.7587719559669495,0.04690152406692505,4,35
merkel,foreign_policy,pct,0.6605175899242425,0.5722313523292542,0.7537255883216858,0.04911895841360092,4,35
merkel,democracy_institutions,pct,0.6183961370454545,0.5696272253990173,0.6671651005744934,0.024948805570602417,4,35
merkel,social_solidarity,pct,0.7495576656628787,0.6695449352264404,0.8352272510528564,0.04383992403745651,4,35
merkel,crisis_resilience,pct,0.36447119291098484,0.35938745737075806,0.37081339955329895,0.002988342195749283,4,35
merkel,future_reform_technology,pct,0.5926098987310606,0.5181606411933899,0.6595643758773804,0.037293191999197006,4,35
putin,national_identity,pct,0.5680522252992424,0.45870712399482727,0.667653501033783,0.055512260645627975,4,35
putin,security_military,pct,0.6052781115075758,0.5090460777282715,0.6995065808296204,0.04627483710646629,4,35
putin,economy_welfare,pct,0.2319963589176136,0.17929500341415405,0.28410086035728455,0.02628493495285511,4,35
putin,foreign_policy,pct,0.4026739518901515,0.35238486528396606,0.4872533082962036,0.0360940620303154,4,35
putin,democracy_institutions,pct,0.38905875913257576,0.32083582878112793,0.46352794766426086,0.03311695531010628,4,35
putin,social_solidarity,pct,0.46103344696515147,0.3741091191768646,0.5408990979194641,0.04535820335149765,4,35
putin,crisis_resilience,pct,0.300907096405303,0.21052631735801697,0.381967693567276,0.04295613244175911,4,35
putin,future_reform_technology,pct,0.31140226770757573,0.24426834285259247,0.378536194562912,0.03472436964511871,4,35
trump,national_identity,pct,0.41899248922696075,0.09484648704528809,0.6951432228088379,0.1428416669368744,3,10
trump,security_military,pct,0.38184309007049483,0.15405702590942383,0.5863970518112183,0.10225234925746918,3,10
trump,economy_welfare,pct,0.395981528640873,0.28888627886772156,0.46758902072906494,0.04481858015060425,3,10
trump,foreign_policy,pct,0.2714407046269374,0.02576754428446293,0.4834558963775635,0.10872579365968704,3,10
trump,democracy_institutions,pct,0.3886600684149159,0.23848684132099152,0.5560178160667419,0.07485833764076233,3,10
trump,social_solidarity,pct,0.210249890564986,0.07401315867900848,0.34104102849960327,0.06285293400287628,3,10
trump,crisis_resilience,pct,0.17882328284341734,0.03673245385289192,0.31646671891212463,0.06581823527812958,3,10
trump,future_reform_technology,pct,0.2033661038495331,0.14673402905464172,0.2895704209804535,0.035549674183130264,3,10
erdogan,national_identity,cos,0.5096423511912394,0.4945744276046753,0.5256417989730835,0.008208410814404488,5,126
erdogan,security_military,cos,0.4720921609946581,0.4596230685710907,0.48637527227401733,0.0069178189150989056,5,126
erdogan,economy_welfare,cos,0.4657071270287899,0.45079976320266724,0.4779154360294342,0.007174325175583363,5,126
erdogan,foreign_policy,cos,0.46977574607264955,0.44780686497688293,0.4924773573875427,0.011443049646914005,5,126
erdogan,democracy_institutions,cos,0.4628677083041498,0.4315214157104492,0.5055907368659973,0.01931687444448471,5,126
erdogan,social_solidarity,cos,0.4845733528069613,0.470954030752182,0.49944519996643066,0.007046279031783342,5,126
erdogan,crisis_resilience,cos,0.53365533360352,0.521589457988739,0.5497068166732788,0.0075837052427232265,5,126
erdogan,future_reform_technology,cos,0.5223934581963,0.5101336240768433,0.5332903265953064,0.006014797370880842,5,126
macron,national_identity,cos,0.47367623554320093,0.46988925337791443,0.4788104295730591,0.0023086145520210266,4,35
macron,security_military,cos,0.478442864299809,0.4644995927810669,0.4945908784866333,0.007723733317106962,4,35
macron,economy_welfare,cos,0.49338053489407946,0.4820253551006317,0.5047357082366943,0.006067655980587006,4,35
macron,foreign_policy,cos,0.48373792857593584,0.4717419445514679,0.49652960896492004,0.006741364952176809,4,35
macron,democracy_institutions,cos,0.4658811103729946,0.4587794542312622,0.47364068031311035,0.00400438392534852,4,35
macron,social_solidarity,cos,0.5106211968190604,0.49800601601600647,0.5234525799751282,0.006939776707440615,4,35
macron,crisis_resilience,cos,0.5452796132715814,0.5357968807220459,0.5546238422393799,0.0051627918146550655,4,35
macron,future_reform_technology,cos,0.5708835029773491,0.5642698407173157,0.5754179358482361,0.003044256241992116,4,35
merkel,national_identity,cos,0.5230146002083333,0.5095518827438354,0.542931318283081,0.008607660420238972,4,35
merkel,security_military,cos,0.4846504769507576,0.4753720760345459,0.4957689940929413,0.005218704231083393,4,35
merkel,economy_welfare,cos,0.5020312406439394,0.48474669456481934,0.5249770879745483,0.010241257026791573,4,35
merkel,foreign_policy,cos,0.4988805847159091,0.4837261438369751,0.5140350461006165,0.008224762044847012,4,35
merkel,democracy_institutions,cos,0.47925957719696965,0.47060513496398926,0.48801177740097046,0.004698509816080332,4,35
merkel,social_solidarity,cos,0.5553118264204545,0.5361250042915344,0.5753417015075684,0.010465182363986969,4,35
merkel,crisis_resilience,cos,0.49344487678030297,0.49245384335517883,0.4949979782104492,0.0006815970991738141,4,35
merkel,future_reform_technology,cos,0.5508968862689394,0.5332571864128113,0.5661814212799072,0.008656819351017475,4,35
putin,national_identity,cos,0.5117429510833333,0.4900951385498047,0.5305267572402954,0.010690365917980671,4,35
putin,security_military,cos,0.49619075086363634,0.48211291432380676,0.5104506611824036,0.007045034784823656,4,35
putin,economy_welfare,cos,0.41560235352651514,0.4050416052341461,0.42656466364860535,0.005799695383757353,4,35
putin,foreign_policy,cos,0.4576167429772727,0.44857707619667053,0.46987876296043396,0.005744523834437132,4,35
putin,democracy_institutions,cos,0.43918026759848483,0.4291646182537079,0.45115911960601807,0.005603122059255838,4,35
putin,social_solidarity,cos,0.4876429435151515,0.4691203534603119,0.5061655044555664,0.010040048509836197,4,35
putin,crisis_resilience,cos,0.4797162859280303,0.4646188020706177,0.4948137700557709,0.007791889365762472,4,35
putin,future_reform_technology,cos,0.4926657532045454,0.47854161262512207,0.5064360499382019,0.007482398767024279,4,35
trump,national_identity,cos,0.47911624333333336,0.4183214008808136,0.531154453754425,0.02683204598724842,3,10
trump,security_military,cos,0.46216363381419234,0.4307831823825836,0.49343907833099365,0.014730140566825867,3,10
trump,economy_welfare,cos,0.4439775603571429,0.4288402497768402,0.4653596580028534,0.008928407914936543,3,10
trump,foreign_policy,cos,0.42816523419701213,0.3692407011985779,0.47316133975982666,0.02519320882856846,3,10
trump,democracy_institutions,cos,0.4387481801984127,0.4170941412448883,0.46574681997299194,0.011609919369220734,3,10
trump,social_solidarity,cos,0.4365969381325863,0.4079860746860504,0.46741414070129395,0.01398424245417118,3,10
trump,crisis_resilience,cos,0.4489898825396826,0.41178664565086365,0.48111289739608765,0.016467668116092682,3,10
trump,future_reform_technology,cos,0.47109519263772165,0.45262596011161804,0.48879459500312805,0.008530380204319954,3,10
