leader,neighbor_leader,observed_share,expected_share,ratio_obs_exp,n_chunks
erdogan,erdogan,0.46749999999999997,0.2322570374822583,2.012856122974149,80
erdogan,macron,0.29874999999999996,0.350968211436682,0.8512166921815291,80
erdogan,merkel,0.11750000000000001,0.1535485925035483,0.7652300687633118,80
erdogan,putin,0.057499999999999996,0.09505389059743469,0.6049200052580679,80
erdogan,trump,0.058750000000000004,0.16817226798007673,0.3493441618267293,80
macron,erdogan,0.12916666666666668,0.30293481394376837,0.4263843596749595,96
macron,macron,0.6541666666666667,0.2653830761863618,2.4649901420514344,96
macron,merkel,0.12395833333333335,0.15904077732047842,0.7794122703735819,96
macron,putin,0.052083333333333336,0.0984538145317247,0.5290128531947389,96
macron,trump,0.040625,0.17418751801766677,0.23322566658237623,96
merkel,erdogan,0.11428571428571428,0.2863518978829823,0.3991093306195482,42
merkel,macron,0.30714285714285716,0.34362227745957885,0.893838605033363,42
merkel,merkel,0.5047619047619049,0.11230911656275482,4.494398319657868,42
merkel,putin,0.045238095238095244,0.09306436681196924,0.48609469754944984,42
merkel,trump,0.028571428571428574,0.16465234128271483,0.1735257959215427,42
putin,erdogan,0.07692307692307693,0.28333279229540953,0.27149373109934655,26
putin,macron,0.14615384615384616,0.3399993507544915,0.429865074240632,26
putin,merkel,0.02692307692307692,0.14874971595509004,0.18099582073289763,26
putin,putin,0.7346153846153846,0.06500178542514837,11.301464718400968,26
putin,trump,0.015384615384615385,0.16291635556986048,0.09443260212151185,26
trump,erdogan,0.06956521739130435,0.299493624410469,0.23227612116364188,46
trump,macron,0.11739130434782608,0.35939234929256275,0.3266382953863714,46
trump,merkel,0.02826086956521739,0.15723415281549616,0.17973747470996104,46
trump,putin,0.11304347826086955,0.09733542793340237,1.16138060581821,46
trump,trump,0.6717391304347825,0.08654444554806974,7.761782124557903,46
