chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,past_orientation_cos,past_orientation_cos_en,past_orientation_pct,past_orientation_rel,future_orientation_cos,future_orientation_cos_en,future_orientation_pct,future_orientation_rel,us_vs_them_cos,us_vs_them_cos_en,us_vs_them_pct,us_vs_them_rel,gratitude_recognition_cos,gratitude_recognition_cos_en,gratitude_recognition_pct,gratitude_recognition_rel,promises_commitments_cos,promises_commitments_cos_en,promises_commitments_pct,promises_commitments_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,past_orientation_nli,future_orientation_nli,us_vs_them_nli,gratitude_recognition_nli,promises_commitments_nli,top_theme_nli
trump1_c014,trump1,trump,en,2021-01-19,farewell_address,14,28,0.519,81,70,0.216009,0.216009,0.22520661,-0.0695243,1.4285715,0.3596484,0.3596484,0.84090906,0.0868333,2.857143,0.18767583,0.18767583,0.1838843,-0.06966528,0.0,0.23203413,0.23203413,0.31198347,-0.03041698,0.0,0.13875237,0.13875237,0.04752066,-0.10685974,0.0,0.1713276,0.1713276,0.04752066,-0.13054894,0.0,0.2425305,0.2425305,0.08471075,-0.07892731,0.0,0.21360275,0.21360275,0.16322315,-0.078425884,0.0,0.19686851,0.19686851,0.16735537,-0.06791222,0.20936021,0.20936021,0.0392562,-0.12469372,0.22203264,0.22203264,0.1301653,-0.0767594,0.25046775,0.25046775,0.1838843,-0.08301711,0.24106458,0.24106458,0.3533058,-0.030587435,0.2664681,0.2664681,0.33677685,-0.05354449,0.21560521,0.21560521,0.07644628,-0.11188938,security_military,0.5289256,0.9988531,0.98964185,0.0009417798,0.89412105,0.14773953,0.5986789,0.11143446,0.9869418,0.027195055,0.08385287,0.99927497,0.9928231,0.06296183,0.9834307,0.9996245,national_identity
trump1_c015,trump1,trump,en,2021-01-19,farewell_address,15,28,0.556,88,70,0.24989563,0.24989563,0.4070248,-0.035637677,1.4285715,0.3091821,0.3091821,0.7128099,0.036367,1.4285715,0.16641428,0.16641428,0.08471075,-0.09092684,0.0,0.44404,0.44404,0.98966944,0.18158889,4.285714,0.15678264,0.15678264,0.09297521,-0.08882947,0.0,0.24919565,0.24919565,0.29545453,-0.052680895,0.0,0.3030036,0.3030036,0.37396693,-0.018454194,0.0,0.19612251,0.19612251,0.08884297,-0.09590612,0.0,0.36859858,0.36859858,0.9194215,0.10381785,0.36259782,0.36259782,0.62603307,0.02854389,0.28970382,0.28970382,0.4855372,-0.009088218,0.24028935,0.24028935,0.1590909,-0.09319551,0.37223077,0.37223077,0.8987603,0.100578755,0.25458372,0.25458372,0.28719008,-0.06542888,0.2735912,0.2735912,0.24173553,-0.0539034,foreign_policy,0.27685952,0.99798685,0.9995955,0.00018595056,0.999854,0.00184405,0.026683092,0.9976265,0.00033015272,0.98517185,0.9671476,0.99741906,0.007673307,0.99633217,0.99806386,0.99960333,foreign_policy
trump1_c016,trump1,trump,en,2021-01-19,farewell_address,16,28,0.593,88,77,0.24612969,0.24612969,0.39049587,-0.039403617,0.0,0.3070685,0.3070685,0.7004132,0.03425339,2.5974026,0.23129927,0.23129927,0.42768595,-0.02604185,0.0,0.39798117,0.39798117,0.96487606,0.13553005,1.2987013,0.18295245,0.18295245,0.1838843,-0.062659666,0.0,0.21213108,0.21213108,0.1590909,-0.08974546,0.0,0.24695438,0.24695438,0.11363637,-0.07450342,0.0,0.26712525,0.26712525,0.44834712,-0.024903387,1.2987013,0.3102149,0.3102149,0.71694213,0.045434177,0.3795859,0.3795859,0.7128099,0.04553196,0.3339231,0.3339231,0.7334711,0.035131067,0.31813955,0.31813955,0.46900827,-0.015345305,0.28183678,0.28183678,0.6012397,0.010184765,0.24550864,0.24550864,0.25,-0.07450396,0.34468976,0.34468976,0.5764463,0.017195165,foreign_policy,0.26446283,0.040922303,0.9726235,0.0001892475,0.9493416,0.048450954,0.037169296,0.075372905,0.00052337564,0.0012089459,0.9893166,0.9995408,0.19713756,0.08997298,0.9934006,0.99885756,security_military
trump1_c017,trump1,trump,en,2021-01-19,farewell_address,17,28,0.63,81,63,0.45174778,0.45174778,0.9483471,0.16621447,4.7619047,0.34037876,0.34037876,0.81198347,0.06756365,0.0,0.31824297,0.31824297,0.80785125,0.06090185,0.0,0.34361625,0.34361625,0.8863636,0.081165135,0.0,0.40389723,0.40389723,0.96900827,0.15828511,0.0,0.4383173,0.4383173,0.9318182,0.13644075,0.0,0.38262188,0.38262188,0.85330576,0.06116408,0.0,0.33785844,0.33785844,0.7376033,0.045829803,0.0,0.33427006,0.33427006,0.8285124,0.06948933,0.4170704,0.4170704,0.8863636,0.083016455,0.3283529,0.3283529,0.6838843,0.029560864,0.4022682,0.4022682,0.7789256,0.06878334,0.47303402,0.47303402,0.99380165,0.20138201,0.53157544,0.53157544,0.96487606,0.21156284,0.49042562,0.49042562,0.9855372,0.16293103,democracy_institutions,0.020661175,0.9985047,0.12678516,0.47268352,0.119074814,0.99110544,0.9998687,0.78695047,0.016963702,0.0005625759,0.79199207,0.7999117,0.011995771,0.5799952,0.9290552,0.99985605,social_solidarity
trump1_c018,trump1,trump,en,2021-01-19,farewell_address,18,28,0.667,92,77,0.30641013,0.30641013,0.62603307,0.020876825,0.0,0.34040377,0.34040377,0.8161157,0.06758866,0.0,0.41203904,0.41203904,0.95247936,0.15469792,0.0,0.24717478,0.24717478,0.44008264,-0.015276328,0.0,0.26037225,0.26037225,0.64669424,0.014760137,0.0,0.32647917,0.32647917,0.6136364,0.024602622,1.2987013,0.36863643,0.36863643,0.7871901,0.047178626,0.0,0.26845503,0.26845503,0.45247933,-0.023573607,0.0,0.32594165,0.32594165,0.7871901,0.061160922,0.3472513,0.3472513,0.53099173,0.013197362,0.30637378,0.30637378,0.54752064,0.0075817406,0.34188092,0.34188092,0.5681818,0.008396059,0.34237444,0.34237444,0.82438016,0.07072243,0.3834588,0.3834588,0.7541322,0.063446194,0.3996525,0.3996525,0.83264464,0.07215792,economy_welfare,0.13636369,0.76313084,0.00056588004,0.2833846,0.69336915,0.30239108,0.9861113,0.75023264,0.00063371257,0.011642223,0.11367795,0.7719295,0.7276369,0.90066093,0.9168105,0.9995669,social_solidarity
trump1_c019,trump1,trump,en,2021-01-19,farewell_address,19,28,0.704,118,101,0.43952638,0.43952638,0.9318182,0.15399307,0.0,0.25902915,0.25902915,0.47727272,-0.013785958,0.0,0.28440335,0.28440335,0.696281,0.027062237,0.0,0.260441,0.260441,0.53512394,-0.002010107,0.0,0.41159528,0.41159528,0.9731405,0.16598317,0.990099,0.40507323,0.40507323,0.8904959,0.10319668,0.990099,0.33266598,0.33266598,0.5847107,0.011208177,0.0,0.27443808,0.27443808,0.48140496,-0.017590553,0.0,0.22064619,0.22064619,0.27066115,-0.044134542,0.37017158,0.37017158,0.66735536,0.036117643,0.32815823,0.32815823,0.67975205,0.029366195,0.3176781,0.3176781,0.46487603,-0.015806764,0.34612262,0.34612262,0.84090906,0.07447061,0.44555163,0.44555163,0.8946281,0.12553903,0.41741472,0.41741472,0.87396693,0.08992013,democracy_institutions,0.04132229,0.9995045,0.02148663,0.021951528,0.73753643,0.8225101,0.99920374,0.05831901,0.0007451558,0.00057703455,0.8522297,0.9481725,0.0048485333,0.31237,0.9845383,0.99942636,national_identity
trump1_c020,trump1,trump,en,2021-01-19,farewell_address,20,28,0.741,87,76,0.4475607,0.4475607,0.94008267,0.16202739,2.631579,0.36302608,0.36302608,0.85330576,0.090210974,0.0,0.39880306,0.39880306,0.9318182,0.14146194,0.0,0.25007012,0.25007012,0.4607438,-0.012380987,0.0,0.3483061,0.3483061,0.8946281,0.102693975,2.631579,0.4577794,0.4577794,0.96487606,0.15590286,3.9473684,0.36480284,0.36480284,0.7623967,0.043345034,0.0,0.3069127,0.3069127,0.6219008,0.014884055,1.3157895,0.30007398,0.30007398,0.66735536,0.03529325,0.40136075,0.40136075,0.803719,0.06730682,0.3789839,0.3789839,0.87396693,0.08019188,0.37308514,0.37308514,0.7086777,0.039600283,0.34067035,0.34067035,0.82024795,0.069018334,0.4584038,0.4584038,0.911157,0.1383912,0.38037014,0.38037014,0.7623967,0.05287555,social_solidarity,0.024793386,0.97032434,0.0014021305,0.015967654,0.7336427,0.9886628,0.9996886,0.021781174,0.00014369754,0.00040211942,0.88508636,0.985814,0.5461633,0.027324531,0.99869674,0.99898577,social_solidarity
trump1_c021,trump1,trump,en,2021-01-19,farewell_address,21,28,0.778,101,90,0.43174553,0.43174553,0.9152893,0.14621222,4.4444447,0.37893125,0.37893125,0.8987603,0.106116146,0.0,0.22942574,0.22942574,0.40289256,-0.027915373,0.0,0.3371473,0.3371473,0.86570245,0.07469618,1.1111112,0.23592708,0.23592708,0.53512394,-0.0096850395,0.0,0.34797174,0.34797174,0.70454544,0.046095192,1.1111112,0.47500116,0.47500116,0.99380165,0.15354335,3.3333333,0.24607404,0.24607404,0.303719,-0.0459546,0.0,0.4184906,0.4184906,0.9855372,0.15370986,0.357281,0.357281,0.6136364,0.023227066,0.34877563,0.34877563,0.803719,0.04998359,0.31333837,0.31333837,0.42768595,-0.02014649,0.4255445,0.4255445,0.96900827,0.15389249,0.34397623,0.34397623,0.6095041,0.02396363,0.3251701,0.3251701,0.4731405,-0.0023244917,crisis_resilience,0.07851237,0.8681942,0.742515,0.00021654405,0.92918384,0.32215267,0.9231778,0.99273914,0.00022871332,0.008267597,0.03044435,0.6535693,0.008179984,0.9968642,0.007289078,0.7399395,crisis_resilience
trump1_c022,trump1,trump,en,2021-01-19,farewell_address,22,28,0.815,89,76,0.4853999,0.4853999,0.9731405,0.1998666,5.263158,0.29062814,0.29062814,0.63429755,0.017813027,0.0,0.21025106,0.21025106,0.28719008,-0.047090054,0.0,0.26919284,0.26919284,0.5929752,0.0067417324,0.0,0.2540304,0.2540304,0.6053719,0.008418292,0.0,0.4008034,0.4008034,0.8698347,0.09892684,2.631579,0.40585613,0.40585613,0.9152893,0.08439833,1.3157895,0.2636316,0.2636316,0.40289256,-0.028397024,0.0,0.27251247,0.27251247,0.55991733,0.0077317357,0.34578216,0.34578216,0.51859504,0.011728227,0.3804914,0.3804914,0.8780992,0.08169937,0.30080315,0.30080315,0.37809917,-0.032681704,0.3386026,0.3386026,0.8161157,0.06695059,0.35659122,0.35659122,0.65082645,0.036578625,0.2827708,0.2827708,0.27066115,-0.04472378,national_identity,0.057851195,0.99980706,0.18757875,0.00014091856,0.5263428,0.031173313,0.9722044,0.7335473,0.00014230126,0.0034902105,0.684053,0.92602617,0.00022782186,0.2567388,0.9658995,0.9842458,national_identity
trump1_c023,trump1,trump,en,2021-01-19,farewell_address,23,28,0.852,173,146,0.48721075,0.48721075,0.97727275,0.20167744,3.4246576,0.27310187,0.27310187,0.5516529,0.00028675795,0.0,0.17559744,0.17559744,0.12603305,-0.08174367,0.0,0.23943661,0.23943661,0.37809917,-0.0230145,0.0,0.30488285,0.30488285,0.7871901,0.05927074,0.0,0.37369725,0.37369725,0.79545456,0.071820706,0.6849315,0.3569977,0.3569977,0.7252066,0.035539895,0.0,0.24342157,0.24342157,0.28305784,-0.048607066,0.0,0.3321153,0.3321153,0.82438016,0.06733456,0.31236786,0.31236786,0.4235537,-0.021686077,0.2890625,0.2890625,0.48140496,-0.009729534,0.23696722,0.23696722,0.13842975,-0.09651764,0.41141498,0.41141498,0.9483471,0.13976297,0.28410766,0.28410766,0.411157,-0.035904944,0.25007457,0.25007457,0.16322315,-0.077420026,national_identity,0.18181819,0.93949836,0.0023504829,0.0003521251,0.22738355,0.4139509,0.65013415,0.32362056,0.00019716943,0.0018422531,0.56363314,0.98189265,0.00018450373,0.05241244,0.84887826,0.9148439,national_identity
