cluster,size,share_of_chunks,candidate_label,top_theme,top_theme_mean_pct,second_theme,second_theme_mean_pct,dominant_leader,dominant_leader_share,leader_mix_entropy,n_speeches,frequent_terms,share_erdogan,count_erdogan,share_macron,count_macron,share_merkel,count_merkel,share_putin,count_putin,share_trump,count_trump
-1,81,0.324,(noise — not assigned),democracy_institutions,0.551,future_reform_technology,0.509,macron,0.432,0.768,16,"state, order, better, ensure, federal, necessary, able, held, them, preparing, fully, accountable",0.284,23,0.432,35,0.235,19,0.012,1,0.037,3
0,46,0.184,National Identity & Unity / Security & Military,national_identity,0.628,security_military,0.607,trump,0.978,0.065,4,"america, american, americans, administration, president, safe, world, people, across, back, nations, four",0.022,1,0.0,0,0.0,0,0.0,0,0.978,45
1,6,0.024,"Democracy, Law & Institutions",democracy_institutions,0.917,future_reform_technology,0.445,erdogan,1.0,-0.0,1,"system, sisters, brothers, government, experiences, issue, presidential, multi, gone, constitutional, amendment, party",1.0,6,0.0,0,0.0,0,0.0,0,0.0,0
2,25,0.1,Social Solidarity & Values / National Identity & Unity,social_solidarity,0.705,national_identity,0.667,putin,1.0,-0.0,4,"russia, friends, motherland, love, sincere, russian, parents, comrades, happy, always, special, future",0.0,0,0.0,0,0.0,0,1.0,25,0.0,0
3,40,0.16,"Future, Reform & Technology",future_reform_technology,0.711,crisis_resilience,0.576,macron,1.0,-0.0,4,"french, europe, ahead, build, compatriots, stronger, paralympic, olympic, games, pride, growth, live",0.0,0,1.0,40,0.0,0,0.0,0,0.0,0
4,20,0.08,"Future, Reform & Technology / Social Solidarity & Values",future_reform_technology,0.714,social_solidarity,0.692,merkel,0.95,0.123,5,"germany, well, union, work, values, together, change, future, fellow, stand, police, opportunity",0.05,1,0.0,0,0.95,19,0.0,0,0.0,0
5,32,0.128,Foreign Policy & Geopolitics / Economy & Welfare,foreign_policy,0.569,economy_welfare,0.561,erdogan,1.0,-0.0,4,"türkiye, goals, century, greet, humanity, calendar, region, feelings, willing, affection, period, economic",1.0,32,0.0,0,0.0,0,0.0,0,0.0,0
