leader,theme,metric,point,ci_low,ci_high,boot_sd,n_speeches,n_distinct_resamples
erdogan,national_identity,pct,0.4346870289625274,0.3687267303466797,0.5050903558731079,0.03562746196985245,5,126
erdogan,security_military,pct,0.4247358693811355,0.35469985008239746,0.4985696077346802,0.03757055848836899,5,126
erdogan,economy_welfare,pct,0.41086035020415135,0.3241046965122223,0.4760224521160126,0.04064568132162094,5,126
erdogan,foreign_policy,pct,0.4978339844198657,0.42693519592285156,0.6014364361763,0.04787134379148483,5,126
erdogan,democracy_institutions,pct,0.45427854990103783,0.3079390227794647,0.6825137734413147,0.10376084595918655,5,126
erdogan,social_solidarity,pct,0.3596580162194872,0.2551937997341156,0.4641222357749939,0.05483101308345795,5,126
erdogan,crisis_resilience,pct,0.42617205921105006,0.37445634603500366,0.4918169677257538,0.03152550011873245,5,126
erdogan,future_reform_technology,pct,0.43268600127405377,0.37373536825180054,0.49149537086486816,0.02956216037273407,5,126
macron,national_identity,pct,0.45883608289733746,0.43509745597839355,0.48470720648765564,0.012135384604334831,4,35
macron,security_military,pct,0.4706372971671526,0.37729090452194214,0.5865719318389893,0.05087940767407417,4,35
macron,economy_welfare,pct,0.5424299210187036,0.4691985547542572,0.6156612634658813,0.03857872262597084,4,35
macron,foreign_policy,pct,0.5211220768336988,0.48081693053245544,0.5655803680419922,0.02264190837740898,4,35
macron,democracy_institutions,pct,0.5729580839964528,0.539055347442627,0.6235784292221069,0.022743672132492065,4,35
macron,social_solidarity,pct,0.4449209687389859,0.3717648983001709,0.51807701587677,0.03731502592563629,4,35
macron,crisis_resilience,pct,0.5250221047893402,0.46710526943206787,0.5829389691352844,0.029499810189008713,4,35
macron,future_reform_technology,pct,0.6304030315509845,0.6070605516433716,0.6491650938987732,0.010926837101578712,4,35
merkel,national_identity,pct,0.34981921706249997,0.27944216132164,0.4112861752510071,0.031981538981199265,4,35
merkel,security_military,pct,0.43287993780208334,0.3930785059928894,0.4583333432674408,0.016863230615854263,4,35
merkel,economy_welfare,pct,0.46173382077708336,0.3251836597919464,0.5982840061187744,0.07230159640312195,4,35
merkel,foreign_policy,pct,0.42226239582291664,0.3299759030342102,0.5400740504264832,0.053272098302841187,4,35
merkel,democracy_institutions,pct,0.5479080570416667,0.49883782863616943,0.58212810754776,0.022136442363262177,4,35
merkel,social_solidarity,pct,0.5390553263298611,0.45966771245002747,0.6321883797645569,0.04315698519349098,4,35
merkel,crisis_resilience,pct,0.4250315672916667,0.35827019810676575,0.4917929470539093,0.033845216035842896,4,35
merkel,future_reform_technology,pct,0.5128271336625,0.3666207492351532,0.6357036232948303,0.07066691666841507,4,35
putin,national_identity,pct,0.7093710864469696,0.5719149112701416,0.8282541632652283,0.061944492161273956,4,35
putin,security_military,pct,0.6007137532386364,0.5900826454162598,0.6126972436904907,0.005599128548055887,4,35
putin,economy_welfare,pct,0.3612650227727272,0.3268219530582428,0.4115121364593506,0.023335428908467293,4,35
putin,foreign_policy,pct,0.472453355935606,0.41615328192710876,0.5287534594535828,0.030339574441313744,4,35
putin,democracy_institutions,pct,0.3457112415378788,0.26192712783813477,0.4121900796890259,0.03683742880821228,4,35
putin,social_solidarity,pct,0.7416009218825758,0.6221825480461121,0.8613532781600952,0.061552487313747406,4,35
putin,crisis_resilience,pct,0.5168357080685606,0.4113260805606842,0.6167355179786682,0.05408904701471329,4,35
putin,future_reform_technology,pct,0.4156069942310606,0.2897101044654846,0.5170971155166626,0.05641423165798187,4,35
trump,national_identity,pct,0.6041174741190477,0.4070247709751129,0.8083677887916565,0.09434346109628677,3,10
trump,security_military,pct,0.7211235694642858,0.6013872623443604,0.8533057570457458,0.060429174453020096,3,10
trump,economy_welfare,pct,0.7097845330357143,0.5503246784210205,0.8202479481697083,0.06756032258272171,3,10
trump,foreign_policy,pct,0.5261585003571428,0.39669421315193176,0.6345557570457458,0.05673734471201897,3,10
trump,democracy_institutions,pct,0.6101559449178572,0.4743211269378662,0.69912189245224,0.05670194327831268,3,10
trump,social_solidarity,pct,0.6106970753571429,0.5430932641029358,0.7063533067703247,0.03992943465709686,3,10
trump,crisis_resilience,pct,0.5917822730357143,0.5343860983848572,0.6810433864593506,0.03670543059706688,3,10
trump,future_reform_technology,pct,0.4817862016964285,0.3521251380443573,0.6056301593780518,0.05979928746819496,3,10
erdogan,national_identity,cos,0.26222467331868127,0.24066875874996185,0.28546223044395447,0.01142521109431982,5,126
erdogan,security_military,cos,0.25531986410378504,0.2401610165834427,0.2704872786998749,0.008113863877952099,5,126
erdogan,economy_welfare,cos,0.23893829460989005,0.2155647724866867,0.2605836093425751,0.012294071726500988,5,126
erdogan,foreign_policy,cos,0.2607592502429792,0.2417028695344925,0.2869608998298645,0.011539566330611706,5,126
erdogan,democracy_institutions,cos,0.24400991357838825,0.19999776780605316,0.31455573439598083,0.03222697228193283,5,126
erdogan,social_solidarity,cos,0.2594718626172161,0.22703629732131958,0.29077696800231934,0.0166359581053257,5,126
erdogan,crisis_resilience,cos,0.3056785808583638,0.2936444580554962,0.3209059238433838,0.007234126329421997,5,126
erdogan,future_reform_technology,cos,0.27017348957020754,0.2579704225063324,0.28237655758857727,0.006118666846305132,5,126
macron,national_identity,cos,0.27183231670092034,0.2657721936702728,0.27763181924819946,0.003180054249241948,4,35
macron,security_military,cos,0.2663269206604485,0.2439073920249939,0.295494943857193,0.01275323424488306,4,35
macron,economy_welfare,cos,0.2647430288440218,0.24834884703159332,0.2793234586715698,0.00840661022812128,4,35
macron,foreign_policy,cos,0.2643220598766213,0.25571519136428833,0.2749752402305603,0.005100021604448557,4,35
macron,democracy_institutions,cos,0.2577779525468351,0.2524137794971466,0.26608806848526,0.0037365020252764225,4,35
macron,social_solidarity,cos,0.28790121287899234,0.268419086933136,0.30738332867622375,0.01012348011136055,4,35
macron,crisis_resilience,cos,0.3282677828608347,0.3170996606349945,0.3394359052181244,0.005913835950195789,4,35
macron,future_reform_technology,cos,0.33014815516838636,0.3257894814014435,0.3349331021308899,0.0022621816024184227,4,35
merkel,national_identity,cos,0.2388666035069444,0.22358781099319458,0.25264111161231995,0.007620386313647032,4,35
merkel,security_military,cos,0.25437977687499996,0.24826809763908386,0.2591019868850708,0.002844469156116247,4,35
merkel,economy_welfare,cos,0.2464734841319444,0.21303480863571167,0.28437677025794983,0.01884732022881508,4,35
merkel,foreign_policy,cos,0.24737931562499998,0.2210039496421814,0.27766701579093933,0.014016492292284966,4,35
merkel,democracy_institutions,cos,0.2610093751736111,0.2539083659648895,0.26600486040115356,0.0031057277228683233,4,35
merkel,social_solidarity,cos,0.31400169760416663,0.29292669892311096,0.33598724007606506,0.011435442604124546,4,35
merkel,crisis_resilience,cos,0.3057247107986111,0.2936754524707794,0.3177739679813385,0.0061437832191586494,4,35
merkel,future_reform_technology,cos,0.29978847218749993,0.2503616213798523,0.3402744233608246,0.023572543635964394,4,35
putin,national_identity,cos,0.3552152696287879,0.3059975206851959,0.3986178934574127,0.023568587377667427,4,35
putin,security_military,cos,0.3013863255871212,0.291380912065506,0.3113917410373688,0.0051102363504469395,4,35
putin,economy_welfare,cos,0.21990798209848483,0.21242088079452515,0.22915767133235931,0.004414767026901245,4,35
putin,foreign_policy,cos,0.25488620887499996,0.2428104728460312,0.2669619619846344,0.0064126369543373585,4,35
putin,democracy_institutions,cos,0.20739919494696968,0.1919492483139038,0.2193843275308609,0.006854236125946045,4,35
putin,social_solidarity,cos,0.37379678862878785,0.3391023576259613,0.4086536467075348,0.01867319829761982,4,35
putin,crisis_resilience,cos,0.3251913724810606,0.3073882758617401,0.3430945575237274,0.009501293301582336,4,35
putin,future_reform_technology,cos,0.266041691935606,0.2390516847372055,0.2888459265232086,0.012011297978460789,4,35
trump,national_identity,cos,0.31895104571428573,0.2527356445789337,0.3794485330581665,0.02992214821279049,3,10
trump,security_military,cos,0.3253854364583333,0.29261961579322815,0.3618406355381012,0.016613705083727837,3,10
trump,economy_welfare,cos,0.31901479348214284,0.27198371291160583,0.3595654368400574,0.021108703687787056,3,10
trump,foreign_policy,cos,0.2727749659523809,0.2424265444278717,0.2977669835090637,0.013233644887804985,3,10
trump,democracy_institutions,cos,0.2641810603273809,0.2371126264333725,0.2857312262058258,0.011717002838850021,3,10
trump,social_solidarity,cos,0.3304227416071428,0.31384333968162537,0.35589343309402466,0.010490553453564644,3,10
trump,crisis_resilience,cos,0.3383615041964285,0.3275853097438812,0.35488399863243103,0.006806893274188042,3,10
trump,future_reform_technology,cos,0.28118155139880946,0.25214624404907227,0.3126305043697357,0.014260223135352135,3,10
