,erdogan,macron,merkel,putin,trump
erdogan,0.6350570917129517,0.6199390888214111,0.5872945189476013,0.5757304430007935,0.5752462148666382
macron,0.6160231232643127,0.6621896624565125,0.6107859015464783,0.5888524651527405,0.5899140238761902
merkel,0.60279381275177,0.6312668323516846,0.6415756344795227,0.5779126286506653,0.5866187214851379
putin,0.6258521676063538,0.6456184387207031,0.600922167301178,0.714939534664154,0.6208016872406006
trump,0.5914101004600525,0.6094104051589966,0.58423912525177,0.5987910628318787,0.6479207873344421
