leader,emo_neutral,emo_sadness,emo_disappointment,emo_realization,emo_approval,emo_annoyance,emo_disapproval,emo_admiration,emo_grief,emo_relief,emo_embarrassment,emo_fear,emo_nervousness,emo_remorse,emo_joy,emo_optimism,emo_disgust,emo_anger,emo_pride,emo_surprise,emo_desire,emo_caring,emo_love,emo_gratitude,emo_confusion,emo_excitement,emo_amusement,emo_curiosity,sent_neutral,sent_negative,sent_positive,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence,n_speeches,n_chunks
erdogan,0.30524554824336037,0.02631470317187178,0.027806533403049016,0.03554146733244151,0.20341590038558718,0.00949463934818981,0.012599361053058453,0.059694303799493365,0.0016145081085806642,0.005808916136996834,0.0008311571281091867,0.0023243543027306854,0.0032108351299627337,0.002225933677939896,0.016953572379686713,0.20350122790987193,0.0013910994274892545,0.0017732450876819079,0.006623520595199936,0.0019062999981982573,0.1294665954736151,0.047747775120973376,0.008535727931121739,0.08978577746904651,0.007131563181602549,0.020622525280025946,0.0008713474300703784,0.015063605873142764,0.3546863690811245,0.1281108286678086,0.5172028086772495,0.3870777268112797,0.036905825156037624,0.014344808692865923,0.16346485674454034,0.30524554824336037,0.38909198000944095,5,61
macron,0.17726627193695377,0.02203259576531371,0.016228466428904954,0.02970156168834346,0.21537910172005176,0.008607435844223237,0.009532738284318427,0.10101597862374839,0.001854474797610045,0.008349403111391722,0.0010758284134553104,0.003791751012360826,0.005118701873262267,0.002886173841123505,0.01692749761037329,0.21914817870839365,0.0014796967785018834,0.00173107394147049,0.022385020569659426,0.002432476659570673,0.1636383430021723,0.060492501428173515,0.004962366755917381,0.13567468706293967,0.008942746185179705,0.013502747274481204,0.0009530706245154886,0.01574334237026759,0.33059043699100177,0.10218329443575094,0.5672262664220732,0.4543496966382249,0.02778985354875516,0.011446729195060571,0.19142545333097516,0.17726627193695377,0.4650429719863223,4,75
merkel,0.23607080729238483,0.026910822571355512,0.021878733068054622,0.03736684437414321,0.2620255567275712,0.013114774437983416,0.01791024725551122,0.12495946391168722,0.0014737977159408424,0.008408459483083181,0.0009101819538652004,0.0029733134574093534,0.002658040887581592,0.0015974166754959798,0.016625508895635396,0.16261170740795527,0.0018062087260154334,0.0025588346211912315,0.006389943147951271,0.001868350835138699,0.05232468718693579,0.0312743659103742,0.0020271254351327014,0.14718483365060012,0.006318280934768458,0.010087349686525866,0.0006828449173149744,0.015419024932675206,0.31166975118038764,0.1009261396175134,0.587404100677102,0.46453964836998946,0.0374100916180598,0.021457181281423092,0.08956445913322063,0.23607080729238483,0.48647796105958857,4,34
putin,0.11160413621586154,0.005195242175691282,0.006438648416643087,0.01832389049637696,0.20573319044585028,0.008900125511607973,0.009872861311569895,0.2578354492774727,0.0021444057668277036,0.012391970956708643,0.001021104951977384,0.003968094388432236,0.003363326525978857,0.002567802134647288,0.045735939012427645,0.2290317597407424,0.0014132564442909576,0.002928636237938366,0.04673887427127214,0.0019601883479150603,0.09794921845896169,0.22343357411798823,0.10404320888297991,0.08288913268241396,0.0017783129024434002,0.0257502437448376,0.0009207311579578373,0.0020526019242727974,0.141063936633961,0.0442745792204567,0.8146614934176658,0.5382311537184499,0.00923896807194758,0.011118772469379827,0.10324457563022434,0.11160413621586154,0.7703869141972091,4,26
trump,0.19270765497016587,0.030381540590107243,0.046668282116852,0.03212517374915825,0.20139955831802495,0.019062522983793833,0.025747116992577156,0.23381592923223726,0.0022030952163082213,0.01361014448117376,0.0012886142800371523,0.0033363478492641923,0.0019458333573268082,0.001522867656863777,0.06164105242455012,0.11673023950702155,0.0016333482100370541,0.0029100082226380304,0.024982508378646646,0.005297458737567511,0.028118781574275567,0.04822240002700017,0.007128664065541151,0.19450542207986085,0.0012935913378203708,0.04999029665019147,0.001051880970841185,0.001170395506657466,0.2062336734739975,0.08713424737964358,0.7066320814192295,0.4345473902178041,0.05789402533991961,0.03292451043463578,0.04850190586598945,0.19270765497016587,0.6194978340395859,3,46
