leader,old_same_leader_share,new_same_leader_share
erdogan,0.9952941176470588,0.5984126984126985
macron,0.9575757575757576,0.7133333333333334
merkel,0.6891304347826087,0.4789473684210526
putin,0.9192307692307692,0.7615384615384616
trump,0.8666666666666668,0.6583333333333333
