speech_id,leader,language,speech_date,speech_type,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,n_chunks
erdogan1,erdogan,en,,symposium_speech,0.36418381222222224,0.36418381222222224,0.28902663144444446,-0.0427924423,1.794197722222222,0.3662786388888889,0.3662786388888889,0.1838842941111111,-0.058969507222222224,0.40763483333333334,0.3268777611111111,0.3268777611111111,0.1370523424,-0.07340530922222221,0.24981405555555558,0.36016700444444444,0.36016700444444444,0.27433425333333333,-0.034307235077777776,0.304414,0.4524786844444444,0.4524786844444444,0.8748852166666666,0.07343665755555556,0.9286450888888889,0.32078973,0.32078973,0.1361340672222222,-0.0740942301111111,0.21306817777777776,0.38204074666666665,0.38204074666666665,0.17056932595555555,-0.06523894622222222,0.12210013333333333,0.35138994,0.35138994,0.24954086222222222,-0.046462125944444446,0.0,0.7611807883333334,0.14589237102222222,0.012691082712222222,0.7519141766666667,0.8072090758111111,0.5758329565555556,0.40830784666666664,0.03996399207555555,9
erdogan2022,erdogan,en,2022-12-31,new_year_message,0.38368505538461534,0.38368505538461534,0.3730133469230769,-0.02329119856923077,1.1488500846153846,0.41472842230769236,0.41472842230769236,0.43626827461538464,-0.010519722163846152,0.3636369769230769,0.4369815623076923,0.4369815623076923,0.5783534707692307,0.036698495153846156,1.3666658192307692,0.3932222992307692,0.3932222992307692,0.501748241,-0.001251938307692308,0.6696831076923077,0.36668113846153844,0.36668113846153844,0.4229179853846154,-0.012360889271538462,0.26874214999999996,0.3478222646153846,0.3478222646153846,0.2449141769230769,-0.04706169523076923,0.35394367692307693,0.46211880615384615,0.46211880615384615,0.5897965623076924,0.014839115000000002,0.3350456692307692,0.39503966615384617,0.39503966615384617,0.48521932307692306,-0.0028123972846153854,0.06631299615384614,0.8877447330769231,0.2792938246361539,0.36253830351153843,0.7521048138461539,0.32305833689230773,0.6492846276923078,0.5689874778692308,0.059885069649230765,13
erdogan2023,erdogan,en,2023-12-31,new_year_message,0.44351250615384613,0.44351250615384613,0.6578194546153846,0.03653625568461539,1.2627481576923076,0.46572246384615384,0.46572246384615384,0.7023204130769231,0.040474316561538465,0.7171277538461539,0.4084830253846154,0.4084830253846154,0.5818499638461538,0.008199955346153847,0.7416840138461539,0.4493228553846154,0.4493228553846154,0.7919580338461538,0.05484861572307693,0.9196656153846153,0.39316681769230766,0.39316681769230766,0.5923394838461539,0.014124787446615383,0.57372561,0.40313646000000003,0.40313646000000003,0.5510171753846154,0.00825250146153846,0.48011468076923075,0.46951963,0.46951963,0.6447870192307692,0.022239937307692307,0.16083916538461537,0.40475007615384617,0.40475007615384617,0.5564208476923077,0.006898013476923078,0.34183003307692306,0.8724376153846154,0.2317964648846154,0.019589252085384614,0.7918366992307693,0.2709526040307692,0.8978572861538462,0.6221135498692308,0.0014581269227692307,13
erdogan2024,erdogan,en,2024-12-31,new_year_message,0.4103960166666667,0.4103960166666667,0.5237603275,0.0034197642500000017,1.8786979083333335,0.44653176166666664,0.44653176166666664,0.6088154325,0.0212836168,0.5826182083333333,0.41222268,0.41222268,0.5113636366666666,0.011939613166666667,0.8471502333333333,0.4236295116666667,0.4236295116666667,0.6484159866666667,0.029155276221666665,0.10416666666666667,0.38719458916666666,0.38719458916666666,0.5471763041666667,0.0081525617,0.5340375583333333,0.385752355,0.385752355,0.4476584016666667,-0.009131605491666668,0.5302954416666666,0.4480630208333334,0.4480630208333334,0.504132225,0.0007833292000000002,0.22025155,0.3985672141666667,0.3985672141666667,0.5258264435833333,0.000715151366666667,0.11574073333333333,0.8415303000000001,0.14928783111416669,0.15250085580416667,0.63205963595,0.31097934907499997,0.7800515765916667,0.3987852408616666,0.0094620316725,12
erdogan2025,erdogan,en,2025-12-31,new_year_message,0.38993434071428573,0.38993434071428573,0.40053127928571425,-0.017041913042857144,1.2166902571428573,0.4329745471428571,0.4329745471428571,0.4952774457142857,0.007726403587857142,0.8391859857142857,0.3873585664285714,0.3873585664285714,0.41942148714285715,-0.012924502862142858,0.4854779571428572,0.4004078914285714,0.4004078914285714,0.5652302187857143,0.005933652802142858,0.32008338571428574,0.37024961642857146,0.37024961642857146,0.4530696517857143,-0.008792415285714285,0.3943903735714286,0.37646295428571425,0.37646295428571425,0.3975796896428571,-0.01842100517857143,0.6039920428571428,0.43442587,0.43442587,0.41676504857142854,-0.012853820514285715,0.6366537,0.379733775,0.379733775,0.4141086105,-0.01811828987142857,0.1797585142857143,0.8650073621428571,0.4173289603235714,0.1781305332292857,0.5991962949999999,0.42604020600000003,0.8240043505714285,0.49877067270000003,0.0027060190639285712,14
macron2022,macron,en,2022-12-31,new_year_address,0.3925176322222222,0.3925176322222222,0.4745179013925926,-0.014458621555555554,1.2296329725925925,0.4012358,0.4012358,0.40396387928148153,-0.024012348051851855,0.25065043518518515,0.4169482944444444,0.4169482944444444,0.6252678318518519,0.01666522694888889,0.6194351140740741,0.3774515762962963,0.3774515762962963,0.44344964550370375,-0.01702266072222222,0.49725845259259266,0.37152818,0.37152818,0.48553719222222225,-0.007513849237037036,0.5160398907407407,0.39787432111111115,0.39787432111111115,0.5357361482444445,0.0029903620351851862,1.0125386577777777,0.4588021303703704,0.4588021303703704,0.5660391863703703,0.01152243867037037,0.6784606811111111,0.42916755074074076,0.42916755074074076,0.6535812672222222,0.03131548788148148,0.6524034955555555,0.8455015596296297,0.1871638894525926,0.2786294199968889,0.5902616586148148,0.5756894915074073,0.9027036394814815,0.6376717645925927,0.2286123324555185,27
macron2023,macron,en,2023-12-31,new_year_address,0.3870514110526316,0.3870514110526316,0.41028708210526316,-0.019924842689473685,1.0429722415789473,0.3966324363157895,0.3966324363157895,0.3548281852631579,-0.028615708052631576,0.5451877505263157,0.39601954894736846,0.39601954894736846,0.464006087368421,-0.004263518542105262,0.5878080184210526,0.3648870547368421,0.3648870547368421,0.33764680736842106,-0.029587184210526318,0.6718161631578947,0.36683023684210525,0.36683023684210525,0.43290561157894736,-0.01221179510805263,0.31142955052631577,0.37773966263157893,0.37773966263157893,0.402675074,-0.017144300194736842,0.8613557231578948,0.43316233578947366,0.43316233578947366,0.40680730710526314,-0.014117355084210526,0.25719424421052633,0.43526855263157893,0.43526855263157893,0.7062853452631579,0.037416489663157894,0.7732707578947369,0.8899789228421053,0.19992627654421052,0.21762497457210528,0.624511003,0.41821967037368424,0.8313586919421053,0.5283798073894737,0.16654675032157895,19
macron2024,macron,en,2024-12-31,new_year_address,0.39838749625000003,0.39838749625000003,0.45351239125,-0.00858875748125,0.975336435,0.411111155,0.411111155,0.4178719033125,-0.014136988437500001,0.88294074375,0.402449731875,0.402449731875,0.5183367773125,0.0021666660750000013,0.6062518275,0.400669874375,0.400669874375,0.5501033109375,0.00619563419375,0.954389314375,0.38286735875,0.38286735875,0.5191115754375,0.003825331287499999,0.442813370625,0.38823199625,0.38823199625,0.460743799375,-0.00665196245,0.72388813375,0.455296793125,0.455296793125,0.553719006875,0.0080171026875,0.3904753125,0.452215406875,0.452215406875,0.738378095,0.0543633441375,0.56509585875,0.8010393521875,0.163792275916875,0.2617731905625,0.837132566875,0.5064260608875,0.770988029375,0.562334371375,0.232000221799375,16
macron2025,macron,en,2025-12-31,new_year_address,0.40186861461538465,0.40186861461538465,0.46296885484615385,-0.0051076365384615414,0.9421011230769232,0.4382337023076923,0.4382337023076923,0.550381436923077,0.01298555716153846,0.7156214230769231,0.41295430846153847,0.41295430846153847,0.5936109353846154,0.012671239236384616,0.8165238846153847,0.4039201307692308,0.4039201307692308,0.5443420284615385,0.0094458937,1.475749776923077,0.38488472384615385,0.38488472384615385,0.5255880484615385,0.005842694538461539,0.9813454723076924,0.4056859815384615,0.4056859815384615,0.5459313394615385,0.010802019615384616,0.5880828769230769,0.46288543692307693,0.46288543692307693,0.5729497759230769,0.01560574732307692,0.4694416615384615,0.4291100138461538,0.4291100138461538,0.6705340161538461,0.03125795307692308,0.41026624615384616,0.8176282399230769,0.33573090054492305,0.1752830128246154,0.5499959994538461,0.6117278148884615,0.7847296389846155,0.6595894803846154,0.17002860010538462,13
merkel1,merkel,en,2016-12-31,new_year_address,0.38403768555555556,0.38403768555555556,0.38269054444444445,-0.022938565666666667,0.35698924444444446,0.4239459877777778,0.4239459877777778,0.4951790633333333,-0.0013021593555555553,0.9059962066666666,0.37764422444444445,0.37764422444444445,0.3477961405555556,-0.022638844222222218,0.586728928888889,0.3772763177777778,0.3772763177777778,0.3863636388888889,-0.01719791988888889,0.9015914622222222,0.39476856444444447,0.39476856444444447,0.48599632666666664,0.015726535555555553,1.0351890955555556,0.38906374666666665,0.38906374666666665,0.48599632188888886,-0.005820214888888891,0.7562310288888888,0.4474215088888889,0.4474215088888889,0.5190541755555556,0.00014181600333333424,0.19853819555555555,0.36767616999999997,0.36767616999999997,0.3670798922222222,-0.03017589377777778,0.3845909777777778,0.6933586717777778,0.4435560211311111,0.22088724068,0.6319258935555555,0.48690917922222227,0.8553377822222222,0.7612093999999999,0.05685422717888888,9
