key,spearman_cos_vs_cos_en,spearman_cos_vs_nli,spearman_cos_en_vs_nli,spearman_cos_vs_kw,kw_nonzero_share,mean_cos,sd_cos,top_theme_agreement_emb_vs_nli
national_identity,1.0,0.32915064943865036,0.32915064943865036,0.47857543684718173,0.5950413223140496,0.40697625279426575,0.06670942157506943,0.32231404958677684
security_military,1.0,0.5858091764303072,0.5858091764303072,0.5132045540544246,0.34710743801652894,0.4252481460571289,0.06042993441224098,0.32231404958677684
economy_welfare,1.0,0.5841855802218594,0.5841855802218594,0.5615958218430784,0.33884297520661155,0.4002830684185028,0.0576140321791172,0.32231404958677684
foreign_policy,1.0,0.4542474072211279,0.4542474072211279,0.37480143453651643,0.359504132231405,0.39447423815727234,0.05343470349907875,0.32231404958677684
democracy_institutions,1.0,0.3802284507822877,0.3802284507822877,0.44685146789224073,0.28512396694214875,0.37904202938079834,0.05217459425330162,0.32231404958677684
social_solidarity,1.0,0.32842571318618097,0.32842571318618097,0.4262078312493176,0.5,0.3948839604854584,0.05967842787504196,0.32231404958677684
crisis_resilience,1.0,0.4297965191967456,0.4297965191967456,0.3558791592553799,0.25206611570247933,0.447279691696167,0.0506308451294899,0.32231404958677684
future_reform_technology,1.0,0.3411052908103079,0.3411052908103079,0.4096434730535661,0.2768595041322314,0.3978520631790161,0.05981149896979332,0.32231404958677684
conflict_threat_framing,1.0,0.4085429525869779,0.4085429525869779,,,0.4127267897129059,0.05900133401155472,0.32231404958677684
cooperation_solidarity_framing,1.0,0.29481918391763734,0.29481918391763734,,,0.39994868636131287,0.053344473242759705,0.32231404958677684
past_orientation,1.0,0.18028179866479882,0.18028179866479882,,,0.4063730835914612,0.0657486692070961,0.32231404958677684
future_orientation,1.0,0.4807643051073203,0.4807643051073203,,,0.4531889855861664,0.06608443707227707,0.32231404958677684
us_vs_them,1.0,0.2798431525955731,0.2798431525955731,,,0.3792348802089691,0.06200988218188286,0.32231404958677684
gratitude_recognition,1.0,0.4265769363395855,0.4265769363395855,,,0.42520198225975037,0.06393981724977493,0.32231404958677684
promises_commitments,1.0,0.415010082390829,0.415010082390829,,,0.4313705265522003,0.050087835639715195,0.32231404958677684
