,erdogan,macron,merkel,putin,trump
erdogan,1.0,0.5176841881142916,0.37205004108195994,-0.6817321900612694,-0.6447763999269348
macron,0.5176841881142916,1.0,0.1970170413890783,-0.4722236842635339,-0.5639818347165926
merkel,0.37205004108195994,0.1970170413890783,0.9999999999999999,-0.6236865131617219,-0.3525879653263175
putin,-0.6817321900612694,-0.4722236842635339,-0.6236865131617219,0.9999999999999998,0.10308564387076895
trump,-0.6447763999269348,-0.5639818347165926,-0.3525879653263175,0.10308564387076895,1.0
