speech_id,leader,language,speech_date,speech_type,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,n_chunks,conflict_threat_framing_rate,cooperation_solidarity_framing_rate
erdogan1,erdogan,tr,,symposium_speech,0.44270347454545456,0.43953510636363635,0.5195924745454545,0.0032229939181818187,0.46511342727272725,0.4451627654545455,0.42648902727272725,-0.011501258318181818,0.09054591985727273,0.09954934587,11,0.18181818181818182,0.0
erdogan2022,erdogan,tr,2022-12-31,new_year_message,0.4370390858823529,0.41659102,0.4729208876470588,-0.002441397752941176,0.4406015405882353,0.4064988105882353,0.32870183114705886,-0.03601314172352941,0.11416457817411765,0.2497942294411765,17,0.23529411764705882,0.058823529411764705
erdogan2023,erdogan,tr,2023-12-31,new_year_message,0.47478056684210523,0.45258368421052636,0.6973684236842106,0.03530008396315789,0.48890699684210526,0.4589902831578947,0.5461887505263159,0.012292314542105264,0.2382805296894737,0.3731736934205263,19,0.5789473684210527,0.3157894736842105
erdogan2024,erdogan,tr,2024-12-31,new_year_message,0.4206511375,0.4086607375,0.3700431009375,-0.0188293456875,0.460101274375,0.437342274375,0.38706896625,-0.01651341290625,0.08272083489375,0.28777928581875,16,0.0625,0.0625
erdogan2025,erdogan,tr,2025-12-31,new_year_message,0.41457820588235295,0.40283480470588234,0.34756592788235297,-0.024902277260588235,0.4547633247058824,0.4311673670588235,0.3662271809411765,-0.021851357235294116,0.1655042372035294,0.3708356181411765,17,0.058823529411764705,0.058823529411764705
macron2022,macron,fr,2022-12-31,new_year_address,0.43728391352941176,0.4190335358823529,0.47799188410294113,-0.002196571320588235,0.5028135952941176,0.4471425961764706,0.6329614591176471,0.02619891325882353,0.10443655653823529,0.35274732742058823,34,0.29411764705882354,0.35294117647058826
macron2023,macron,fr,2023-12-31,new_year_address,0.4344414754166667,0.41695347958333334,0.4902298881625,-0.005039007457083332,0.49079634333333333,0.4349326375,0.57658046125,0.014181663487500001,0.17327518649083332,0.19597804558333334,24,0.20833333333333334,0.2916666666666667
macron2024,macron,fr,2024-12-31,new_year_address,0.4404408104545455,0.4162318781818182,0.5228840165454546,0.000960324622727272,0.5069628422727273,0.4509280922727273,0.6706896545454545,0.030348158813636363,0.0942421939540909,0.3578860120240909,22,0.18181818181818182,0.4090909090909091
macron2025,macron,fr,2025-12-31,new_year_address,0.4805008325,0.45083911375,0.74525862125,0.04102034708125,0.534910033125,0.475338866875,0.7905172375,0.058295348937500005,0.1121366015084375,0.369727303635,16,0.625,0.75
merkel1,merkel,de,2016-12-31,new_year_address,0.47776944000000005,0.45247212249999996,0.7275862025,0.038288955775,0.5074404058333334,0.465849,0.6709770061666666,0.030825721875,0.046568254315,0.45003025811666664,12,0.5,0.25
merkel2,merkel,de,2017-12-31,new_year_address,0.475903364,0.44473712499999996,0.73344828,0.036422881020000006,0.5316082440000001,0.48422575700000003,0.802068968,0.05499356154999999,0.0016373952006,0.48223616934999997,10,0.5,0.7
merkel2020,merkel,de,2019-12-31,new_year_address,0.4472072727272727,0.4219948518181818,0.5490595627272726,0.007726788581818183,0.5032062527272727,0.4598172163636364,0.6515673936363636,0.0265915661,0.005655785090909091,0.4741862314545454,11,0.18181818181818182,0.45454545454545453
merkel3,merkel,de,2018-12-31,new_year_address,0.44446352,0.42766823555555555,0.5185823677777778,0.004983034355555556,0.5040320044444444,0.4645208588888889,0.6396551766666667,0.02741732227777778,0.06292933687377777,0.5465798182311111,9,0.3333333333333333,0.4444444444444444
putin2022,putin,en,2022-12-31,new_year_address,0.44974872,0.44974872,0.5766457645454546,0.010268235754545456,0.46888187090909095,0.46888187090909095,0.4562695909090909,-0.007732811381818181,0.09425065852545456,0.3175771792090909,11,0.18181818181818182,0.18181818181818182
putin2023,putin,en,2023-12-31,new_year_address,0.4343593333333333,0.4343593333333333,0.454023,-0.0051211509833333346,0.4744233283333334,0.4744233283333334,0.45804598,-0.002191355666666667,0.003794916095,0.6073300678833333,6,0.16666666666666666,0.16666666666666666
putin2024,putin,en,2024-12-31,new_year_address,0.434958295,0.434958295,0.4672413925,-0.004522189124999999,0.4374333325,0.4374333325,0.30862068675,-0.039181351675,0.008257749685,0.27583187575,4,0.25,0.0
putin2025,putin,en,2025-12-31,new_year_address,0.45792437799999997,0.45792437799999997,0.607241378,0.018443894362,0.49714517799999997,0.49714517799999997,0.610689656,0.02053049244,0.045764880609999996,0.424173768,5,0.4,0.4
trump1,trump,en,2021-01-19,farewell_address,0.392607545,0.392607545,0.23990147785714286,-0.04687294069285714,0.39713809678571427,0.39713809678571427,0.118103449175,-0.07947658860714286,0.05126167789303571,0.449177937875,28,0.03571428571428571,0.0
trump2,trump,en,,composite_excerpts,0.39249292999999996,0.39249292999999996,0.160344825,-0.046987548500000004,0.392600865,0.392600865,0.07586207,-0.08401382,0.0406196405,0.5852425649999999,2,0.0,0.0
trump3,trump,en,2017-01-20,inaugural_address,0.43164645625,0.43164646,0.43362068875000004,-0.0078340279875,0.438859628125,0.4388596225,0.2907327609375,-0.037755055610625,0.110988624775625,0.3156872573875,16,0.125,0.0
