speech_id,leader,language,speech_date,speech_type,emo_neutral,emo_sadness,emo_disappointment,emo_realization,emo_approval,emo_annoyance,emo_disapproval,emo_admiration,emo_grief,emo_relief,emo_embarrassment,emo_fear,emo_nervousness,emo_remorse,emo_joy,emo_optimism,emo_disgust,emo_anger,emo_pride,emo_surprise,emo_desire,emo_caring,emo_love,emo_gratitude,emo_confusion,emo_excitement,emo_amusement,emo_curiosity,sent_neutral,sent_negative,sent_positive,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence,n_chunks
erdogan1,erdogan,en,,symposium_speech,0.522302485174603,0.037139005292879626,0.0374449126344795,0.0629345706353585,0.23303741092483202,0.00945989347787367,0.008796411462956004,0.027565128144083753,0.0012717335145377244,0.0022447451774496585,0.0009014727871140672,0.0016192987127902193,0.001485825199375136,0.0009564862217909346,0.002068280404071427,0.06836925907474425,0.0011541983436068727,0.0011548078909981996,0.0021320769172032466,0.002729756641201675,0.017038651754976146,0.005176315808461772,0.0013926902320235968,0.0019417827845447594,0.02932283115418007,0.003771269073088964,0.00059358483283884,0.06774002166154484,0.6172479722234938,0.21376785408291551,0.16898419801145792,0.23303741092483202,0.044675588517242834,0.01164623587909672,0.12345937349730068,0.522302485174603,-0.044783656071457595,9
erdogan2022,erdogan,en,2022-12-31,new_year_message,0.31544291543272823,0.017363290078579806,0.028499506413936615,0.04649545216503052,0.18712071529947794,0.00963629076543909,0.007806859211996198,0.040328799737975575,0.0013802471288587325,0.008676820085383952,0.0011418022645207553,0.003913290100172162,0.010330434429656284,0.0017954446755958577,0.05220173724676268,0.16285784506740478,0.0013489798517324603,0.0011944919511174352,0.008122902918750277,0.0028364800651056263,0.12173561096334687,0.025602962803811982,0.0034159255581191527,0.023132489085233267,0.0019352037746172685,0.0671546934888913,0.0011796917667827355,0.0015681629413917947,0.34813220254503763,0.1136977701412084,0.538170034925525,0.3428254657639907,0.0289041087962687,0.010706235690472217,0.15588574913831857,0.31544291543272823,0.4244722647843166,13
erdogan2023,erdogan,en,2023-12-31,new_year_message,0.3106233093601007,0.0678272673394531,0.05988160771532701,0.031126527581363916,0.2020981050311373,0.014310636844199438,0.027297836191092547,0.029253532474215787,0.0029406974947330756,0.004063631587017041,0.0008857599426007185,0.002415165797663996,0.0021298083145386325,0.004062438992640147,0.004891752534044476,0.14047933287488726,0.0018912254331203608,0.0019630658789537847,0.0034302384682142963,0.00115582208113315,0.18462914489926055,0.02481684708394683,0.005365043959150521,0.072264930833346,0.0018456588687303548,0.006366619777579147,0.0008528639446012676,0.0019809677771543367,0.3587457758302872,0.21940166757513696,0.42185255956764406,0.32578997829785716,0.09499505928789194,0.02868928351941017,0.2017495189435207,0.3106233093601007,0.20245089199250707,13
erdogan2024,erdogan,en,2024-12-31,new_year_message,0.129719658754766,0.002026005289129292,0.003340864098087574,0.01082244577507178,0.19341462353865305,0.00508974651650836,0.004967614736718436,0.09487628641848762,0.0009594617998421503,0.0064359392660359544,0.0004403729035402648,0.0015029866432693477,0.0008661757795683419,0.001777472731191665,0.017120722603673737,0.42310705757699907,0.0009987095060447853,0.0015144285910840456,0.010235992502809191,0.0015063354803714901,0.16228464874438941,0.1199749504448846,0.023948241946830724,0.15986398369811164,0.001238999985313664,0.015759061090648174,0.0009225398607668467,0.002177948015742004,0.17155637607599297,0.03808352444320917,0.7903600987046957,0.5779982979098955,0.003710173060729479,0.005655324959661812,0.16281291904548803,0.129719658754766,0.7522765742614865,12
erdogan2025,erdogan,en,2025-12-31,new_year_message,0.2481393724946039,0.007217947859317064,0.009865776153414376,0.026328340505382845,0.20140864713383572,0.008976629136928491,0.014128083662529076,0.10644777222270412,0.0015204006049316376,0.007623444569097566,0.000786377742770128,0.002171030259757702,0.001241931926675274,0.002537825768480876,0.008485369109881244,0.2226926449553243,0.0015623840029417937,0.003039431126256074,0.009196392169022667,0.0013031057231793447,0.16164492100610264,0.0631677994637617,0.008556737959484704,0.19172570094399685,0.001315122125171391,0.010060982969922147,0.000808056745362202,0.001850928969880832,0.2777495187308107,0.055603327096572945,0.6666471521769252,0.45573748115982327,0.012244196118055177,0.015026963415688701,0.17341672309807368,0.2481393724946039,0.6110438250803522,14
macron2022,macron,en,2022-12-31,new_year_address,0.19107404434018666,0.007401076369677429,0.011136554086718846,0.03194758592656365,0.25543335673433765,0.0067247018838922186,0.00808511922325663,0.10727865395515605,0.0014914813089287942,0.006502518111287996,0.0008238939755958401,0.0033337534426849474,0.0020312988598123883,0.002586046287669214,0.006268525983344902,0.2489142560020641,0.0013392301668688931,0.0014460760759431178,0.015787797388232622,0.004054587127433883,0.12980455355028864,0.06386055999125044,0.0034718114550708343,0.09597575427809109,0.017419609264901804,0.009518878741396798,0.0008153760217181924,0.05086857659302445,0.4235680180567282,0.09455061424523592,0.4818813753900705,0.46862341560147425,0.014209904958045593,0.009192437580269244,0.1847604998835811,0.19107404434018666,0.38733076114483456,27
macron2023,macron,en,2023-12-31,new_year_address,0.1943198340503793,0.03818101526274787,0.012621265070169772,0.026316750770140635,0.200169782252296,0.00824380583914095,0.007472261161494412,0.09026983722211107,0.002853907249549306,0.013381204353400358,0.0013285445227091642,0.005466077669744233,0.009054357855347916,0.003395246418413559,0.04165176501326067,0.24934460928565577,0.001419511001777688,0.002045526114096375,0.04044904931460654,0.002629710771878691,0.09614366063799121,0.04691765938983544,0.004036778875160962,0.13993674876952641,0.014576257359677632,0.027672865066530283,0.001318194099248534,0.007178200307718821,0.1945122986247665,0.09917407602954068,0.7063136278455587,0.42208937359483617,0.0422555684344843,0.009845445716851637,0.11534400813673672,0.1943198340503793,0.607139551816018,19
macron2024,macron,en,2024-12-31,new_year_address,0.1894161405507475,0.020385546536999755,0.015543260997219477,0.04401382163632661,0.24577268632128835,0.008884493669029325,0.015125452351639979,0.15345954813528806,0.0017362920061714249,0.010366115864599124,0.0012524989251687657,0.0032994011671689805,0.002804908572215936,0.0023557852146041114,0.016417604027083144,0.2055567502975464,0.001253559206816135,0.0016175779055629391,0.030098665665718727,0.002135476614057552,0.10667466129234526,0.048625205614371225,0.004375886497655301,0.10744690005958546,0.0017648179964453448,0.011007011322362814,0.0008171835997927701,0.0018057356028293725,0.35233457875438035,0.10244331054855138,0.5452220917213708,0.4922447148710489,0.026284638872311916,0.015958549600327387,0.1362091265618801,0.1894161405507475,0.44277878117281944,16
macron2025,macron,en,2025-12-31,new_year_address,0.13425506880650154,0.02216274489182979,0.02561278556151172,0.01652808842034294,0.16014058157228506,0.010576741984830452,0.007448120400882685,0.05305587518243836,0.0013362186257906545,0.003147774116279414,0.0008983762303474718,0.003067771769845142,0.006584242205672826,0.0032076174438071367,0.003372095417804443,0.1727770992483084,0.001906486738544817,0.001815115670279528,0.003204569910079814,0.0009101321249125669,0.3219304965280641,0.08256658071723695,0.007964990195782425,0.1993393451445557,0.002010300119694036,0.005812233967634921,0.0008615287773024577,0.003120856977497729,0.3519468525281319,0.1125651769196758,0.5354879707312927,0.4344412824855401,0.028409301930178817,0.010790483882794013,0.3293881787417027,0.13425506880650154,0.422922793811617,13
merkel1,merkel,en,2016-12-31,new_year_address,0.25045598049958545,0.015874855362603232,0.03566772990032203,0.04724565541578664,0.336381240023507,0.030024010739806626,0.04165549108034207,0.08248238938136233,0.0013529870775528252,0.0056585056784873205,0.001460724335629493,0.0037169677606369886,0.0035930824233219028,0.0019186947675835756,0.003941228749075283,0.17155267029172844,0.004071509362094932,0.006939996324945241,0.0065667282679997795,0.0017279510826079382,0.03591075262779163,0.025748394584904116,0.001842668926757243,0.006607313454474529,0.015677701371411484,0.004445201018825173,0.0004576233558408502,0.05533466391110172,0.3044098416964213,0.1847248761397269,0.5108652747650113,0.37392785979641807,0.0378413829797258,0.0539211751634462,0.11682971566915512,0.25045598049958545,0.32614039862528443,9
