leader_a,leader_b,style_distance,style_cosine,ci_low,ci_high,share_closest_pair,rank
erdogan,macron,1.5587945847185414,0.5176841881142916,1.0330846309661865,3.348015308380127,0.4755,1
macron,merkel,1.7175002041198755,0.1970170413890783,1.3168989419937134,3.6818082332611084,0.469,2
erdogan,merkel,1.8627976997162004,0.37205004108195994,1.5893267393112183,3.960780620574951,0.0555,3
macron,putin,3.502430763718166,-0.4722236842635339,3.184919834136963,4.445417404174805,0.0,4
merkel,putin,3.8965581859825513,-0.6236865131617219,3.2172372341156006,5.9137492179870605,0.0,5
merkel,trump,3.9312142824779968,-0.3525879653263175,3.176560401916504,6.305263996124268,0.0,6
macron,trump,3.9377104877496225,-0.5639818347165926,3.40834641456604,6.103351593017578,0.0,7
putin,trump,3.9785667712777077,0.10308564387076895,3.4423937797546387,5.967418193817139,0.0,8
erdogan,putin,4.217962311172114,-0.6817321900612694,3.0515952110290527,6.273560047149658,0.0,9
erdogan,trump,4.5176748274197704,-0.6447763999269348,3.730403184890747,6.652422904968262,0.0,10
