key,spearman_cos_vs_cos_en,spearman_cos_vs_nli,spearman_cos_en_vs_nli,spearman_cos_vs_kw,kw_nonzero_share,mean_cos,sd_cos,top_theme_agreement_emb_vs_nli
national_identity,1.0,0.36640150039799396,0.36640150039799396,0.5644639412825497,0.5950413223140496,0.2855333089828491,0.09023191034793854,0.36363636363636365
security_military,1.0,0.5172362624603716,0.5172362624603716,0.47184714398520855,0.34710743801652894,0.27281510829925537,0.07243330031633377,0.36363636363636365
economy_welfare,1.0,0.669312825076469,0.669312825076469,0.5560944303411672,0.33884297520661155,0.2573411166667938,0.08010128140449524,0.36363636363636365
foreign_policy,1.0,0.5274417336532263,0.5274417336532263,0.3493404068908968,0.359504132231405,0.2624511122703552,0.066935695707798,0.36363636363636365
democracy_institutions,1.0,0.5241582436880434,0.5241582436880434,0.4421015958332665,0.28512396694214875,0.24561211466789246,0.07632020115852356,0.36363636363636365
social_solidarity,1.0,0.4494253063346488,0.4494253063346488,0.5507336217438339,0.5,0.3018765449523926,0.0840224176645279,0.36363636363636365
crisis_resilience,1.0,0.35586723515806884,0.35586723515806884,0.39880300534997465,0.25206611570247933,0.32145780324935913,0.06078304350376129,0.36363636363636365
future_reform_technology,1.0,0.34879483361633545,0.34879483361633545,0.4271997446124607,0.2768595041322314,0.29202863574028015,0.08234965801239014,0.36363636363636365
conflict_threat_framing,1.0,0.4778635252020553,0.4778635252020553,,,0.264780730009079,0.06888966262340546,0.36363636363636365
cooperation_solidarity_framing,1.0,0.48102001616398704,0.48102001616398704,,,0.3340539336204529,0.07310689240694046,0.36363636363636365
past_orientation,1.0,0.16058019314652033,0.16058019314652033,,,0.2987920343875885,0.07026118785142899,0.36363636363636365
future_orientation,1.0,0.499509957701835,0.499509957701835,,,0.33348485827445984,0.08607832342386246,0.36363636363636365
us_vs_them,1.0,0.26547252990104747,0.26547252990104747,,,0.2716520130634308,0.07514283061027527,0.36363636363636365
gratitude_recognition,1.0,0.4656579766519773,0.4656579766519773,,,0.3200125992298126,0.09982190281152725,0.36363636363636365
promises_commitments,1.0,0.41052920802761833,0.41052920802761833,,,0.3274945914745331,0.07628461718559265,0.36363636363636365
