leader,mean_dist_speech_to_leader,ci_low,ci_high,n_speeches
erdogan,0.06716711819171906,0.020629525,0.079755425,5
macron,0.0270984023809433,0.011013672,0.027098417,4
merkel,0.05761191248893738,0.020432204,0.057611942,4
putin,0.038249775767326355,0.015747786,0.038249776,4
trump,0.06446468830108643,-3.973643e-08,0.06446481,3
