leader,framing,metric,point,ci_low,ci_high,boot_sd,n_speeches
erdogan,conflict_threat_framing,pct,0.4815346263416605,0.39534658193588257,0.6100355982780457,0.05868680775165558,5
erdogan,cooperation_solidarity_framing,pct,0.40192105857606836,0.24363717436790466,0.568672239780426,0.08369907736778259,5
erdogan,past_orientation,pct,0.5112246357485959,0.4502936601638794,0.5542805790901184,0.026820627972483635,5
erdogan,future_orientation,pct,0.4756801253582418,0.394241601228714,0.5571186542510986,0.04490174353122711,5
erdogan,us_vs_them,pct,0.4134123436947741,0.30247631669044495,0.5307571291923523,0.05929041653871536,5
erdogan,gratitude_recognition,pct,0.3719351362657143,0.3018683195114136,0.44200193881988525,0.036094751209020615,5
erdogan,promises_commitments,pct,0.43531847231045184,0.3713059723377228,0.49933096766471863,0.03287450224161148,5
macron,conflict_threat_framing,pct,0.4703358632824238,0.4228536784648895,0.5420722961425781,0.03216184675693512,4
macron,cooperation_solidarity_framing,pct,0.47451368741386446,0.42006587982177734,0.5190306305885315,0.026939397677779198,4
macron,past_orientation,pct,0.48134142586711604,0.4341786205768585,0.5357019305229187,0.0273679681122303,4
macron,future_orientation,pct,0.5672614960625608,0.5101120471954346,0.6021347045898438,0.0253401231020689,4
macron,us_vs_them,pct,0.4034105999015805,0.36099934577941895,0.4581339657306671,0.02592269517481327,4
macron,gratitude_recognition,pct,0.46073322918819115,0.39752641320228577,0.5094122886657715,0.02996707335114479,4
macron,promises_commitments,pct,0.5494773197671033,0.47650474309921265,0.6034981608390808,0.03404185548424721,4
merkel,conflict_threat_framing,pct,0.46283861350694444,0.42105716466903687,0.5309917330741882,0.02929687686264515,4
merkel,cooperation_solidarity_framing,pct,0.5050074595708334,0.405417799949646,0.5623565316200256,0.04269051551818848,4
merkel,past_orientation,pct,0.31676136494375,0.2346763014793396,0.4175131916999817,0.04903692007064819,4
merkel,future_orientation,pct,0.4150309879333334,0.28007346391677856,0.4992251992225647,0.0578734427690506,4
merkel,us_vs_them,pct,0.45249368649652777,0.389261931180954,0.508034884929657,0.03135331720113754,4
merkel,gratitude_recognition,pct,0.3937385239097222,0.3487144112586975,0.43141645193099976,0.021964212879538536,4
merkel,promises_commitments,pct,0.4265237546631944,0.2933453917503357,0.5257977247238159,0.06006676331162453,4
putin,conflict_threat_framing,pct,0.5225378791893939,0.4637913405895233,0.5761018991470337,0.026156121864914894,4
putin,cooperation_solidarity_framing,pct,0.6572173141856061,0.5421205759048462,0.7723140716552734,0.0577857606112957,4
putin,past_orientation,pct,0.7139290687121213,0.6126033067703247,0.8280819654464722,0.055656228214502335,4
putin,future_orientation,pct,0.5506996670719697,0.38407212495803833,0.6975723505020142,0.08245372027158737,4
putin,us_vs_them,pct,0.5629507883863636,0.49514463543891907,0.6390913724899292,0.035525597631931305,4
putin,gratitude_recognition,pct,0.7391075030984848,0.6983940601348877,0.7798209190368652,0.020941127091646194,4
putin,promises_commitments,pct,0.45328230314393936,0.3439894914627075,0.5383264422416687,0.05116135999560356,4
trump,conflict_threat_framing,pct,0.6833923652678572,0.4964580833911896,0.8347107172012329,0.08217807114124298,3
trump,cooperation_solidarity_framing,pct,0.5944878874345237,0.48878395557403564,0.7244318127632141,0.05619603395462036,3
trump,past_orientation,pct,0.541765046904762,0.5020660758018494,0.6064049601554871,0.026430556550621986,3
trump,future_orientation,pct,0.5397604246071429,0.3726387321949005,0.6660640239715576,0.07143747061491013,3
trump,us_vs_them,pct,0.7903261582440475,0.6981995105743408,0.9310433864593506,0.05800241231918335,3
trump,gratitude_recognition,pct,0.6751155986607142,0.6201298832893372,0.7585227489471436,0.03441309928894043,3
trump,promises_commitments,pct,0.7200536163392858,0.511658787727356,0.8574380278587341,0.08759395033121109,3
erdogan,conflict_threat_framing,rate,0.20274725274725275,0.06428571790456772,0.3412087857723236,0.07273517549037933,5
erdogan,cooperation_solidarity_framing,rate,0.20054945054945056,0.07362637668848038,0.3423076868057251,0.07196768373250961,5
erdogan,past_orientation,rate,0.25799755799755797,0.20598290860652924,0.3032967150211334,0.025366168469190598,5
erdogan,future_orientation,rate,0.2635531135531136,0.1230769231915474,0.36868131160736084,0.063608817756176,5
erdogan,us_vs_them,rate,0.09914529914529915,0.015384615398943424,0.20000000298023224,0.04970286786556244,5
erdogan,gratitude_recognition,rate,0.12252747252747251,0.015384615398943424,0.22857142984867096,0.054633140563964844,5
erdogan,promises_commitments,rate,0.16440781440781438,0.09487179666757584,0.23394383490085602,0.03680456057190895,5
macron,conflict_threat_framing,rate,0.20885580671764878,0.17269736528396606,0.2450142502784729,0.019763421267271042,4
macron,cooperation_solidarity_framing,rate,0.19323080671764878,0.14144736528396606,0.2450142502784729,0.02722490206360817,4
macron,past_orientation,rate,0.23257094391962813,0.15099714696407318,0.31414473056793213,0.041122231632471085,4
macron,future_orientation,rate,0.314861673414305,0.2708333432674408,0.35323888063430786,0.02141728065907955,4
macron,us_vs_them,rate,0.08258359574149046,0.02631578966975212,0.13034188747406006,0.02685670740902424,4
macron,gratitude_recognition,rate,0.2056694219523167,0.13450291752815247,0.27764421701431274,0.036091651767492294,4
macron,promises_commitments,rate,0.31238753936122354,0.2361111044883728,0.4086538553237915,0.046338338404893875,4
merkel,conflict_threat_framing,rate,0.2013888888888889,0.1145833358168602,0.3645833432674408,0.0698389783501625,4
merkel,cooperation_solidarity_framing,rate,0.3298611111111111,0.1770833283662796,0.4583333432674408,0.07148505002260208,4
merkel,past_orientation,rate,0.12152777777777778,0.03125,0.2152777761220932,0.04557037726044655,4
merkel,future_orientation,rate,0.12152777777777778,0.03125,0.2152777761220932,0.043309103697538376,4
merkel,us_vs_them,rate,0.1701388888888889,0.0555555559694767,0.28125,0.061497170478105545,4
merkel,gratitude_recognition,rate,0.09027777777777778,0.03125,0.125,0.026139702647924423,4
merkel,promises_commitments,rate,0.18055555555555555,0.1111111119389534,0.25,0.03447488322854042,4
putin,conflict_threat_framing,rate,0.21780303030303028,0.0625,0.38257575035095215,0.07981168478727341,4
putin,cooperation_solidarity_framing,rate,0.38295454545454544,0.21590909361839294,0.550000011920929,0.08531458675861359,4
putin,past_orientation,rate,0.546969696969697,0.36329546570777893,0.8500000238418579,0.1338878870010376,4
putin,future_orientation,rate,0.33106060606060606,0.16818182170391083,0.4583333432674408,0.0738736093044281,4
putin,us_vs_them,rate,0.3556818181818182,0.2613636255264282,0.4506250023841858,0.05197345092892647,4
putin,gratitude_recognition,rate,0.5363636363636364,0.5,0.574999988079071,0.020625770092010498,4
putin,promises_commitments,rate,0.1125,0.0,0.22499999403953552,0.057168688625097275,4
trump,conflict_threat_framing,rate,0.5952380952380952,0.2857142984867096,1.0,0.1750016212463379,3
trump,cooperation_solidarity_framing,rate,0.21726190476190474,0.0,0.4375,0.10283458977937698,3
trump,past_orientation,rate,0.16666666666666666,0.0,0.25,0.06859280169010162,3
trump,future_orientation,rate,0.16964285714285712,0.0,0.4375,0.10987363755702972,3
trump,us_vs_them,rate,0.6904761904761904,0.5,1.0,0.1265849471092224,3
