dimension,dimension_label,kind,leader,leader_name,rank,value,z_value,ci_low,ci_high,share_rank1,n_speeches,corpus_mean,corpus_sd
promises_commitments,Promises & Commitments,rhetorical,erdogan,Erdoğan,3,0.4576033699633699,-0.05632386387137047,0.32003429532051086,0.5678395628929138,0.012,5,0.4656633114818331,0.14309993960765974
promises_commitments,Promises & Commitments,rhetorical,merkel,Merkel,4,0.43224444444444443,-0.23353515821889176,0.35457777976989746,0.5342000126838684,0.0015,4,0.4656633114818331,0.14309993960765974
promises_commitments,Promises & Commitments,rhetorical,putin,Putin,5,0.30879090909090906,-1.096243665937418,0.2657727301120758,0.3431999981403351,0.0,4,0.4656633114818331,0.14309993960765974
affiliative_positive,Affiliative / positive emotion,emotion,putin,Putin,1,0.5113511694087224,0.6112689366046477,0.46621736884117126,0.5485658645629883,0.5775,4,0.4543562004648603,0.0932404143754566
affiliative_positive,Affiliative / positive emotion,emotion,trump,Trump,2,0.4816411833820584,0.2926304339160068,0.3785150349140167,0.608110785484314,0.2865,3,0.4543562004648603,0.0932404143754566
affiliative_positive,Affiliative / positive emotion,emotion,merkel,Merkel,3,0.460320032444886,0.06396187768976236,0.39543086290359497,0.5607207417488098,0.1195,4,0.4543562004648603,0.0932404143754566
affiliative_positive,Affiliative / positive emotion,emotion,macron,Macron,4,0.45540477725008827,0.011245947288539303,0.4287512004375458,0.4820583462715149,0.0035,4,0.4543562004648603,0.0932404143754566
affiliative_positive,Affiliative / positive emotion,emotion,erdogan,Erdoğan,5,0.3867793085472487,-0.7247596696159648,0.29373660683631897,0.4997025728225708,0.013,5,0.4543562004648603,0.0932404143754566
threat_negative,"Fear, sadness & loss",emotion,trump,Trump,1,0.05475030869856843,0.8551779150911946,0.0024987433571368456,0.09580978751182556,0.6955,3,0.030437523203871015,0.02843009047082881
threat_negative,"Fear, sadness & loss",emotion,erdogan,Erdoğan,2,0.03521940270178236,0.16819782908597775,0.012228432111442089,0.061321258544921875,0.163,5,0.030437523203871015,0.02843009047082881
threat_negative,"Fear, sadness & loss",emotion,merkel,Merkel,3,0.031076208681527773,0.02246512294120534,0.008268400095403194,0.056622214615345,0.1195,4,0.030437523203871015,0.02843009047082881
threat_negative,"Fear, sadness & loss",emotion,macron,Macron,4,0.02743814306354745,-0.10550019682143226,0.017625484615564346,0.03784754127264023,0.022,4,0.030437523203871015,0.02843009047082881
