leader,emo_admiration,emo_gratitude,emo_neutral,emo_approval,emo_realization,emo_pride,emo_excitement,emo_joy,emo_optimism,emo_relief,emo_surprise,emo_annoyance,emo_caring,emo_disappointment,emo_disapproval,emo_desire,emo_sadness,emo_embarrassment,emo_love,emo_fear,emo_grief,emo_confusion,emo_disgust,emo_anger,emo_remorse,emo_amusement,emo_nervousness,emo_curiosity,sent_positive,sent_neutral,sent_negative,fam_affiliative_positive,fam_threat_negative,fam_hostility,fam_cognitive_other,fam_neutral,valence,n_speeches,n_chunks
erdogan,0.06426732330577065,0.09365228244050613,0.30096881470291603,0.20006685241899919,0.03365049342417598,0.007180211878152038,0.020699268521846788,0.017375809578753787,0.19876089460342689,0.0059744395479332186,0.00190097473539163,0.009232654256913334,0.05789894868482429,0.02648460816746772,0.01208204977666352,0.12537127331471506,0.025417373370555753,0.0008072555520763235,0.012093453741574407,0.0022678401446415133,0.0015941638426792096,0.007013399447318705,0.0013707574968816433,0.0017896194336146983,0.0022441211865998245,0.0008598257017340221,0.003144210989345224,0.015123306958609509,0.5375935967010019,0.342875907397232,0.11953049501004176,0.38677930854724873,0.035219402701782414,0.013826979686456626,0.15824087324582942,0.30096881470291603,0.4180631016909603,5,63
macron,0.1013566311834376,0.13711887787571506,0.17553542838215264,0.21398061849874783,0.029562234613185245,0.022398450023077943,0.01362148746859633,0.016983431540283048,0.2199717562667913,0.008404821701931424,0.002427088646781819,0.008498944790965541,0.06467005891484674,0.016108095474710336,0.00938754780623436,0.1617863369916555,0.02181964555429084,0.0010709286072308178,0.005015043569606106,0.0037863494761048696,0.0018468956599509358,0.008918100231248604,0.001450531565331686,0.001710373029774496,0.002783011820310017,0.0009552491823189401,0.005110728610360866,0.01572479094298096,0.5634291112184718,0.33431422675269795,0.10225665804880613,0.4554047772500883,0.027438143063547492,0.011326277662273987,0.18952767403100093,0.17553542838215264,0.4611724531696657,4,75
merkel,0.11827460025799358,0.14169581237806092,0.22591484132636752,0.24228588310070337,0.0339700344678325,0.006075077414506167,0.011249513186986505,0.016175465709723842,0.19389533059568043,0.007565313160012011,0.0019119860268094473,0.012288744716594616,0.07397048961655754,0.019763585643118455,0.0165607395556031,0.07384554449300695,0.021210294986020825,0.0008474744972368676,0.0037765246341425356,0.002862923884660833,0.0013726551152406802,0.006033840465372325,0.0017220518724772975,0.002474861248144104,0.0018288229114356606,0.000727034913385675,0.002705729365940594,0.015040719610826475,0.6108229581046746,0.2968657733613832,0.0923112622035357,0.46032003244488606,0.031076208681527835,0.019840939454216923,0.106801228525324,0.22591484132636752,0.5185116959011389,4,38
putin,0.25362421494368886,0.09651664076681657,0.11557604825603916,0.20430862883275205,0.017710176344773957,0.04343175562945279,0.03266900996315984,0.04916756255014193,0.21687075158785746,0.012457240475465148,0.001925288972085003,0.008704575890971516,0.2170943703230781,0.005856329558600644,0.009578940194015475,0.10114380508117998,0.0047676589512830655,0.0009603870846397265,0.0939402308391767,0.0038578731795441304,0.0020530762336530835,0.0017474346736200846,0.001365229240499585,0.002862034466604448,0.0024148535150964037,0.000943967776865148,0.0033246690257907508,0.0022487803539358235,0.81074709214383,0.14462170945339356,0.04463119453328986,0.5113511694087224,0.008586279373125625,0.010787475511262362,0.10604655597514162,0.11557604825603916,0.7661158976105402,4,26
trump,0.19074388867223255,0.28238884970395445,0.17764777447363098,0.19390114123935628,0.028181490753138184,0.025479891850793173,0.03263238612400458,0.03468826845222841,0.10184601526798716,0.010328619370570042,0.004395945253182778,0.018767529718550034,0.05038562675839747,0.04394996967541126,0.028185698057326597,0.035532445331381494,0.02788077759235053,0.0011963819611604985,0.05074060445175968,0.003209474547346032,0.002050806004507565,0.0013453176815321896,0.0017311008502434667,0.0032037284480148915,0.0016536600856321,0.0009440370770906082,0.0016551601490929022,0.0013979165978271237,0.7337968237115459,0.18631478129815657,0.07988839767904592,0.48164118338205847,0.05475030869856845,0.03485483530643383,0.05350470352980085,0.17764777447363098,0.6539084260324999,3,48
