dimension,dimension_label,kind,leader,leader_name,rank,value,z_value,ci_low,ci_high,share_rank1,n_speeches,corpus_mean,corpus_sd
promises_commitments,Promises & Commitments,rhetorical,putin,Putin,3,0.45328230314393936,-0.34158047754350707,0.3439894914627075,0.5383264422416687,0.0025,4,0.5026943360433532,0.14465707541239753
promises_commitments,Promises & Commitments,rhetorical,erdogan,Erdoğan,4,0.43531847231045184,-0.4657626565504803,0.3713059723377228,0.49933096766471863,0.0,5,0.5026943360433532,0.14465707541239753
promises_commitments,Promises & Commitments,rhetorical,merkel,Merkel,5,0.4265237546631944,-0.5265596664595,0.2933453917503357,0.5257977247238159,0.0005,4,0.5026943360433532,0.14465707541239753
affiliative_positive,Affiliative / positive emotion,emotion,putin,Putin,1,0.5382311537184499,0.827157865411386,0.4821181297302246,0.5756432414054871,0.855,4,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,merkel,Merkel,2,0.46453964836998946,0.10882495364025688,0.3863496780395508,0.5892763137817383,0.1095,4,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,macron,Macron,3,0.45434969663822483,0.009494947234862362,0.4282653331756592,0.4804340600967407,0.0005,4,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,trump,Trump,4,0.4345473902178041,-0.18353474273417447,0.3094885051250458,0.5441020727157593,0.032,3,0.4533756399808234,0.10258684259192002
affiliative_positive,Affiliative / positive emotion,emotion,erdogan,Erdoğan,5,0.3870777268112797,-0.6462613673887014,0.2920960485935211,0.5031428933143616,0.003,5,0.4533756399808234,0.10258684259192002
threat_negative,"Fear, sadness & loss",emotion,trump,Trump,1,0.05789402533991957,0.7905478848379622,0.004441943485289812,0.10353638231754303,0.637,3,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,merkel,Merkel,2,0.037410091618059776,0.14527631627033977,0.008677487261593342,0.07365205883979797,0.2095,4,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,erdogan,Erdoğan,3,0.03690582515603758,0.12939124188260812,0.012162568978965282,0.06522669643163681,0.1405,5,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,macron,Macron,4,0.027789853548755128,-0.1577741716517895,0.01775975339114666,0.03826283663511276,0.013,4,0.03279834273774982,0.03174467111162227
threat_negative,"Fear, sadness & loss",emotion,putin,Putin,5,0.009238968071947525,-0.7421521106002829,0.004019740968942642,0.018432723358273506,0.0,4,0.03279834273774982,0.03174467111162227
hostility,Hostility & disapproval,emotion,trump,Trump,1,0.03292451043463577,1.098460108934062,0.010071794502437115,0.050652876496315,0.7735,3,0.017329415327584516,0.014197233909736262
hostility,Hostility & disapproval,emotion,merkel,Merkel,2,0.021457181281423075,0.290744378805212,0.008664202876389027,0.04312095046043396,0.2095,4,0.017329415327584516,0.014197233909736262
hostility,Hostility & disapproval,emotion,erdogan,Erdoğan,3,0.014344808692865899,-0.21022451652866084,0.00853983499109745,0.021496064960956573,0.0135,5,0.017329415327584516,0.014197233909736262
hostility,Hostility & disapproval,emotion,macron,Macron,4,0.011446729195060524,-0.41435438550390635,0.0095189418643713,0.014430273324251175,0.001,4,0.017329415327584516,0.014197233909736262
hostility,Hostility & disapproval,emotion,putin,Putin,5,0.011118772469379775,-0.43745442934102613,0.005192535929381847,0.02056621015071869,0.0025,4,0.017329415327584516,0.014197233909736262
valence,Sentiment valence (positive − negative),emotion,putin,Putin,1,0.7703869141972091,1.0158045287023056,0.5733092427253723,0.9126817584037781,0.894,4,0.5345792395569221,0.23213882984114295
valence,Sentiment valence (positive − negative),emotion,trump,Trump,2,0.6194978340395859,0.36580952243437787,0.43016940355300903,0.7801397442817688,0.102,3,0.5345792395569221,0.23213882984114295
valence,Sentiment valence (positive − negative),emotion,merkel,Merkel,3,0.48647796105958857,-0.20720910211467072,0.3609641492366791,0.6119917631149292,0.001,4,0.5345792395569221,0.23213882984114295
valence,Sentiment valence (positive − negative),emotion,macron,Macron,4,0.4650429719863223,-0.29954604155704967,0.4011927545070648,0.5610853433609009,0.0,4,0.5345792395569221,0.23213882984114295
valence,Sentiment valence (positive − negative),emotion,erdogan,Erdoğan,5,0.38909198000944095,-0.6267252214850954,0.13582874834537506,0.6302226185798645,0.003,5,0.5345792395569221,0.23213882984114295
