cluster,size,share_of_chunks,candidate_label,top_theme,top_theme_mean_pct,second_theme,second_theme_mean_pct,dominant_leader,dominant_leader_share,leader_mix_entropy,n_speeches,frequent_terms,share_erdogan,count_erdogan,share_macron,count_macron,share_merkel,count_merkel,share_putin,count_putin,share_trump,count_trump
-1,46,0.184,(noise — not assigned),security_military,0.593,crisis_resilience,0.588,macron,0.37,0.934,16,"support, several, open, course, millions, hands, concern, true, common, first, marked, defending",0.152,7,0.37,17,0.087,4,0.174,8,0.217,10
0,9,0.036,"National Identity & Unity / Future, Reform & Technology",national_identity,0.599,future_reform_technology,0.591,macron,1.0,-0.0,3,"paralympic, olympic, games, french, pride, dame, cathedral, sporting, promised, impossible, rebuilt, paris",0.0,0,1.0,9,0.0,0,0.0,0,0.0,0
1,195,0.78,Foreign Policy & Geopolitics / Economy & Welfare,foreign_policy,0.511,economy_welfare,0.503,erdogan,0.287,0.962,20,"well, respect, dear, place, live, future, borders, long, jobs, everyone, strength, europe",0.287,56,0.251,49,0.174,34,0.092,18,0.195,38
