top_pair,other_pair,observed_difference,ci_low,ci_high,share_top_greater
macron–merkel,erdogan–macron,0.04395937919616699,0.020652351900935173,0.0869220495223999,1.0
macron–merkel,erdogan–merkel,0.06511598825454712,0.03261698782444,0.1100890189409256,1.0
macron–merkel,erdogan–putin,0.09480112791061401,0.04976803436875343,0.16615420579910278,1.0
macron–merkel,erdogan–trump,0.11505633592605591,0.08030097186565399,0.1832599937915802,1.0
macron–merkel,macron–putin,0.0961650013923645,0.06958962231874466,0.12052091211080551,1.0
macron–merkel,macron–trump,0.11373478174209595,0.08883899450302124,0.1759355068206787,1.0
macron–merkel,merkel–putin,0.11382216215133667,0.08157140016555786,0.14407241344451904,1.0
macron–merkel,merkel–trump,0.12077587842941284,0.08840388804674149,0.1824003905057907,1.0
macron–merkel,putin–trump,0.14826929569244385,0.112066350877285,0.2080000936985016,1.0
