,erdogan,macron,merkel,putin,trump
erdogan,0.9999998,0.85697854,0.8275635,0.77430946,0.79551184
macron,0.85697854,1.0,0.8710521,0.7781717,0.80609584
merkel,0.8275635,0.8710521,1.0,0.76144594,0.7741202
putin,0.77430946,0.7781717,0.76144594,1.0,0.74346644
trump,0.79551184,0.80609584,0.7741202,0.74346644,1.0
