top_pair,other_pair,observed_difference,ci_low,ci_high,share_top_greater
macron–merkel,erdogan–macron,0.03324449062347412,0.008518911898136139,0.07731644064188004,0.9945
macron–merkel,erdogan–merkel,0.06711435317993164,0.03654300794005394,0.11112842708826065,1.0
macron–merkel,erdogan–putin,0.0717114806175232,0.027956612408161163,0.1456259787082672,0.9995
macron–merkel,erdogan–trump,0.0928381085395813,0.06392931938171387,0.16031672060489655,1.0
macron–merkel,macron–putin,0.07519441843032837,0.04556696116924286,0.10376888513565063,1.0
macron–merkel,macron–trump,0.09594190120697021,0.07452982664108276,0.15736450254917145,1.0
macron–merkel,merkel–putin,0.10853356122970581,0.0770125463604927,0.1411859095096588,1.0
macron–merkel,merkel–trump,0.11168915033340454,0.08575998991727829,0.1687556505203247,1.0
macron–merkel,putin–trump,0.12194406986236572,0.08637314289808273,0.19617150723934174,1.0
