key,spearman_cos_vs_cos_en,spearman_cos_vs_nli,spearman_cos_en_vs_nli,spearman_cos_vs_kw,kw_nonzero_share,mean_cos,sd_cos,top_theme_agreement_emb_vs_nli
national_identity,0.8001601756379262,0.23797871158988204,0.27228534328842724,0.4006277238744884,0.6052631578947368,0.49758991599082947,0.05422215908765793,0.3026315789473684
security_military,0.9497467089245595,0.4570427488625891,0.4688822951083546,0.46753740370687363,0.27960526315789475,0.47755029797554016,0.04771760478615761,0.3026315789473684
economy_welfare,0.9209748930026739,0.5984086226622229,0.6290386960931588,0.5282503803282239,0.34539473684210525,0.47144463658332825,0.05947088450193405,0.3026315789473684
foreign_policy,0.8819573890089613,0.1856713479603616,0.2682461694792993,0.1999993413486223,0.3782894736842105,0.47343987226486206,0.04777128994464874,0.3026315789473684
democracy_institutions,0.9145315610076971,0.44047562350517055,0.4603709369572152,0.43143302751712137,0.26973684210526316,0.4595170319080353,0.0521494559943676,0.3026315789473684
social_solidarity,0.8435660649757815,0.4445085621933602,0.3961015364589877,0.23322413700508354,0.4243421052631579,0.4975530803203583,0.060707513242959976,0.3026315789473684
crisis_resilience,0.7315345253248363,0.38879582091082276,0.3166898743368729,0.2756975753251621,0.23355263157894737,0.5156518816947937,0.055061548948287964,0.3026315789473684
future_reform_technology,0.8451738012455259,0.29123695983157866,0.27158917118487264,0.32455741083569717,0.22039473684210525,0.5305250287055969,0.06190620735287666,0.3026315789473684
conflict_threat_framing,0.8965769398337591,0.2664168637273377,0.27430882840538834,,,0.4385170638561249,0.0491655059158802,0.3026315789473684
cooperation_solidarity_framing,0.8545827317848265,0.2356775467582116,0.28235978036287207,,,0.47692400217056274,0.05738864839076996,0.3026315789473684
