,erdogan,macron,merkel,putin,trump
erdogan,0.0,0.41867483,0.3794167,0.40504384,0.40747815
macron,0.41867483,0.0,0.30187672,0.35706043,0.366665
merkel,0.3794167,0.30187672,0.0,0.32178032,0.3402906
putin,0.40504384,0.35706043,0.32178032,0.0,0.25638562
trump,0.40747815,0.366665,0.3402906,0.25638562,0.0
