,erdogan,macron,merkel,putin,trump
erdogan,0.9952941176470588,0.0011764705882352942,0.0011764705882352942,0.0,0.0023529411764705885
macron,0.006060606060606061,0.9575757575757575,0.015151515151515154,0.017171717171717168,0.00404040404040404
merkel,0.04782608695652174,0.1391304347826087,0.6891304347826087,0.08695652173913042,0.03695652173913044
putin,0.015384615384615385,0.019230769230769232,0.01153846153846154,0.9192307692307692,0.03461538461538462
trump,0.01875,0.01875,0.004166666666666667,0.09166666666666667,0.8666666666666668
