key,spearman_cos_vs_cos_en,spearman_cos_vs_nli,spearman_cos_en_vs_nli,spearman_cos_vs_kw,kw_nonzero_share,mean_cos,sd_cos,top_theme_agreement_emb_vs_nli
national_identity,0.8690459511870082,0.435666629648297,0.4231784826455035,0.5473139593286722,0.6052631578947368,0.30892449617385864,0.08524087816476822,0.33881578947368424
security_military,0.8787440521446451,0.5207429119321224,0.45043539489770124,0.4968096374174586,0.27960526315789475,0.2783668041229248,0.07562151551246643,0.33881578947368424
economy_welfare,0.8415798870654969,0.5705559953860995,0.4609112628912156,0.4940311420036447,0.34539473684210525,0.2673356533050537,0.07933221012353897,0.33881578947368424
foreign_policy,0.9053652431679751,0.45948308753311495,0.4402925490877007,0.2690578439061375,0.3782894736842105,0.24821116030216217,0.06701904535293579,0.33881578947368424
democracy_institutions,0.8819437206878583,0.4735943997459508,0.45315876035990577,0.5189084645740084,0.26973684210526316,0.2401435822248459,0.07111270725727081,0.33881578947368424
social_solidarity,0.8700710752697358,0.5110013492135834,0.44593839748466396,0.48310503815490025,0.4243421052631579,0.31771764159202576,0.08290683478116989,0.33881578947368424
crisis_resilience,0.7918711931590052,0.45682561785082737,0.25474077174758025,0.4024875534341738,0.23355263157894737,0.3288905918598175,0.06499479711055756,0.33881578947368424
future_reform_technology,0.8756998607539788,0.3401223613994647,0.3041569431135102,0.3924734337424013,0.22039473684210525,0.3082335889339447,0.08735338598489761,0.33881578947368424
conflict_threat_framing,0.8118670926626744,0.5357262874524976,0.49081023821874503,,,0.28611448407173157,0.0705210343003273,0.33881578947368424
cooperation_solidarity_framing,0.8216779572694111,0.4857008523160199,0.5443746897264112,,,0.3417225480079651,0.07045494765043259,0.33881578947368424
