,erdogan,macron,merkel,putin,trump
erdogan,0.5960603952407837,0.3827282786369324,0.35530686378479004,0.3839634656906128,0.3754926323890686
macron,0.37189164757728577,0.5550203323364258,0.3813575208187103,0.3764825761318207,0.3755091726779938
merkel,0.37874627113342285,0.4224604666233063,0.4863957464694977,0.38262227177619934,0.38191744685173035
putin,0.4605722427368164,0.47818467020988464,0.4259010851383209,0.6430880427360535,0.5063011646270752
trump,0.3954731822013855,0.4152093827724457,0.38017481565475464,0.4716949760913849,0.5534467697143555
