leader,n_speeches,n_chunks,mean_dist_speech_to_leader,sd_dist_speech_to_leader,mean_dist_chunk_to_speech,mean_dist_chunk_to_leader
erdogan,5,85,0.06460733711719513,0.04661613330245018,0.25783309042453767,0.30603694915771484
macron,4,99,0.02504388988018036,0.003183936234563589,0.3260958418250084,0.3429904729127884
merkel,4,46,0.049789249897003174,0.009721697308123112,0.33350105583667755,0.3667556717991829
putin,4,26,0.03855501115322113,0.008014014922082424,0.1744595393538475,0.2062186896800995
trump,3,48,0.048592012375593185,0.01592659391462803,0.242603600025177,0.2800583839416504
