chunk_id,speech_id,leader,language,speech_date,speech_type,chunk_index,n_chunks_in_speech,relative_position,token_count,word_count,national_identity_cos,national_identity_cos_en,national_identity_pct,national_identity_rel,national_identity_kw,security_military_cos,security_military_cos_en,security_military_pct,security_military_rel,security_military_kw,economy_welfare_cos,economy_welfare_cos_en,economy_welfare_pct,economy_welfare_rel,economy_welfare_kw,foreign_policy_cos,foreign_policy_cos_en,foreign_policy_pct,foreign_policy_rel,foreign_policy_kw,democracy_institutions_cos,democracy_institutions_cos_en,democracy_institutions_pct,democracy_institutions_rel,democracy_institutions_kw,social_solidarity_cos,social_solidarity_cos_en,social_solidarity_pct,social_solidarity_rel,social_solidarity_kw,crisis_resilience_cos,crisis_resilience_cos_en,crisis_resilience_pct,crisis_resilience_rel,crisis_resilience_kw,future_reform_technology_cos,future_reform_technology_cos_en,future_reform_technology_pct,future_reform_technology_rel,future_reform_technology_kw,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,top_theme_emb,top_theme_margin,national_identity_nli,security_military_nli,economy_welfare_nli,foreign_policy_nli,democracy_institutions_nli,social_solidarity_nli,crisis_resilience_nli,future_reform_technology_nli,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,top_theme_nli
merkel1_c010,merkel1,merkel,de,2016-12-31,new_year_address,10,12,0.909,154,100,0.4832867,0.41768226,0.4051724,-0.013351321,0.0,0.44552076,0.4273135,0.27068967,-0.033017695,0.0,0.55527586,0.5327702,0.90172416,0.08340138,4.0,0.44014812,0.38480315,0.22586207,-0.03474614,0.0,0.41211313,0.40113354,0.20517242,-0.047299653,0.0,0.50688195,0.4163554,0.5706897,0.010347813,0.0,0.48613232,0.44526064,0.29827586,-0.03099811,0.0,0.5949112,0.53797925,0.84310347,0.06496042,2.0,0.4400243,0.37052113,0.4948276,0.000543803,0.4972463,0.41775116,0.6224138,0.020631611,economy_welfare,0.05862069,0.9343353,0.00025814815,0.99973726,0.14360754,0.3491166,0.99806195,0.018107349,0.7688634,0.0005838325,0.6738895,economy_welfare
merkel1_c011,merkel1,merkel,de,2016-12-31,new_year_address,11,12,1.0,79,50,0.5996009,0.53747183,0.987931,0.10296288,4.0,0.49079317,0.4947306,0.59827584,0.012254715,0.0,0.5890085,0.5555886,0.9775862,0.117134035,2.0,0.5355402,0.5014463,0.8948276,0.060645968,2.0,0.4989758,0.4809548,0.7844828,0.03956303,2.0,0.6084955,0.5238003,0.97068965,0.111961335,2.0,0.53989697,0.52327263,0.6672414,0.02276653,0.0,0.64640415,0.5658171,0.9672414,0.11645335,2.0,0.48651507,0.44805354,0.83965516,0.04703459,0.5580486,0.49421376,0.92241377,0.08143392,national_identity,0.010344803,0.9968885,0.000559291,0.99212325,0.84727407,0.038574696,0.99855906,0.6482019,0.00022038327,0.00024015534,0.9339146,social_solidarity
merkel2_c000,merkel2,merkel,de,2017-12-31,new_year_address,0,10,0.0,109,71,0.5364573,0.47275773,0.75,0.03981927,2.8169014,0.43477413,0.42784053,0.18793103,-0.043764323,0.0,0.4748597,0.41135436,0.51896554,0.002985239,0.0,0.45869684,0.42534298,0.36034483,-0.016197413,0.0,0.42519215,0.40869606,0.27068967,-0.034220636,0.0,0.54620355,0.49864253,0.7982759,0.049669415,1.4084507,0.47213286,0.4532736,0.22586207,-0.044997573,0.0,0.52428794,0.46745503,0.47068965,-0.0056628585,0.0,0.45714825,0.4284804,0.6362069,0.01766777,0.5109707,0.46484998,0.712069,0.034356028,social_solidarity,0.048275888,0.99951404,0.0042563495,0.00038596612,0.95840174,0.22910373,0.91090274,0.84421647,0.00021111625,0.00020502215,0.53995365,national_identity
merkel2_c001,merkel2,merkel,de,2017-12-31,new_year_address,1,10,0.111,118,70,0.57898736,0.5117804,0.95,0.08234933,2.857143,0.53021365,0.4987574,0.8534483,0.0516752,0.0,0.5737671,0.53173876,0.94310343,0.10189265,2.857143,0.5308246,0.47611827,0.8810345,0.055930346,1.4285715,0.5074376,0.48247033,0.84310347,0.048024803,1.4285715,0.6032518,0.48767704,0.9637931,0.106717676,4.285714,0.50111675,0.44226936,0.37758622,-0.016013682,0.0,0.51898474,0.45930573,0.42586207,-0.010966063,0.0,0.48598397,0.41673464,0.8362069,0.046503484,0.56200063,0.4688076,0.9293103,0.08538595,social_solidarity,0.013793111,0.99961555,0.00011682841,0.99952996,0.91886336,0.994146,0.9993162,0.0094217,0.00034531674,9.7425196e-05,0.9984177,national_identity
merkel2_c002,merkel2,merkel,de,2017-12-31,new_year_address,2,10,0.222,116,75,0.5315695,0.5332478,0.7224138,0.03493145,0.0,0.5020338,0.50119877,0.6775862,0.023495376,0.0,0.51402944,0.49593574,0.77068967,0.042154968,1.3333334,0.5078877,0.49469662,0.7741379,0.032993466,0.0,0.47041285,0.46086383,0.58793104,0.011000067,0.0,0.5173021,0.49211025,0.6637931,0.020767957,0.0,0.50359595,0.49260014,0.39482757,-0.013534486,0.0,0.54883885,0.519046,0.62586206,0.018888056,0.0,0.4530531,0.46687514,0.59827584,0.013572603,0.48587486,0.46974054,0.55689657,0.009260178,foreign_policy,0.003448248,0.97995734,0.83270484,0.78266245,0.86891025,0.883889,0.99020666,0.9965098,0.0003119781,0.00039743638,0.0025708675,crisis_resilience
merkel2_c003,merkel2,merkel,de,2017-12-31,new_year_address,3,10,0.333,136,80,0.58797324,0.50946295,0.97068965,0.09133521,3.75,0.49390164,0.4911157,0.61551726,0.015363187,0.0,0.56028223,0.5246726,0.9189655,0.088407755,1.25,0.5274637,0.49562722,0.8672414,0.05256942,0.0,0.52817523,0.4986571,0.9155173,0.06876245,0.0,0.58428526,0.48106137,0.9293103,0.08775112,0.0,0.5270649,0.5189277,0.5810345,0.009934485,1.25,0.61298376,0.55494815,0.88793105,0.083032966,1.25,0.48205376,0.44806907,0.7982759,0.042573273,0.53068465,0.46524236,0.82931036,0.054069966,national_identity,0.041379333,0.29715118,0.00020502215,0.0009697519,0.2621801,0.25019073,0.9992191,0.0015070488,0.00023231421,0.00017064044,0.010724796,social_solidarity
merkel2_c004,merkel2,merkel,de,2017-12-31,new_year_address,4,10,0.444,115,70,0.509074,0.46571225,0.5741379,0.012435943,4.285714,0.40828493,0.42840633,0.06724138,-0.07025352,0.0,0.5559472,0.5454546,0.9051724,0.08407271,1.4285715,0.49907076,0.49453223,0.7051724,0.024176508,1.4285715,0.44347253,0.4317746,0.3913793,-0.015940249,0.0,0.5201303,0.48615503,0.68448275,0.023596138,1.4285715,0.4901055,0.46518302,0.31896552,-0.027024925,0.0,0.61781526,0.55029106,0.89827585,0.08786446,1.4285715,0.4361985,0.40538114,0.43965518,-0.0032819808,0.52857697,0.48249173,0.81551725,0.051962286,economy_welfare,0.0068965554,0.6520545,0.0002948036,0.9574771,0.35981393,0.0268612,0.9925826,0.08748584,0.95934516,0.00031503872,0.4375231,social_solidarity
merkel2_c005,merkel2,merkel,de,2017-12-31,new_year_address,5,10,0.556,90,60,0.54263926,0.5315095,0.80172414,0.046001226,0.0,0.5406585,0.5550642,0.89827585,0.06212002,0.0,0.60369515,0.5882596,0.9982759,0.13182068,3.3333333,0.5633558,0.53297675,0.9672414,0.08846155,0.0,0.511388,0.5198835,0.8568966,0.05197522,0.0,0.55656713,0.49590987,0.84310347,0.060032994,0.0,0.51677203,0.52975965,0.49827588,-0.00035840273,0.0,0.70883846,0.6731732,0.9982759,0.17888767,8.333333,0.5185464,0.47384518,0.94310343,0.07906592,0.5390968,0.49664548,0.8672414,0.06248209,economy_welfare,0.0,0.037326887,0.42143276,0.36330795,0.57618433,0.7883185,0.99116975,0.12619172,0.9623383,0.00016124539,0.00936717,social_solidarity
merkel2_c006,merkel2,merkel,de,2017-12-31,new_year_address,6,10,0.667,160,98,0.57681835,0.5370364,0.9362069,0.08018032,0.0,0.57314825,0.5444982,0.9741379,0.0946098,2.0408163,0.59982824,0.56213164,0.99482757,0.12795377,0.0,0.56846464,0.5121463,0.9775862,0.09357038,0.0,0.53070045,0.50494975,0.9258621,0.07128766,0.0,0.66609746,0.57404786,0.9982759,0.16956332,2.0408163,0.54259264,0.5057521,0.7017241,0.02546221,0.0,0.57320654,0.50991046,0.74655175,0.043255746,0.0,0.50465614,0.47777104,0.9051724,0.06517565,0.553921,0.5026257,0.9051724,0.0773063,social_solidarity,0.0034483075,0.6595697,0.0029121784,0.41881576,0.35585886,0.36153096,0.99844515,0.038286004,0.001176375,0.0002885393,0.32589588,social_solidarity
merkel2_c007,merkel2,merkel,de,2017-12-31,new_year_address,7,10,0.778,137,84,0.53262556,0.50261825,0.73275864,0.035987526,1.1904762,0.5437468,0.5228149,0.9189655,0.065208375,1.1904762,0.46606663,0.42741877,0.46724138,-0.005807847,0.0,0.51016444,0.47247276,0.787931,0.035270184,2.3809524,0.44903597,0.4366783,0.42931035,-0.010376811,0.0,0.55806357,0.48908973,0.8465517,0.061529428,1.1904762,0.46437246,0.43498147,0.18103448,-0.05275798,0.0,0.5489779,0.5108812,0.62931037,0.019027114,2.3809524,0.44582802,0.3907737,0.53965515,0.006347537,0.48913813,0.44399542,0.57758623,0.0125234425,security_military,0.0724138,0.9963571,0.9989956,0.000593021,0.9954217,0.17441028,0.9733169,0.8593689,0.0015761827,0.0139288595,0.8800775,security_military
merkel2_c008,merkel2,merkel,de,2017-12-31,new_year_address,8,10,0.889,85,52,0.5371279,0.5050224,0.75689656,0.040489882,3.8461537,0.5199831,0.5275976,0.8086207,0.04144466,1.9230769,0.54802907,0.5062485,0.8775862,0.07615459,3.8461537,0.56795037,0.5435127,0.9741379,0.09305611,3.8461537,0.5278611,0.4857744,0.91206896,0.068448335,0.0,0.61819696,0.55336213,0.98448277,0.121662825,1.9230769,0.5069369,0.48984838,0.41896552,-0.010193527,0.0,0.5426922,0.5142946,0.58793104,0.012741387,1.9230769,0.5083891,0.48801282,0.9258621,0.06890863,0.56533,0.5332586,0.94310343,0.088715345,social_solidarity,0.010344863,0.99368566,0.0123360995,0.9930961,0.9914142,0.7673849,0.9897811,0.78347117,0.82068515,0.00019910393,0.6218854,national_identity
merkel2_c009,merkel2,merkel,de,2017-12-31,new_year_address,9,10,1.0,121,65,0.562044,0.53091985,0.8913793,0.065405995,1.5384616,0.4841307,0.47546574,0.52931035,0.005592257,0.0,0.50471455,0.4499192,0.72931033,0.032840073,1.5384616,0.51273686,0.48589137,0.7982759,0.0378426,1.5384616,0.58981276,0.57589066,0.98448277,0.13039997,4.6153846,0.6076014,0.5339229,0.9672414,0.111067265,3.0769231,0.44355467,0.41891629,0.08793104,-0.073575765,0.0,0.48634923,0.47035483,0.2672414,-0.043601573,1.5384616,0.4671764,0.45142812,0.712069,0.027695924,0.5504887,0.51460016,0.88448274,0.07387403,democracy_institutions,0.017241359,0.99965936,0.00019222712,0.00028573605,0.79518133,0.9497248,0.9998317,0.13660838,0.0029121782,0.000610641,0.99594563,social_solidarity
merkel2020_c000,merkel2020,merkel,de,2019-12-31,new_year_address,0,11,0.0,114,69,0.57210726,0.49979526,0.9155173,0.075469226,0.0,0.45137447,0.45355046,0.29827586,-0.027163982,0.0,0.48341197,0.45484662,0.60172415,0.011537492,0.0,0.5040325,0.4601286,0.7396552,0.029138237,0.0,0.4827338,0.45395166,0.68793106,0.023321003,0.0,0.5629849,0.5152527,0.8672414,0.066450745,1.4492754,0.49558416,0.4935007,0.34310344,-0.021546274,0.0,0.61860955,0.5731222,0.9051724,0.08865875,0.0,0.4534073,0.41844183,0.6051724,0.013926804,0.52118045,0.4556853,0.78103447,0.044565767,national_identity,0.010344863,0.9679296,0.9116921,0.36523026,0.81062883,0.54601204,0.98909235,0.88577974,0.94903547,0.00058726134,0.79166,social_solidarity
merkel2020_c001,merkel2020,merkel,de,2019-12-31,new_year_address,1,11,0.1,171,113,0.51209843,0.454079,0.59827584,0.015460402,0.88495576,0.4920843,0.48356974,0.61206895,0.013545841,0.0,0.5460831,0.5037627,0.87413794,0.07420862,3.539823,0.4944681,0.45077702,0.66034484,0.019573838,0.0,0.46865255,0.4429047,0.5672414,0.009239763,0.88495576,0.5427178,0.45338008,0.78103447,0.046183676,1.7699115,0.46667242,0.4415374,0.19482759,-0.050458014,0.0,0.64192104,0.6048469,0.94655174,0.111970246,3.539823,0.43362164,0.3976639,0.41896552,-0.0058588386,0.4749877,0.42795488,0.5017241,-0.0016269982,future_reform_technology,0.0724138,0.9971606,0.000440763,0.37868887,0.9520307,0.102664016,0.99967426,0.08137364,0.99612314,0.0003466678,0.9407081,social_solidarity
merkel2020_c002,merkel2020,merkel,de,2019-12-31,new_year_address,2,11,0.2,99,61,0.54663193,0.50737214,0.8224138,0.049993902,0.0,0.47961718,0.4660945,0.49827588,0.0010787249,0.0,0.46921152,0.43644828,0.49827588,-0.0026629567,0.0,0.512254,0.47441453,0.79137933,0.037359744,0.0,0.4667999,0.4408704,0.53965515,0.0073871315,0.0,0.5627918,0.5022269,0.8637931,0.066257685,0.0,0.5504131,0.53228843,0.7362069,0.033282638,0.0,0.6386291,0.57160735,0.9362069,0.10867828,1.6393442,0.44511038,0.42982984,0.5362069,0.005629897,0.5021419,0.45822674,0.6637931,0.025527209,future_reform_technology,0.0724138,0.47219667,0.1379384,0.4887714,0.8318272,0.39957732,0.99178034,0.97459245,0.108566426,0.019326588,0.20149879,social_solidarity
merkel2020_c003,merkel2020,merkel,de,2019-12-31,new_year_address,3,11,0.3,146,77,0.454616,0.4277737,0.20517242,-0.04202202,0.0,0.4648081,0.45782137,0.39482757,-0.013730347,0.0,0.46032304,0.4422261,0.41896552,-0.01155144,1.2987013,0.4266824,0.428364,0.1362069,-0.048211843,1.2987013,0.4177762,0.4281522,0.23275863,-0.041636586,0.0,0.4630002,0.40298766,0.28103447,-0.03353393,0.0,0.51780176,0.50887495,0.512069,0.0006713271,1.2987013,0.5396136,0.47992197,0.5706897,0.009662807,1.2987013,0.41796106,0.44111273,0.33620688,-0.021519423,0.43058985,0.4210697,0.20172414,-0.04602483,future_reform_technology,0.05862069,0.06584469,0.00082797185,0.0019858377,0.93288255,0.08055615,0.15866259,0.9987816,0.004556114,0.00039511538,0.029703751,crisis_resilience
merkel2020_c004,merkel2020,merkel,de,2019-12-31,new_year_address,4,11,0.4,145,93,0.452693,0.41504532,0.19137931,-0.043945044,1.0752689,0.4426236,0.41179025,0.25344828,-0.035914868,0.0,0.47898442,0.4545759,0.55689657,0.00710994,0.0,0.4616263,0.44765306,0.3913793,-0.013267964,0.0,0.41054708,0.41406786,0.19827586,-0.048865706,0.0,0.49474084,0.4292071,0.4637931,-0.0017932951,0.0,0.45612836,0.43281624,0.1362069,-0.061002076,0.0,0.5936804,0.52641827,0.8327586,0.063729584,2.1505377,0.39673898,0.39626035,0.17758621,-0.042741507,0.46259904,0.41845185,0.4086207,-0.014015645,future_reform_technology,0.27586204,0.8038291,0.0010754024,0.28135622,0.93205243,0.9554804,0.9291356,0.8180837,0.00028741473,0.00024251157,0.020293485,democracy_institutions
