leader,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,conflict_threat_framing_rate,cooperation_solidarity_framing_rate,n_speeches,n_chunks
erdogan,0.4378854653707265,0.4235094624109312,0.487553325130893,-0.0006315972589363471,0.4629660706198268,0.43697790427327937,0.4157202210095524,-0.013957932293939495,0.12431859670479947,0.2652495845509931,0.20975596041385516,0.108406432748538,5,85
macron,0.4474528886132544,0.4240044163145913,0.5603805894995117,0.008935824890789153,0.510105097054469,0.45124378927268904,0.6702588982447212,0.03318109626024522,0.11554621785526031,0.32494119561328594,0.32108479755538577,0.44494270435446903,4,99
merkel,0.462346444375,0.4391087428977273,0.6444938681439394,0.023829380294757577,0.5148663772727272,0.47362169151515154,0.7064082451780302,0.03794237442632576,0.026057356671212117,0.5096648541086364,0.3939393939393939,0.48484848484848486,4,46
putin,0.4381135321439394,0.4381135321439394,0.48935780905681814,-0.00040353249166666556,0.4644321999431818,0.4644321999431818,0.427590462875,-0.012491800401325758,0.037573558997185605,0.3941469400621212,0.19962121212121212,0.1143939393939394,4,26
trump,0.39643289811624643,0.3964329000770308,0.25015357105912694,-0.042084166292693743,0.3978688976283847,0.3978688952754435,0.13994391516862745,-0.07905510433370681,0.052402577149791095,0.4240573255691176,0.07072829131652662,0.0,3,48
