,erdogan,macron,merkel,putin,trump
erdogan,0.6374055743217468,0.6221793293952942,0.5942318439483643,0.5744820237159729,0.5734604597091675
macron,0.6200844645500183,0.6673281192779541,0.6206340193748474,0.5895833373069763,0.5896899700164795
merkel,0.612190306186676,0.6391822695732117,0.6510416269302368,0.584231436252594,0.5898120403289795
putin,0.6336835622787476,0.6492051482200623,0.6195583939552307,0.73686283826828,0.6158031821250916
trump,0.5923877358436584,0.6095219254493713,0.5896207690238953,0.5898164510726929,0.645383894443512
