cluster,size,share_of_chunks,candidate_label,top_theme,top_theme_mean_pct,second_theme,second_theme_mean_pct,dominant_leader,dominant_leader_share,leader_mix_entropy,n_speeches,frequent_terms,share_erdogan,count_erdogan,share_macron,count_macron,share_merkel,count_merkel,share_putin,count_putin,share_trump,count_trump
-1,58,0.19078947368421054,(noise — not assigned),future_reform_technology,0.426,economy_welfare,0.38,merkel,0.5,0.67,10,"menschen, unserem, mehr, aura, sagen, unserer, familien, land, wünsche, neues, lange, gerade",0.0,0,0.362,21,0.5,29,0.052,3,0.086,5
0,85,0.27960526315789475,"Foreign Policy & Geopolitics / Crisis, Threat & Resilience",foreign_policy,0.555,crisis_resilience,0.541,erdogan,1.0,-0.0,5,"türkiye, büyük, millet, ediyorum, devam, ülke, ekonomik, aziz, ülkemizin, önemli, yılda, siyasi",1.0,85,0.0,0,0.0,0,0.0,0,0.0,0
1,6,0.019736842105263157,"Future, Reform & Technology / Economy & Welfare",future_reform_technology,0.913,economy_welfare,0.887,merkel,1.0,-0.0,4,"fortschritt, bildung, digitalen, neue, menschen, arbeit, zukunft, mehr, müssen, zugang, wirtschaftlicher, unterstützen",0.0,0,0.0,0,1.0,6,0.0,0,0.0,0
2,11,0.03618421052631579,"Social Solidarity & Values / Democracy, Law & Institutions",social_solidarity,0.747,democracy_institutions,0.713,merkel,1.0,-0.0,4,"europa, demokratie, danke, unserer, polizisten, sicherheit, dazu, soldatinnen, soldaten, polizistinnen, dienst, beitragen",0.0,0,0.0,0,1.0,11,0.0,0,0.0,0
3,78,0.2565789473684211,"Future, Reform & Technology",future_reform_technology,0.735,economy_welfare,0.659,macron,1.0,-0.0,4,"avons, pays, europe, ceux, nation, travail, sécurité, engagement, enfants, bâtir, monde, français",0.0,0,1.0,78,0.0,0,0.0,0,0.0,0
4,43,0.14144736842105263,National Identity & Unity / Foreign Policy & Geopolitics,national_identity,0.645,foreign_policy,0.634,trump,1.0,-0.0,3,"america, country, american, world, people, citizens, americans, nation, across, president, thank, first",0.0,0,0.0,0,0.0,0,0.0,0,1.0,43
5,23,0.0756578947368421,Social Solidarity & Values / National Identity & Unity,social_solidarity,0.715,national_identity,0.677,putin,1.0,-0.0,4,"russia, friends, future, love, motherland, happy, people, always, sincere, russian, support, wish",0.0,0,0.0,0,0.0,0,1.0,23,0.0,0
