speech_id,leader,language,speech_date,speech_type,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,n_chunks,conflict_threat_framing_rate,cooperation_solidarity_framing_rate
erdogan1,erdogan,tr,,symposium_speech,0.4390121969230769,0.4367788669230769,0.49987348076923077,0.0004951356384615384,0.46593080153846156,0.44730575307692305,0.4259868438461538,-0.010993203215384615,0.05541494026615385,0.0872122343876923,13,0.07692307692307693,0.0
erdogan2022,erdogan,tr,2022-12-31,new_year_message,0.43778985555555555,0.4163617,0.4895833299444445,-0.0007272064222222225,0.4414803077777778,0.40850624,0.3305921069055555,-0.035443695194444444,0.16128335688777776,0.20329293109444443,18,0.2777777777777778,0.1111111111111111
erdogan2023,erdogan,tr,2023-12-31,new_year_message,0.47625111000000003,0.45283821421052634,0.7135560947368421,0.03773404772842105,0.49020067578947374,0.45889839421052636,0.5487361542105264,0.01327667395263158,0.20093484711263157,0.3867824053126316,19,0.5263157894736842,0.3157894736842105
erdogan2024,erdogan,tr,2024-12-31,new_year_message,0.421330834375,0.4093098725,0.380962170625,-0.017186230062500002,0.46131151062500003,0.4381464525,0.391447361875,-0.0156124943125,0.08263579499875001,0.28172287488125,16,0.0625,0.0625
erdogan2025,erdogan,tr,2025-12-31,new_year_message,0.41504333,0.40225865842105263,0.3537915495789474,-0.023473733176842104,0.4559070573684211,0.43203268157894736,0.3818386382105263,-0.0210169427,0.12132404425868422,0.3672374770789474,19,0.10526315789473684,0.05263157894736842
macron2022,macron,fr,2022-12-31,new_year_address,0.43796743114285713,0.41893263914285717,0.4892387157285714,-0.0005496322571428573,0.5054177394285714,0.4484524597142857,0.6375469917142857,0.028493738214285712,0.09753503386714286,0.36209053851714285,35,0.3142857142857143,0.37142857142857144
macron2023,macron,fr,2023-12-31,new_year_address,0.434515112,0.4163639228,0.49625000471599995,-0.004001952412,0.4920193828,0.43511436119999997,0.57901315704,0.015095382816000001,0.166082450354,0.20042222716560001,25,0.2,0.28
macron2024,macron,fr,2024-12-31,new_year_address,0.4410050595454545,0.41609711272727273,0.5324461693181818,0.0024879944681818174,0.5081521636363636,0.45073278499999997,0.6737440236363637,0.031228163363636364,0.09302552450254545,0.3591520138786363,22,0.18181818181818182,0.36363636363636365
macron2025,macron,fr,2025-12-31,new_year_address,0.4763239517647058,0.44462399058823526,0.7235874682352941,0.03780688976411765,0.5348311023529412,0.4706755511764706,0.7907314205882353,0.05790710064705882,0.10554186269735294,0.3781000028917647,17,0.5882352941176471,0.7647058823529411
merkel1,merkel,de,2016-12-31,new_year_address,0.4752764,0.45009948499999997,0.7157346441666667,0.03675933436666667,0.5073425833333333,0.46669303500000003,0.6677631625,0.030418580166666667,0.046292035786666665,0.4484566941166667,12,0.5,0.25
merkel2,merkel,de,2017-12-31,new_year_address,0.4741954436363636,0.44473503000000003,0.7351973627272728,0.03567838124545455,0.532819379090909,0.4884768763636364,0.8093600463636363,0.05589538027272727,0.0014966597799999997,0.5417406757727273,11,0.5454545454545454,0.8181818181818182
merkel2020,merkel,de,2019-12-31,new_year_address,0.4455318275,0.4212604075,0.5449561375,0.007014763750000001,0.5022606266666666,0.4603640583333333,0.6450109616666667,0.025336620675,0.0048602368699999995,0.4562264465833334,12,0.16666666666666666,0.4166666666666667
merkel3,merkel,de,2018-12-31,new_year_address,0.45438210636363635,0.44034004909090907,0.5820873281818182,0.01586504181690909,0.51704292,0.47895279636363636,0.7034988101818181,0.0401189165909091,0.05158049424818181,0.5922355999618182,11,0.36363636363636365,0.45454545454545453
putin2022,putin,en,2022-12-31,new_year_address,0.4469382009090909,0.4469382009090909,0.5638457027272726,0.0084211365,0.46482707727272726,0.46482707727272726,0.43256578999999995,-0.012096922863636362,0.09362441916090908,0.2900263747818182,11,0.18181818181818182,0.09090909090909091
putin2023,putin,en,2023-12-31,new_year_address,0.42585134166666666,0.42585134166666666,0.39638157100000004,-0.012665724166666665,0.46757023,0.46757023,0.40460527,-0.009353766666666668,0.003583349623333333,0.6028120093666667,6,0.16666666666666666,0.16666666666666666
putin2024,putin,en,2024-12-31,new_year_address,0.4278522,0.4278522,0.41858553249999997,-0.010664864999999999,0.4333276225,0.4333276225,0.2886513155,-0.043596379875,0.0083661008525,0.3111896875,4,0.25,0.0
putin2025,putin,en,2025-12-31,new_year_address,0.451812386,0.451812386,0.57861843,0.0132953227,0.49200387,0.49200387,0.584539476,0.015079867799999999,0.044720366351999996,0.3725596886,5,0.2,0.2
trump1,trump,en,2021-01-19,farewell_address,0.3904711396428571,0.3904711396428571,0.22556391051071428,-0.04804592570357143,0.39504218857142853,0.39504218857142853,0.1078477448,-0.08188181392857143,0.05068601103839286,0.426780828075,28,0.03571428571428571,0.0
trump2,trump,en,,composite_excerpts,0.36890318,0.36890318,0.08826754066666666,-0.06961388333333333,0.36070129666666667,0.36070129666666667,0.033442984,-0.11622270666666668,0.0026070765333333335,0.4718423,3,0.0,0.0
trump3,trump,en,2017-01-20,inaugural_address,0.42992437470588235,0.4299243805882353,0.43662926199999996,-0.008592689841176471,0.4378632076470588,0.4378632005882353,0.2785410167058823,-0.03906079240588235,0.10391464387764707,0.37354884863235294,17,0.17647058823529413,0.0
