leader,neighbor_leader,observed_share,expected_share,ratio_obs_exp,n_chunks
erdogan,erdogan,0.9952941176470588,0.23607778112326333,4.215958456197899,85
erdogan,macron,0.0011764705882352942,0.3453347016840043,0.003406754613707527,85
erdogan,merkel,0.0011764705882352942,0.16045854825721412,0.007331928407761853,85
erdogan,putin,0.0,0.0906939620584254,0.0,85
erdogan,trump,0.0023529411764705885,0.16743500687709306,0.014052862781543544,85
macron,erdogan,0.006060606060606061,0.30648500897408343,0.019774559548256892,99
macron,macron,0.9575757575757575,0.26083027247426943,3.6712600439054524,99
macron,merkel,0.015151515151515154,0.16586247544479807,0.09134986747836067,99
macron,putin,0.017171717171717168,0.09374835568619024,0.1831681958155846,99
macron,trump,0.00404040404040404,0.17307388742065885,0.023344966133358833,99
merkel,erdogan,0.04782608695652174,0.2906207375997821,0.16456529341819964,46
merkel,macron,0.1391304347826087,0.3384876826162168,0.4110354436157052,46
merkel,merkel,0.6891304347826087,0.11788058469713199,5.846004552430551,46
merkel,putin,0.08695652173913042,0.08889575503052159,0.9781853105277597,46
merkel,trump,0.03695652173913044,0.1641152400563475,0.2251864100277448,46
putin,erdogan,0.015384615384615385,0.2868182189017006,0.05363890565783081,26
putin,macron,0.019230769230769232,0.33405886672080426,0.05756700733479317,26
putin,merkel,0.01153846153846154,0.15521927140562622,0.07433652686275467,26
putin,putin,0.9192307692307692,0.06193570759208499,14.841693184243871,26
putin,trump,0.03461538461538462,0.16196793537978388,0.21371751473041964,26
trump,erdogan,0.01875,0.3021918268980465,0.062046681382702897,48
trump,macron,0.01875,0.3519645983871365,0.05327240320737118,48
trump,merkel,0.004166666666666667,0.16353910632129576,0.025478105881786214,48
trump,putin,0.09166666666666667,0.09243514705116718,0.9916862750910634,48
trump,trump,0.8666666666666668,0.08986932134235397,9.643632039515811,48
