,erdogan,macron,merkel,putin,trump
erdogan,0.0,0.05851215,0.0757736,0.14875388,0.12529862
macron,0.05851215,0.0,0.057846963,0.13957882,0.12032932
merkel,0.0757736,0.057846963,5.9604645e-08,0.1621626,0.13594282
putin,0.14875388,0.13957882,0.1621626,0.0,0.17636192
trump,0.12529862,0.12032932,0.13594282,0.17636192,0.0
