leader,mean_dist_speech_to_leader,ci_low,ci_high,n_speeches
erdogan,0.06460733711719513,0.019161368,0.077357665,5
macron,0.02504388988018036,0.010718465,0.025043905,4
merkel,0.049789249897003174,0.01929915,0.04978925,4
putin,0.03855501115322113,0.014629275,0.038555026,4
trump,0.048592012375593185,-7.947286e-08,0.04859203,3
