,erdogan,macron,merkel,putin,trump
erdogan,0.46749999999999997,0.29874999999999996,0.11750000000000001,0.057499999999999996,0.058750000000000004
macron,0.12916666666666668,0.6541666666666667,0.12395833333333335,0.052083333333333336,0.040625
merkel,0.11428571428571428,0.30714285714285716,0.5047619047619049,0.045238095238095244,0.028571428571428574
putin,0.07692307692307693,0.14615384615384616,0.02692307692307692,0.7346153846153846,0.015384615384615385
trump,0.06956521739130435,0.11739130434782608,0.02826086956521739,0.11304347826086955,0.6717391304347825
