speech_id,leader,language,speech_date,speech_type,conflict_threat_framing_cos,conflict_threat_framing_cos_en,conflict_threat_framing_pct,conflict_threat_framing_rel,cooperation_solidarity_framing_cos,cooperation_solidarity_framing_cos_en,cooperation_solidarity_framing_pct,cooperation_solidarity_framing_rel,conflict_threat_framing_nli,cooperation_solidarity_framing_nli,n_chunks,conflict_threat_framing_rate,cooperation_solidarity_framing_rate
erdogan1,erdogan,tr,,symposium_speech,0.28165628,0.1786782123076923,0.4943066746153846,-0.004458202592307693,0.30516769846153846,0.1898795776923077,0.3475455410769231,-0.03655485017692307,0.05541494026615385,0.0872122343876923,13,0.15384615384615385,0.0
erdogan2022,erdogan,tr,2022-12-31,new_year_message,0.3142976027777778,0.20057908722222223,0.5968567281111111,0.02818311803055555,0.31415686722222225,0.20711977444444443,0.38651315827777777,-0.027565681316666667,0.16128335688777776,0.20329293109444443,18,0.3888888888888889,0.1111111111111111
erdogan2023,erdogan,tr,2023-12-31,new_year_message,0.36917812473684214,0.25241393263157896,0.8279951494736842,0.08306364010526317,0.4057400742105263,0.2888923436842105,0.7419494515789474,0.06401752592631578,0.20093484711263157,0.3867824053126316,19,0.7368421052631579,0.5789473684210527
erdogan2024,erdogan,tr,2024-12-31,new_year_message,0.309132413125,0.20618393625,0.59436677875,0.023017929406250002,0.35954065875,0.254613266875,0.572574019375,0.01781811040625,0.08263579499875001,0.28172287488125,16,0.3125,0.25
erdogan2025,erdogan,tr,2025-12-31,new_year_message,0.29418610789473687,0.19581981836842105,0.5232860084210526,0.008071623628760528,0.34499977368421053,0.2463328452631579,0.5103012424210526,0.003277224578947368,0.12132404425868422,0.3672374770789474,19,0.2631578947368421,0.21052631578947367
macron2022,macron,fr,2022-12-31,new_year_address,0.2793098354285714,0.20864147331428573,0.47241541737142856,-0.006804648565714286,0.33090912828571434,0.2773163577142857,0.4703477452542857,-0.010813419474285716,0.09753503386714286,0.36209053851714285,35,0.3142857142857143,0.2857142857142857
macron2023,macron,fr,2023-12-31,new_year_address,0.28877885,0.2070394302,0.518355260676,0.0026643667040000003,0.3122682756,0.2458521588,0.36690789398,-0.029454270604,0.166082450354,0.20042222716560001,25,0.24,0.12
macron2024,macron,fr,2024-12-31,new_year_address,0.27173359136363634,0.20146887154545456,0.43301435454545456,-0.01438089352409091,0.319169825,0.26781641954545454,0.3990729727272727,-0.022552722732045453,0.09302552450254545,0.3591520138786363,22,0.045454545454545456,0.09090909090909091
macron2025,macron,fr,2025-12-31,new_year_address,0.3013453811764706,0.22725708647058823,0.5713041799999999,0.015230898117647058,0.34270823058823524,0.2816863611764706,0.48848684647058827,0.0009856821588235293,0.10554186269735294,0.3781000028917647,17,0.35294117647058826,0.17647058823529413
merkel1,merkel,de,2016-12-31,new_year_address,0.2836193891666667,0.24036973583333332,0.4860197345833333,-0.0024950945000000013,0.31900057416666666,0.28142353000000003,0.40241228,-0.022721972916666666,0.046292035786666665,0.4484566941166667,12,0.3333333333333333,0.25
merkel2,merkel,de,2017-12-31,new_year_address,0.23737165181818182,0.20238369,0.3045753572272727,-0.04874283154545455,0.35676082363636363,0.30647065181818184,0.5889653156363637,0.015038279054545455,0.0014966597799999997,0.5417406757727273,11,0.0,0.36363636363636365
merkel2020,merkel,de,2019-12-31,new_year_address,0.230872165,0.197881063,0.2768640365833333,-0.055242317916666665,0.33601190583333335,0.2948502775,0.47916666775,-0.005710643383333334,0.0048602368699999995,0.4562264465833334,12,0.08333333333333333,0.25
merkel3,merkel,de,2018-12-31,new_year_address,0.24789545999999998,0.19934831727272728,0.3488337270909091,-0.038219022790909093,0.36433932,0.30537299236363635,0.6039174524818182,0.022616769363636362,0.05158049424818181,0.5922355999618182,11,0.09090909090909091,0.5454545454545454
putin2022,putin,en,2022-12-31,new_year_address,0.28819595727272723,0.28819595727272723,0.5162978430909091,0.002081472909090908,0.3438439463636364,0.3438439463636364,0.501943779090909,0.0021214000000000007,0.09362441916090908,0.2900263747818182,11,0.36363636363636365,0.18181818181818182
putin2023,putin,en,2023-12-31,new_year_address,0.26463490666666667,0.26463490666666667,0.412828945,-0.021479577,0.396345,0.396345,0.7319078916666667,0.05462245113333333,0.003583349623333333,0.6028120093666667,6,0.0,0.6666666666666666
putin2024,putin,en,2024-12-31,new_year_address,0.274610955,0.274610955,0.451480275,-0.011503533000000003,0.3498901525,0.3498901525,0.5534539525,0.008167609800000001,0.0083661008525,0.3111896875,4,0.25,0.25
putin2025,putin,en,2025-12-31,new_year_address,0.24594902,0.24594902,0.32401316,-0.0401654662,0.389792692,0.389792692,0.7463815659999999,0.0480701512,0.044720366351999996,0.3725596886,5,0.0,0.4
trump1,trump,en,2021-01-19,farewell_address,0.2634022539285714,0.2634022539285714,0.4105968040821429,-0.022712230378571428,0.32972030750000003,0.32972030750000003,0.4639332682142857,-0.012002239728571427,0.05068601103839286,0.426780828075,28,0.14285714285714285,0.17857142857142858
trump2,trump,en,,composite_excerpts,0.28563014999999997,0.28563014999999997,0.51589913,-0.00048433766666666767,0.30723589333333334,0.30723589333333334,0.33936403533333337,-0.03448665133333333,0.0026070765333333335,0.4718423,3,0.0,0.0
trump3,trump,en,2017-01-20,inaugural_address,0.3049064382352941,0.3049064429411765,0.5850425735294117,0.01879195554117647,0.3855076741176471,0.3855076676470588,0.6637964352941177,0.04378512488235294,0.10391464387764707,0.37354884863235294,17,0.23529411764705882,0.4117647058823529
