leader,mean_dist_speech_to_leader,ci_low,ci_high,n_speeches
erdogan,0.04551617056131363,0.014251495,0.054295134,5
macron,0.016049668192863464,0.0062377155,0.01634653,4
merkel,0.027401506900787354,0.011395529,0.027401522,4
putin,0.028264105319976807,0.012507975,0.028264135,4
trump,0.05204492807388306,-7.947286e-08,0.052044947,3
